Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality/City,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 10,Travel and Tour Agency,DOT-R10-TTA-00834-2024,NAKNAK TICKETING AND TRAVEL SERVICES,Lanao del Norte,Iligan City,"Purok 2, Katipunan, Brgy. Hinaplanon",0997 457 3258,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00805-2024,RAKSO AIR TRAVEL AND TOURS INC CAGAYAN DE ORO,Misamis Oriental,Cagayan De Oro City,1F AN RAE BUILDING T. CHAVEZ CORNER RIZAL STREETS,0917 633 0920 / 0966 411 0385,https://raksotravel.com/,"June 30, 2026"
Region 10,Tour Operator,DOT-R10-TOP-00483-2023,ROB CAMIGUIN TRAVEL AND TOURS,Camiguin,Mambajao,"Timugsay, Tagdo Mambajao Camiguin",9268396343,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00388-2023(M),SARAH LEA TRAVEL AND TOURS INC,Misamis Oriental,Lugait,"Lugait Market Commercial Building, Lugait Misamis Oriental",0905 496 5912,https://www.facebook.com/sarahleatravelandtours,"June 30, 2027"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00355-2023,AERA GLOBAL TRAVEL AND TOURS,Misamis Oriental,Cagayan de Oro City,"3rd Floor, Pacifico Botique Hotel, Velez Corner Frenandez Sts., Cagayan de Oro City",0917 525 5564,,"June 30, 2025"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00354-2023,SEVEN STARS TRAVEL & TOURS,Misamis Oriental,Cagayan de Oro City,ROOM 225 2/F DE LEON PLAZA BLDG. YACAPIN-VELEZ STS.,0917 720 4045,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00795-2024,SEVEN TWELVE INSIDEOUT TRAVEL AND TOURS,Misamis Oriental,Cagayan de Oro City,"4th Flr R420 SM Downtown Premier, Brgy. 24 (Pob.)",0917 320 9751,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00264-2022,SWIFT TRAVEL & TOURS,Misamis Oriental,Cagayan de Oro City,GF Stonestown Suites Masterson Avenue,0917 120 0065,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00286-2022,JCL TRAVEL SERVICES,Misamis Oriental,Cagayan de Oro City,"Patag, Cagayan de Oro City",0936 249 6186,,"June 30, 2026"
Region 10,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R10-AGT-00725-2024,NORTHERN MINDANAO AGRICULTURAL CROPS AND LIVESTOCK RESEARCH COMPLEX (NMACLRC),Bukidnon,Malaybalay City,"Brgy. Dalwagan, Malaybalay City, Bukidnon",0927 421 0340,,"February 5, 2026"
Regio 10,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R10-AGT-00200-2022,BINAHON AGROFORESTRY FARM,Bukidnon,Lantapan,"Purok 3, SItio Bol-Ogan, Brgy. Songco",0956 401 5984,,"July 18, 2026"
Region 10,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R10-FTC-00806-2024,JAYA SECRET GARDEN,Bukidnon,Malaybalay City,"Comiso Steet, Barangay 1 (Pob.), Malaybalay City, Bukidnon",0917 320 8333,,"May 15, 2026"
Region 10,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R10-FTC-00953-2025,KUMAYKAY BED & BREAKFAST,Bukidnon,Manolo Fortich,"Zone 2, Barangay Dahilayan, Manolo Fortich, Bukidnon",0965 538 6268,,"February 21, 2027"
Region 10,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R10-AGT-00176-2022,Alomah's Nature Farm,Bukidnon,Manolo Fortich,"Zone 2, Barangay Dahilayan, Manolo Fortich, Bukidnon",9171278441,,"February 15, 2026"
Region 10,Homestay,DOT-R10-HMY-00468-2023,OHANA PENSION HOUSE,Lanao del Norte,Iligan City,"Raval Bldg. Ptk Sta Cruz Lower Taytay, Iligan City",0995 683 3020 / 0995 637 5413,,"October 31, 2025"
Region 10,Homestay,DOT-R10-HMY-00760-2024,SHENAH JANE TRAVELLERS INN,Camiguin,Catarman,"Purok 6, Bul-Angon Bonbon, Catarman, Camiguin",0917 791 9362,,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-00277-2022,THE MARGARETTE BUSINESS HOTEL,Bukidnon,Maramag,"JBC TYSON Bldg. Purok 2, North Pobalcion,Maramag, Bukidnon",9177245760,,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-00164-2022,UNO BUSINESS HOTEL AND CAFE,Bukidnon,Valencia City,P-17 Sayre Highway Hagkol Valencia City Bukidnon,0917 539 5678,,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-00333-2022,ROBINSONS LAND CORPORATION - GO HOTELS ILIGAN,Lanao del Norte,Iligan City,"Go Hotels Iligan, Robinsons Place Complex, Brgy. Tubod, Iligan City",9498865652,https://www.gohotels.ph,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-00122-2021(M),Mindanao Civic Center Hotel,Lanao del Norte,Tubod,"Brgy. Pobalcion,Tubod, Lanao del Norte",9171500093,http://www.lanaodelnorte.gov.ph,"October 31, 2025"
Region 10,Hotel,DOT-R10-HTL-00829-2024,COSTA DEL SOL OROQUIETA INCORPORATED,Misamis Occidental,Oroquieta City,"MAGSAYSAY ST., LOWER LOBOC, OROQUIETA CITY",0945 766 7393,,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-00002-2023(M),AYA HOTEL AND RESIDENCES,Misamis Occidental,Clarin,"Brgy. Poblacion, Clarin, Misamis Occidental",,,"October 31, 2025"
Region 10,Hotel,DOT-R10-HTL-01039-2025(M),ROYAL GARDEN HOTEL,Misamis Occidental,Ozamiz,"50th District (Pob.), Burgoz Corner Zamora Streets",0915 138 2000,,"October 31, 2027"
Region 10,Hotel,DOT-R10-HTL-00294-2022,1A EXPRESS HOTEL,Misamis Oriental,Cagayan de Oro City,"CM RECTO AVENUE, CAGAYAN DE ORO CITY",9176701239,,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-00112-2021,BONNE BUSINESS CORPORATION / N HOTEL,Misamis Oriental,Cagayan de Oro City,"Kauswagan Highway, Cagayan de Oro City",(088) 880-1924 to 25,,"October 31, 2025"
Region 10,Hotel,DOT-R10-HTL-00078-2021,CDO Hotel Xentro,Misamis Oriental,Cagayan de Oro City,C/O CDO HOTEL XENTRO Corrales Avenue,"(088)850-1922, 09177230861, 09989999868",,"October 31, 2025"
Region 10,Hotel,DOT-R10-HTL-00482-2023,COUNTRY VILLAGE HOTEL INC,Misamis Oriental,Cagayan de Oro City,VILLARIN ST. CARMEN CAGAYAN DE ORO CITY,9178297346,,"October 31, 2025"
Region 10,Hotel,DOT-R10-HTL-00820-2024,HAMERSONS HOTEL,Misamis Oriental,Cagayan de Oro City,"Pabayo St. Corner Tomas saco, Brgy. 1, Cagayan de Oro City",(088) 323 3301,,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-01003-2025,OUR STORY BOUTIQUE HOTEL,Misamis Oriental,Cagayan de Oro City,"Taguanao Road, Upper Macasandig",0917 170 6803 / 0919 094 3926,,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-00083-2021(M),De Luxe Hotel,Misamis Oriental,Cagayan de Oro City,"De Luxe Hotel, Capt Vicente Roa St., Cagayan de Oro City",9177077758,http://www.deluxehotelcdo.com/,"October 31, 2025"
Region 10,Hotel,DOT-R10-HTL-00093-2021(M),"GRAND CITY HOTELS, INC",Misamis Oriental,Cagayan de Oro City,"A.VELEZ R.N ABEJUELA ST, CAGAYAN DE ORO CITY",09361793209/ 09162967567 / 857-4982,http://grandcityhotelscdo.com,"October 31, 2025"
Region 10,Hotel,DOT-R10-HTL-00094-2021(M),PEARLMONT HOTEL,Misamis Oriental,Cagayan de Oro City,"Brgy. 35 (POB.), Limketkai Drive, Cagayan de Oro City",0917 627 3275 / (088) 856 2653,,"October 31, 2025"
Region 10,Hotel,DOT-R10-HTL-00095-2021,HARBOR LIGHTS HOTEL & RESTAURANT,Misamis Oriental,Cagayan de Oro City,"Old Road Gusa, Cagayan de Oro City",0945 254 2513 / (088) 855 1120,,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-00205-2022,THE VIP HOTEL,Misamis Oriental,Cagayan de Oro City,"Don A. Velez - Borja St., Barangay 12 (Pob.), Cagayan de Oro City",0917 884 3847,,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-00267-2022,PRIMELUXE CORPORATION (PRIMELUXE HOTEL),Misamis Oriental,Cagayan de Oro City,"Back of Security Bank, Osmena St., Brgy. 31, (Pob.)",0917 777 5976 (088) 864 1186,,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-00305-2022,GRUPPO LARGO INC./ MALLBERRY SUITES BUSINESS HOTEL,Misamis Oriental,Cagayan de Oro City,FLORENTINO STREET LIMKETKAI DRIVE,0917 5491421,,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-00340-2022,DEMIREN HOTEL AND RESTAURANT,Misamis Oriental,Cagayan de Oro City,"Tiano Kalambaguhan St., Barangay 14, Cagayan de Oro City",0906 231 4236,,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-00387-2023,Limketkai Hotel and Resort Corporation / Limketkai Luxe,Misamis Oriental,Cagayan de Oro City,"Limketkai Corporate Office, Limketkai Center, Lapasan",(088) 880 0000,https://www.limketkailuxe.com/,"October 31, 2025"
Region 10,Hotel,DOT-R10-HTL-00301-2022,MALASAG RESORT CORPORATION / MARCO HOTEL,Misamis Oriental,Cagayan de Oro City,"ALWANA BUSINESS PARK, ZONE 4, BRGY. CUGMAN",09177027002 / (088)855-2201 to 03,,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-00353-2023,MAXANDREA HOTEL,Misamis Oriental,Cagayan de Oro City,j. r. borja street cagayan de oro city,9171681198,,"October 31, 2025"
Region 10,Hotel,DOT-R10-HTL-00090-2021(M),Northgate Hotel Ventures Inc. - SEDA CENTRIO,Misamis Oriental,Cagayan de Oro City,Corrales St corner CM Recto Avenue,088 3238888 / +6309175775910,https://www.sedahotels.com,"October 31, 2025"
Region 10,Hotel,DOT-R10-HTL-00097-2021,RIDGEVIEW CHALETS,Misamis Oriental,Cagayan de Oro City,"Xavier Estate, Masterson Avenue, Upper Balulang, Cagayan de Oro City",0917 549 6406 / (088) 858 8946,,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-00000-2023(M),CHAMEN RESORT INC.,Misamis Oriental,Cagayan de Oro City,"Purok 1, Zone 6 Bulao, Brgy. Iponan, Cagayan de Oro City",,,"October 31, 2025"
Region 10,Hotel,DOT-R10-HTL-00960-2025,MRA HOTEL AND FOOD OPC.,Misamis Oriental,Cagayan de Oro City,"Blk 7 Lot 2-3, Xavier Estates, Mastersons Avenue, Brgy. Balulang",0910 891 9400,,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-00342-2022,RED PLANET HOTEL CAGAYAN DE ORO CORPORATION,Misamis Oriental,Cagayan de Oro City,"CM Recto Avenue, Barangay 24",0917 628 3562 0906 225 6251 0917 120 6735,https://www.redplanethotels.com/,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-00352-2023,PALAÑA MANAGEMENT & DEVELOPMENT CORPORATION - HOTEL CONCHITA,Misamis Oriental,Cagayan de Oro City,"LT. Guillermo Yacapin St., Barangay 33",0917 386 2537,,"October 31, 2026"
Region 10,Hotel,DOT-R10-HTL-000458-2023,The Dynasty Hotel,Misamis Oriental,Cagayan de Oro City,"Corner Tiano & hayes street, Cagayan de oro city",9176321171,http://www.dynastyhotel.com.ph,"October 31, 2025"
Region 10,Hotel,DOT-R10-HTL-00427-2023,Gingoog Mountain Air Hotel,Misamis Oriental,Gingoog City,Doña Graciana Street,9534367664,,"October 31, 2025"
Region 10,Hotel,DOT-R10-HTL- 00748-2024,GRACIA'S CALZADA INN,Camiguin,Mambajao,"Mambajao, Camiguin",0936 324 5913,,"October 31, 2026"
Region 10,Apartment Hotel,DOT-R10-APT-00755-2024,Prima Management Corporation,Misamis Oriental,Cagayan de Oro City,"2nd Flr, Primavera City, P.N. Roa Avenue, Upper Carmen, Cagayan de Oro City",0917 864 4061,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00356-2023,E&J Grand Pavilion Rental,Bukidnon,Don Carlos,"purok 3, E&J Compound",09155418003/09063880827,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00448-2023,katihan eco park,Bukidnon,Malaybalay City,"Purok 3, Brgy. Kibalabag, Malaybalay City",9369602211,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00447-2023,MALAYBALAY AIR'BNB TRAVELLERS INN,Bukidnon,Malaybalay City,"PUROK 5, BARANGAY CASISANG, MALAYBALAY CITY",9173191526,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00774-2024,GRAYSON HOTEL,Bukidnon,Malaybalay City,"Barangay 3 (Pob.), Fortich St. Malaybalay City",0966 246 1856,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00793-2024,HAVEN MOUNTAIN RESORT,Bukidnon,Malaybalay City,"P-1 Kibalibag, Malaybalay City, Bukidnon",0975 540 0421,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00937-2025,1ST AVENUE APARTELLE,Bukidnon,Malaybalay City,"Propia St., Brgy. Sumpong",0917 722 9850,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00938-2025,JIREH AVENUE SUITES,Bukidnon,Malaybalay City,"Propia St., Brgy. Sumpong",0917 722 9850,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00437-2023,MONTE SHANNAHS FARMS,Bukidnon,Malitbog,"Sitio Lake, Brgy. San Luis, Malitbog, Bukidnon",0917 7181856,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MCF-00015-2021,BUKIDNON COMMUNITY COOPERATIVE,Bukidnon,Manolo Fortich,bcc 2nd floor,9058809579,https://www.bcc-phil.com/,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00328-2022,DAHILAYAN GARDENS AND RESORT,Bukidnon,Manolo Fortich,"Sitio Balilid, Barangay Dahilayan",0917 714 7229,http://dahilayangardensandresort.com/,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00443-2023,GOLDEN BLESS INN,Bukidnon,Manolo Fortich,"Purok 2, Brgy. Dahilayan",9158344128,https://golden-bless-inn.my.canva.site,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00398-2023,MF SUITES,Bukidnon,Manolo Fortich,G/F TAN BLDG ZONE 1A SAYRE HIGHWAY,9979181699,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00159-2022,MT. PINES SPRING RESORT,Bukidnon,Manolo Fortich,"Zone 3, Brgy. Dahilayan, Manolo Foritch, Bukidnon",0917 118 1079,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00168-2022,JOAN'S COZY CABIN,Bukidnon,Manolo Fortich,"Zone 2, Barangay Dahilayan, Manolo Fortich, Bukidnon",0956 683 7240 / 0917 677 7238,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00287-2022,PINEAPPLE DREAMS TRAVELLERS INN,Bukidnon,Manolo Fortich,"Purok 13, Provincial Road",0917 188 8252,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00124-2021(M),SADDLE RIDGE CAMP,Bukidnon,Manolo Fortich,"DAHILAYAN, MANOLO FORTICH, BUKIDNON",9264211330,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00086-2021(M),SIDE H INN,Bukidnon,Manolo Fortich,"SAYRE HIGHWAY, SAN MIGUEL, MANOLO FORTICH, BUKIDNON",09177775132/09178545433,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00367-2023,VILLA IMELDA AND CATERING SERVICES,Bukidnon,Manolo Fortich,"PUROK 1, DICKLUM MANOLO FORTICH BUKIDNON",0917 8225 137 / 0917 315 1966,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00737-2024,LA VIDAD PRIVATE RESORT,Bukidnon,Manolo Fortich,"Sitio Kibulawan, Brgy. Kalugmanan, Manolo Fortich, Bukidnon",0936 188 3847,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00759-2024,JEJEMS TRAVELLERS INN,Bukidnon,Manolo Fortich,"Sayre highway, Purok 1A, Brgy. Tankulan, Manolo Fortich Bukidnon",0917 713 4351,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00808-2024,DAHILAYAN IP ECO-PARK,Bukidnon,Manolo Fortich,"Purok 3, Dahilayan, Manolo Fortich, Bukidnon",0936 546 2417,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00815-2024,THE PINES TAVERN TRAVELLERS INN,Bukidnon,Manolo Fortich,"Zone 5, Brgy. Lindaban, Manolo Fortich, Bukidnon",0917 700 8484,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00939-2025,XENTO VILLE BED AND BREAKFAST,Bukidnon,Manolo Fortich,"Zone 1, Brgy. Dahilayan, Manolo Fortich, Bukidnon",0967 770 5688,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00991-2025,JO'S TRAVELLERS INN,Bukidnon,Manolo Fortich,"Kihare, Brgy. Tankulan (Pob.), Manolo Fortich, Bukidnon",0915 135 7026,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01037-2025(M),BROWN RESOURCES CORPORATION,Bukidnon,Manolo Fortich,"Sitio-Bagalangit, Kalugmanan, Manolo Fortich, Bukidnon",0917 122 6623,,"October 31, 2027"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01064-2025,JORGE'S BLACK CABIN,Bukidnon,Manolo Fortich,"LOT 992-C. Brgy. Alae, Manolo Fortich, Bukidnon",0917 149 3292,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00114-2021,GARDEN PARTY VENUE AND SUITES,Bukidnon,Malaybalay City,"Claro M. Recto Street, Malaybalay City",0917 804 5804,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00105-2021,"GV HOTEL VALENCIA / VISMIN GV HOTELS, INC.",Bukidnon,Valencia City,"Along Sayre National Highway, Brgy. Poblacion, Valencia City",0917 702 8409,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00471-2023,HOTEL DE ALEXA,Bukidnon,Maramag,"Purok 2,South Poblacion,Maramag,bukidnon",9177053545,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00006-2023(M),KAMPO UNO MOUNTAIN RESORT,Bukidnon,Maramag,"P-9 Camp I, Maramag",0956 902 0158,,"October 31, 2025"
