Region,Enterprise Type,Enterprise Name,Accreditation No,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 5,Travel and Tour Agency,Marvelous Dream Travel Services,DOT-R05-TTA-00636-2022,Camarines Sur,Naga City,"Maggay Bldg. Zone 2, Lerma St., Naga City",09451383298 / 09771245638,,30-Jun-26
Region 5,Travel and Tour Agency,Naga College Foundation - Naga'Yon Travel and Tours,DOT-R05-TTA-00726-2022,Camarines Sur,Naga City,"Magsaysay Avenue, Naga City, Camarines Sur",9618114949,,30-Jun-26
Region 5,Travel and Tour Agency,Nautilus' Travel and Tours,DOT-R05-TTA-01809-2025,Sorsogon,Pilar,"055 Zone 4, Esperanza, Pilar, Sorsogon",563113075,,30-Jun-26
Region 5,Travel and Tour Agency,NBR Travel and Tour,DOT-R05-TTA-00701-2022,Albay,Camalig,"Purok 1 Cabagñan, Camalig, Albay",9150075750,,30-Jun-26
Region 5,Travel and Tour Agency,Northlink Events and Travel Services Corporation,DOT-R05-TTA-00052-2020,Camarines Norte,Daet,"Lot 11 Block 6 Phase 2 Metropark Village, Daet, Camarines Norte",9175548297,,30-Jun-26
Region 5,Travel and Tour Agency,Perfect Cone Travels and Consultancy,DOT-R05-TTA-01419-2024,Albay,Tabaco City,"43 Arellano Street, Bacolod, Tabaco City, Albay",9286644112,,30-Jun-26
Region 5,Travel and Tour Agency,Rampage Travel and Tours Co. Ltd.,DOT-R05-TTA-00658-2022,Camarines Sur,Naga City,"Door 4, Pavillion 5 Panganiban Drive, Naga City, Camarines Sur 4400",9177168753,,30-Jun-26
Region 5,Travel and Tour Agency,Roam International Travel and Tours,DOT-R05-TTA-00270-2021,Albay,Legazpi City,"117 Washington Drive, Legazpi City, Albay",9175581494,,30-Jun-26
Region 5,Travel and Tour Agency,Ruon Hui International Travel & Tours,DOT-R05-TTA-00763-2022,Albay,Manito,"Sitio Gogo, Pawa, Manito, Albay",9998889595,,30-Jun-26
Region 5,Travel and Tour Agency,Sheena-Emman Travel and Tours,DOT-R05-TTA-00395-2021,Albay,Legazpi City,"La-Playa Village, Brgy. 39 - Bonot, Legazpi City, Albay",9184680975,,30-Jun-26
Region 5,Travel and Tour Agency,Skytide Travel and Tours,DOT-R05-TTA-01442-2024,Masbate,Masbate City,"Airport Compound, Airport Road, Centro, Masbate City, Masbate",9478907254,,30-Jun-26
Region 5,Travel and Tour Agency,Smartflight Travel and Academic Services,DOT-RO5-TTA-00700-2022,Albay,Legazpi City,"4th Floor Ayala Malls, Brgy. 24 - Riza Strrest, Legazpi City, Albay",9173323232,,30-Jun-26
Region 5,Travel and Tour Agency,Stacruise Travel and Tours,DOT-RO5-TTA-01803-2025,Camarines Sur,Nabua,"Zone 3, Inapatan, Nabua, Camarines Sur",9483324442,,30-Jun-26
Region 5,Travel and Tour Agency,Sun Aventure Travel and Tours,DOT-RO5-TTA-01096-2023,Camarines Sur,Naga City,"Light Hauz CBD 2, Triangulo, Naga City, Camarines Sur",9301377147,,30-Jun-26
Region 5,Travel and Tour Agency,Tierra De Ibalon Tours,DOT-R05-TTA-00631-2022,Camarines Sur,Naga City,"Door C-26 Bicol Central Station, CBD II, Brgy. Triangulo, Naga City, Camarines Sur 4400",9196269790,,30-Jun-26
Region 5,Travel and Tour Agency,Travizia Tours and Travel,DOT-R05-TTA-00682-2022,Albay,Legazpi City,"G/F Casablanca Hotel, Peñaranda Street, Legazpi City, Albay",9774200476,,30-Jun-26
Region 5,Travel and Tour Agency,Trevally Travel and Tours,DOT-R05-TTA-00633-2022,Albay,Legazpi City,"#8 LOPEZ HOMES PUROK 7, BRGY. BOGTONG, LEGAZPI CITY, ALBAY",9175263388,,30-Jun-26
Region 5,Travel and Tour Agency,Tripolds Travel and Tours,DOT-R05-TTA-01893-2025,Camarines Sur,Naga City,"Unit 7 CBD Terminal, Triangulo, Naga City, Camarines Sur",9997026448,,30-Jun-26
Region 5,Travel and Tour Agency,URPlace Travel and Tours,DOT-R05-TTA-00650-2022,Sorsogon,Sorsogon City,"L22 B61 15th Street,OLV Pangpang, Sorsogon City","0921-968-2258, 0927-950-3927 , (056) 311 8583",,30-Jun-26
Region 5,Travel and Tour Agency,Venzbay Travel & Tours,DOT-R05-TTA-00640-2022,Masbate,Masbate City,"Door 2 Blanco Bldg., Lemon Rd., Brgy. Nursery, Masbate City",9707912640,,30-Jun-26
Region 5,Travel and Tour Agency,Verdana Travel Corporation,DOT-R05-TTA-00596-2022,Albay,Legazpi City,"Unit 4, D&N Bldg., Washington Drive, Brgy. 40 - Cruzada (Brgy. 52), Legazpi City, Albay",9260372288,,30-Jun-26
Region 5,Travel and Tour Agency,Wander Escapes Travel and Tours,DOT-R05-TTA-01894-2025,Albay,Daraga,"Arboleda, Ilawod Area Pob. (Dist. 2), Daraga, Albay",9673170153,,30-Jun-26
Region 5,Travel and Tour Agency,WXYZ Tours and Transport OPC,DOT-R05-TTA-01878-2025,Camarines Sur,Naga City,"Door 11, 2nd Floor, Nagaville Bldg., CBD2, Brgy. Triangulo, Naga City, Camarines Sur",9105667906,,30-Jun-26
Region 5,Travel and Tour Agency,Whaleshark Adventure & Tours,DOT-R05-TTA-01535-2024,Sorsogon,Donsol,"Purok 7, Dancalan, Donsol, Sorsogon",9175036403,,30-Jun-26
Region 5,Travel and Tour Agency,Worldtech Travel and Tours,DOT-R05-TTA-01519-2024,Camarines Sur,Naga City,"WRI Bldg., Concepcion Grande, Naga City, Camarines Sur",9917607993,,30-Jun-26
Region 5,Travel and Tour Agency,Zchedulista Booking Services,DOT-R05-TTA-00632-2022,Catanduanes,Virac,"106 San Juan St., Virac, Catanduanes",9687038515,,30-Jun-26
Region 5,Land Transport Operator,A.S. Macalalad Transport,DOT-R05-TTO-00676-2022,Camarines Sur,Naga City,"One Magsaysay Corporate Center, Magsaysay Ave., Cor. Reno St., Concepcion Pequena, Naga City",9175032383,,30-Apr-26
Region 5,Land Transport Operator,Benmar Transport Express,DOT-R05-TTO-01562-2024,Albay,Legazpi City,"056 C. Ibarra St., Sagmin, Old Albay, Legazpi City, Albay",9178398877,,30-Apr-26
Region 5,Land Transport Operator,Bicol Airport AUV Operators Transport Cooperative,DOT-R05-TTO-01010-2023,Albay,Legazpi City,"Brgy. 40- Cruzada (Brgy. 52), Legazpi City, Albay",9175581413,,30-Apr-26
Region 5,Land Transport Operator,Bicol Hotels and Travel and Tour Agencies (BHATTA) Transport Service Cooperative,DOT-R05-TTO-00889-2022,Albay,Legazpi City,"Casablanca Hotel, #238 Penaranda Street, Brgy. 33 - Penaranda St. - Iraya (Pob.), Legazpi City, Albay",9774200476,,30-Apr-26
Region 5,Land Transport Operator,JMCYK Travel and Tours,DOT-R05-TTO-00699-2022,Camarines Sur,Naga City,"55 Langka Road, Mariano Village, Brgy. Balatas, Naga City, Camarines Sur",9171140285,,30-Apr-26
Region 5,Land Transport Operator,Pili Tourist Transport Service Cooperative,DOT-R05-TTO-01415-2024,Camarines Sur,Naga City,"CBD II Carnazion St. Triangulo, Naga City",09493451521 / 09763036942,,30-Apr-26
Region 5,Land Transport Operator,TIERRA DE IBALON TRAVEL AND TOURS INC.,DOT-R05-TT0-01503-2024,Camarines Sur,Naga City,"Door C-26, CBD II. Bicol Central Station, Brgy. Triangulo, Naga City, Camarines Sur",9196269790 / 09382903269,,30-Apr-26
Region 5,Land Transport Operator,Villamor Transport Services Cooperative,DOT-R05-TT0-00770-2022,Albay,Daraga,"Purok 7, Regidor St., Binitayan, Daraga, Albay",8810-60-42,,30-Apr-26
Region 5,Agri-tourism Farm Site / Farm Tourism Camp,AgriHope Farm School | Agri Tourism Farm Site,DOT-R05-FTC-01638-2024,Sorsogon,Barcelona,"Brgy. Sta. Cruz, Barcelona, Sorsogon",9308503233,,7-Oct-26
Region 5,Agri-tourism Farm Site / Farm Tourism Camp,Balay Buhay Sa Uma Bee Farm Inc.,DOT-R05-FTC-01763-2024,Sorsogon,Bulusan,"Purok Bacolod, San Roque, Bulusan, Sorsogon",09109188599 / 0920300242,,11-Dec-26
Region 5,Agri-tourism Farm Site / Farm Tourism Camp,CARMEL AGRI-LEARNING FARM INC.,DOT-R05-FTC-01551-2024,Camarines Sur,Pili,"Zone 4, Binanuaanan Sur, Pili, Camarines Sur",9199760965,,6-Aug-26
Region 5,Agri-tourism Farm Site / Farm Tourism Camp,Central Bicol State University of Agriculture-Organic Agriculture Center,DOT-R05-AGT-01131-2023,Camarines Sur,Pili,"Brgy. San Jose, Pili, Camarines Sur",871-5531-33,,17-Aug-25
Region 5,Agri-tourism Farm Site / Farm Tourism Camp,CBSUA Agriville and Learning Hub,DOT-R05-FTC-01445-2024,Camarines Sur,Pili,"Central Bicol State University of Agriculture, San Jose, Pili, Camarines Sur",09162263420 / 0907320495 / 09199934537,,8-May-26
Region 5,Agri-tourism Farm Site / Farm Tourism Camp,Iriola's Pasture Corporation,DOT-R05-FTC-01521-2024,Camarines Sur,Ocampo,"Zone 2, New Moriones, Ocampo, Camarines Sur",09175241955 / 09175621963,,7-Jul-26
Region 5,Agri-tourism Farm Site / Farm Tourism Camp,LRV Agri-Science Farm Inc,DOT-R05-AGT-00535-2022,Camarines Sur,Calabanga,"Brgy. San Bernardino, Calabanga, Camarines Sur",9071023750,,30-Apr-27
Region 5,Agri-tourism Farm Site / Farm Tourism Camp,Mirisbiris Garden and Nature Center,DOT-R05-AGT-01412-2024,Albay,Santo Domingo,"Brgy. Salvacion, Sto. Domingo Albay",9266846807,,12-Feb-26
Region 5,Agri-tourism Farm Site / Farm Tourism Camp,Nette's Agricultural Farm,DOT-R05-AGT-01146-2023,Camarines Sur,Del Gallego,"Pinagdapian, Del Gallego, Camarines Sur",9687190418,,31-Dec-25
Region 5,Agri-tourism Farm Site / Farm Tourism Camp,Uma Koinonia,DOT-R05-AGT-00394-2021,Masbate,Masbate City,"Sitio Calulod, Brgy. Pawa, Masbate City, Masbate",9461497383,,18-Nov-26
Region 5,Restaurant,Barisbis Filipino Restaurant,DOT-R05-RST-01559-2024,Albay,Camalig,"Lot 10F Purok 2, Salugan, Camalig, Albay",9171194669,,8-Aug-26
Region 5,Restaurant,Bela Bella Bakeshop,DOT-R05-RST-00995-2023,Camarines Sur,Iriga City,"Zone 4, San Nicolas, Iriga City, Camarines Sur",9163442106,,7-Oct-25
Region 5,Restaurant,Blue Cafe,DOT-R05-RST-00046-2020,Catanduanes,Virac,"VTC Metrowalk, San Roque, Virac, Catanduanes",9097258577,,7-Oct-25
Region 5,Restaurant,Cafe Breve,DOT-R05-RST-01640-2024,Camarines Sur,Iriga City,"Highway, Sta. Cruz Sur, Iriga City, Camarines Sur",9392811473,,7-Oct-25
Region 5,Restaurant,D'Mezzanine Cafe,DOT-R05-RST-01645-2024,Camarines Sur,Iriga City,"San Jose, Iriga City, Camarines Sur",9060572448,,7-Oct-25
Region 5,Restaurant,Desny Grill,DOT-R05-RST-00242-2021,Camarines Sur,Iriga City,"Zone 5 Hi-Way, Brgy. San Nicolas, Iriga City, Camarines Sur",9398911660,,4-Mar-26
Region 5,Restaurant,Farmplate Foods Corporation - Pares King Food House,DOT-R05-RST-00556-2022,Albay,Legazpi City,"Brgy. 16 - Kawit-East Washington Drive, Legazpi City, Albay",9392618984,,10-Jun-26
Region 5,Restaurant,Gian's Cake Venue,DOT-R05-RST-01761-2024,Camarines Sur,Iriga City,"Zone 1, Hi-Way 1, San Nicolas, Iriga City, Camarines Sur",9279595270,,9-Dec-25
Region 5,Restaurant,"GRACELAND FOOD INDUSTRIES, INC- Graceland Goa",DOT-R05-RST-00155-2021,Camarines Sur,Goa,"San Jose St., Goa, Camarines Sur",9190737503,,2-Oct-25
Region 5,Restaurant,"GRACELAND FOOD INDUSTRIES, INC-PILI",DOT-R05-RST-00153-2021,Camarines Sur,Pili,"NATIONAL HIGHWAY, SAN VICENTE, PILI, CAMARINES SUR",9190737511,,18-Jul-26
Region 5,Restaurant,Graceland Hamburger Restaurant,DOT-R05-RST-00147-2021,Camarines Sur,Iriga City,"Beroand Phil. Inc. Bldg Rizal St., Ilawod, Daraga, Albay",9190737506,,16-Jun-26
Region 5,Restaurant,Iriga MCMD Restaurant and Bakeshop,DOT-R05-RST-00446-2021,Camarines Sur,Iriga City,"MCM Bldg., Ortega St., San Roque, Iriga City, Camarines Sur",9228371481,,13-Aug-26
Region 5,Restaurant,Jardin De Conchita Cafe,DOT-R05-RST-01642-2024,Camarines Sur,Iriga City,"Ilian St., San Nicolas, Iriga City, Camarines Sur",9508980123,,7-Oct-25
Region 5,Restaurant,Jollibee Iriga-Standbee Foods Corporation,DOT-R05-RST-00775-2022,Camarines Sur,Iriga City,"Highway 1, J.P Rizal St. San Roque, Iriga City, Camarines Sur",9999949001,,22-Apr-26
Region 5,Restaurant,Kfisher Seafood and Japanese Restaurant,DOT-R05-RST-00436-2021,Camarines Norte,Daet,"1101 V. Basil St., Brgy. VIII, Daet, Camarines Norte",9175290357,,11-Oct-25
Region 5,Restaurant,KIJR Food and Beverage House (Cocina by Balay Talisay),DOT-R05-RST-01841-2025,Sorsogon,Sorsogon City,"J.S Reyes Street. Brgy. Talisay, Sorsogon City, Sorsogon",9209721021,,20-Mar-26
Region 5,Restaurant,Lukban's Ksarap! Restaurant,DOT-R05-RST-00705-2022,Camarines Norte,Daet,"2-025 Vinzons Avenue, Daet, Camarines Norte",9399155436,,28-Jul-26
Region 5,Restaurant,Mei San Cuisine (Hap Chan Restaurant - Legazpi City),DOT-R05-RST-00752-2022,Albay,Legazpi City,"La Piazza Hotel and Convention Center Inc, Imelda C. Roces Avenue, Legazpi City",9284747947,,17-Oct-25
Region 5,Restaurant,New Kuyangs Bar and Restaurant,DOT-R05-RST-00297-2021,Albay,Ligao City,"San Roque St., Dunao, Ligao City, Albay",9171261020,,26-Feb-26
Region 5,Restaurant,New Mayee's Chinese Restaurant,DOT-R05-RST-01644-2024,Camarines Sur,Iriga City,"Ortega St., San Roque, Iriga City, Camarines Sur",23-Jul-90,,7-Oct-25
Region 5,Restaurant,Nory's Restaurant,DOT-R05-RST-00276-2021,Albay,Ligao City,Zone 5 Tuburan Ligao City,9558041509,,21-Nov-25
Region 5,Restaurant,Oyster Villa Inc.,DOT-R05-RST-01086-2023,Camarines Sur,Naga City,"Romar Bldg. 1, Elias Angeles Street, Naga City, Camarines Sur",9209277723,,10-Sep-25
Region 5,Restaurant,Padrino En Casa Lilia,DOT-R05-RST-01717-2024,Camarines Norte,Daet,"F. Pimentel Avenue, Barangay II (Pob.), Daet, Camarines Norte",09270855080 / 09995150995,,2-Dec-25
Region 5,Restaurant,Primo's Bistro,DOT-R05-RST-01132-2023,Albay,Ligao City,"David Building, Blumentritt St. Guilid, Ligao City",9756050831,,21-Nov-25
Region 5,Restaurant,Primo's Restaurant & Catering Services,DOT-R05-RST-01756-2024,Albay,Ligao City,"Guilid, Ligao City, Albay",9756050831,,3-Dec-25
Region 5,Restaurant,RoadHouse Breads and Pastries,DOT-R05-RST-01542-2024,Camarines Norte,Daet,"Suzara Street, Brgy. 8, Daet, Camarines Norte",9173129256,,14-Jul-26
Region 5,Restaurant,ROSARIO'S CAFE & RESTAURANT,DOT-R05-RST-01843-2025,Sorsogon,Sorsogon City,"141 Alegre Street, Balogo East, Sorsogon City, Sorsogon",9208805199,,20-Mar-26
Region 5,Restaurant,Vicariates Realty Corporation / The Chancery Coffee Shop,DOT-R05-RST-00615-2022,Sorsogon,Sorsogon City,"St. Matthew Bldg., Magsaysay St., Sorsogon City, Sorsogon",9701164134,,4-Apr-26
Region 5,Restaurant,Volume Grill and Resto Bar,DOT-R05-RST-01147-2023,Camarines Sur,Iriga City,"San Roque, Iriga City, Camarines Sur",9494730822,,26-Dec-25
Region 5,Restaurant,SPLENDIDO DE ROMPEOLAS RESTO GRILL,DOT-R05-RST-01581-2024,Sorsogon,Sorsogon City,"Talisay (Pob.), Pier Site, Sorsogon City",9121059950,,10-Sep-25
Region 5,Apartment Hotel,"Garden Residences and Hospitality Innovations, Inc.",DOT-R05-APT-00719-2022,Camarines Sur,Naga City,"Jimenez St., Gimenez Park Subd., Brgy. Concepcion Pequeña, Naga City, Camarines Sur",09171309700 / 09171305180 / 09688820675,,31-Oct-26
Region 5,Resort,BEATRIZ RAFAELA RESORT,DOT-R05-RES-01886-2025,Masbate,Balud,"Brgy. Panubigan, Balud, Masbate",9506828971,,31-Oct-26
Region 5,Resort,"Casa Basilisa, Inc.",DOT-R05-RES-00839-2022,Albay,Guinobatan,"Diversion Road, San Rafael, Guinobatan, Albay",09171383338 / 09190082028,,31-Oct-26
Region 5,Resort,Catanduanes Halfway Resort Hotel,DOT-R05-RES-00666-2022,Catanduanes,Pandan,"Marambong, Pandan, Catanduanes",9688524145,,31-Oct-26
Region 5,Resort,Kalinaw Beach House,DOT-R05-RES-01676-2024,Masbate,Balud,"Palane Road, Palane, Balud, Masbate",9625261273,,31-Oct-26
Region 5,Resort,"Patio de San Jose Resort & Convetion Center, Inc.",DOT-R05-RES-01037-2023,Albay,Malilipot,"Purok 5 San Jose, Malilipot, Albay",9178420247,,31-Oct-26
Region 5,Resort,Misibis Resort and Hotel Management Inc,DOT-R05-RES-01719-2024,Albay,Bacacay,"Sitio Mosboron, Brgy. Misibis, Bacacay, Albay",9178632588,,31-Oct-26
Region 5,Resort,Trio's Lake Resort,DOT-R05-RES-01579-2024,Masbate,Balud,"Sitio Salipsip, Brgy. Palani, Balud, Masbate",9618094239,,31-Oct-26
Region 5,Resort,Tugawe Cove Resort,DOT-R05-RES-00070-2020,Camarines Sur,Caramoan,"Colongcogong, Caramoan, Camarines Sur",9171893269,,31-Oct-26
Region 5,Resort,Twin Rock Beach Resort,DOT-R05-RES-01858-2025,Catanduanes,Virac,"Igang, Virac, Catanduanes",9625010658,,31-Oct-26
Region 5,Mabuhay Accommodation,2JKLA Nature Hot Spring Resort,DOT-R05-MAB-00140-2021,Sorsogon,Irosin,"Purok 1, Brgy. Monbon, Irosin, Sorsogon",9126175645,,31-Oct-26
Region 5,Mabuhay Accommodation,401k Resort,DOT-R05-MAB-00804-2022,Sorsogon,Irosin,"Brgy. Monbon, Irosin, Sorsogon",9991572055,,31-Oct-26
Region 5,Mabuhay Accommodation,88 Spring Resort,DOT-R05-MAB-01586-2024,Sorsogon,Irosin,"Brgy. Monbon, Irosin, Sorsogon",9209445158,,31-Oct-26
Region 5,Mabuhay Accommodation,AGM Beachfront Resort and Resto,DOT-R05-MAB-00817-2022,Sorsogon,Donsol,"Brgy. Dancalan, Donsol, Sorsogon",9196882264,,31-Oct-26
Region 5,Mabuhay Accommodation,ALLEYHUB CONDOTEL,DOT-R05-MAB-01556-2024,Sorsogon,Sorsogon City,"157 J Reyes St Brgy Talisay Sorsogon City, Sorsogon",0967 8508090,,31-Oct-26
Region 5,Mabuhay Accommodation,Amor Farm Beach Resort,DOT-R05-MAB-00909-2022,Sorsogon,Donsol,"Purok 6 Brgy. Dancalan, Donsol, Sorsogon",9095181150,,31-Oct-26
Region 5,Mabuhay Accommodation,Antonio's Bed and Breakfast Hotel,DOT-R05-MAB-00063-2020,Sorsogon,Sorsogon City,"M. Santos St., Polvorista, Sorsogon City",9630872458,,31-Oct-26
Region 5,Mabuhay Accommodation,Aramaru Resort Corporation,DOT-R05-MAB-00808-2022,Sorsogon,Irosin,"San Benon, Brgy, Monbon, Irosin, Sorsogon",9925873299,,31-Oct-26
Region 5,Mabuhay Accommodation,Arbin Beach Resort,DOT-R05-MAB-00683-2022,Camarines Sur,Bato,"Zone 3, Pagatpatan, Bato, Camarines Sur",9086692205,,31-Oct-26
