Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 2,Tour Operator,DOT-R02-TOP-01472-2024,SEASIDE TOURS AND SERVICES,Batanes,Basco,"IHUBOK I, BASCO",9693460606,,"June 30, 2025"
Region 2,Tour Operator,DOT-R02-TOP-00643-2022,NORTHERN ADVENTURE TRAVEL AND TOURS,Batanes,Basco,"KAYVALUGANAN, BASCO",9214669515,,"June 30, 2026"
Region 2,Tour Operator,DOT-R02-TOP-00869-2023,NORTHERN TREKK TRAVEL AND TOURS,Batanes,Basco,San Antonio,9196752143,,"June 30, 2025"
Region 2,Tour Operator,DOT-R02-TOP-01497-2024,A.M.O TOUR SERVICES,Isabela,Cabatuan,SARANAY,9774864229,,"June 30, 2025"
Region 2,Tour Operator,DOT-R02-TOP-01514-2024,"YSABELLE TRAVEL, TOURS AND SERVICES",Batanes,Basco,Kaychanarian,9282342542,,"June 30, 2025"
Region 2,Tour Operator,DOT-R02-TOP-01308-2024,MAVIEN POINT TOUR SERVICES,Batanes,Ivana,Tuhel,09672003129/09195383911,,"June 30, 2026"
Region 2,Tour Operator,DOT-R02-TOP-00767-2022,AMIAN TOUR SERVICES,Batanes,Basco,Kaychanarian,9816262584,,"June 30, 2026"
Region 2,Tour Operator,DOT-R02-TOP-00637-2022,MIDTOWN TRAVEL AND TOURS SERVICES,Batanes,Basco,"LIZARDO STREET, KAYHUVOKAN",9213677933,,"June 30, 2025"
Region 2,Travel and Tour Agency,DOT-R02-TTA-00547-2022,Batanes Travel and Tours,Batanes,Basco,"Amboy Street, Kayhuvokan",9178922552,https://www.batanestravelandtours.com/,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-00868-2023,Eagle’s Wing Travel and Tours,Cagayan,Tuguegarao City,14 Mercedez Village Street,918993807,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-00868-2023,FAR EAST TRAVEL AND TOURS,Isabela,Ramon,Bugallon Proper,9363090469,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-01485-2024,RDS TRAVEL AND TOUR AGENCY,Isabela,Santiago City,Victory Norte,9171366219,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-00427-2021,GREEN EXPRESS INTERNATIONAL SERVICES,Quirino,Diffun,Andres Bonifacio,9109000896,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-00525-2022,IDIANG TOUR SERVICES,Batanes,Basco,"LIZARDO STREET, KAYHUVOKAN, BASCO",92934777736,,"June 30, 2025"
Region 2,Travel and Tour Agency,DOT-R02-TTA-00560-2022,JC AIR TICKETING,Isabela,Cauayan City,District 2,9175173018,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-01491-2024,DOMRIQUE-SANTOS TRAVEL CONSULTANCY SERVICES,Nueva Vizcaya,Solano,Quezon,9178360960,,"June 30, 2025"
Region 2,Travel and Tour Agency,DOT-R02-TTA-00075-2021,MARANATHA TRAVEL AND TOURS,Cagayan,Tuguegarao City,CENTRO 8,9277900684,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-00181-2021,MM FARINAS TRAVEL AND TOURS,Nueva Vizcaya,Solano,Poblacion North,9174931704,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-00620-2022,ACES TRAVEL AND TOURS SERVICES,Isabela,Cauayan City,District 3,93588808888,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-00370-2021,ND NORTHERN TRAVEL AND TOURS,Nueva Vizcaya,Bayombong,San Nicolas North,9175665793,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-01498-2024,CHRONO TRAVEL AND TOURS OPC,Isabela,Burgos,Cullalabo San Antonio,9972261436,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-01499-2024,HAI SHIKKU TRAVEL AND TOURS,Nueva Vizcaya,Bambang,Homestead,998 983 9865,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-000652021,R & V FLY GLOBAL TRAVEL AND TOURS,Cagayan,Tuguegarao City,,9276344199,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-00474-2022,BOULDER-BAY TRAVEL AND TOURS,Batanes,Basco,San Joaquin,9159616000,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-01605-2024,LB BUGARIN TRAVEL AND TOURS,Isabela,Santiago City,Dubinan East,9064727741,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-00458-2022,ANGEL PAULA TRAVEL AND TOURS,Cagayan,SANTA TERESITA,VILLA,9052754858,,"June 30, 2026"
Region 2,Tour Operator,DOT-R02-TOP-00867-2023,FLORABELL'S TRAVEL AND TOURS,Batanes,Basco,,9291660223,,"June 30, 2025"
Region 2,Tour Operator,DOT-R02-TOP-00548-2022,CHANPAN TOUR SERVICES,Batanes,Basco,,09196752751/09195814549,,"June 30, 2025"
Region 2,Travel Agency,DOT-R02-TRA-00586-2022,ADAJAH TRAVEL AND TOURS,Nueva Vizcaya,Bambang,Homestead,9776027410,,"June 30, 2026"
Region 2,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R02-AGT-00938-2023,PROVINCIAL FARM SCHOOL AND AGRI- TOURISM CENTER,Cagayan,Amulung,"ANQUIRAY, AMULUNG, CAGAYAN",9273273538,,"May 23, 2025"
Region 2,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R02-AGT-00838-2023,CSU-Gonzaga Faith and Farm Ecotourism Park,Cagayan,Gonzaga,"Flourishing, Gonzaga, Cagayan",9064000746,,"February 1, 2025"
Region 2,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R02-AGT-00452-2022,Department of Agriculture- Southern Cagayan Research Center- CBS,Cagayan,Solana,Maguirig Solana cagayan,9531928518,,"January 26, 2026"
Region 2,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R02-AGT-00860-2023,C.P.M. Integrated Farm,Cagayan,Tuao,"Purok 6, Taribubu, Tuao, Cagayan",9173245057,,"February 20, 2025"
Region 2,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R02-AGT-00364-2021,Villa Virgilia Leisure Farm Resort,Isabela,Cauayan City,"Nungnungan II, Cauayan City, Isabela",09171439623 / 09178977295,,"December 4, 2025"
Region 2,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R02-AGT-00306-2021,VALDEZ INTEGRATED FARM,Isabela,Angadanan,"Brgy. Bannawag, Angadanan",9050454975,,"February 12, 2026"
Region 2,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R02-AGT-00353-2021,MANALO TAGUBA ECO PARK,Isabela,Angadanan,"Brgy. Cumu, Angadanan",9562078012,,"March 1, 2026"
Region 2,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R02-AGT-00863-2023,"AmancioNicolas Agri Tourism Academy, Inc",Isabela,Cordon,National Highway,9175386236,,"February 21, 2025"
Region 2,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R02-AGT-00894-2023,Red theodore bonsai flower farm,Isabela,Ramon,Purok 3 san miguel ramon isabela,9975519484,,"March 23, 2025"
Region 2,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R02-AGT-00348-2021,Gonzaga Center of Agronomy Integrated Farm,Isabela,Santiago City,"214 Patul Road, Purok 4",0917-826-4012; 0917-535-2833,www.https://gonzagacenterofagronomy.com.ph,"December 4, 2025"
Region 2,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R02-AGT-00739-2022,Humming Strawberry Farm,Nueva Vizcaya,Bagabag,Amballo North,9171206060,https://www.facebook.com/hummingfarm/,"October 24, 2026"
Region 2,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R02-AGT-00924-2023,SAINTSPOT RESORT,Nueva Vizcaya,Bambang,"Salinas, Bambang, Nueva Vizcaya","13106580482, +63 9196817201",https://www.heavenlyspringsresort.com/,"April 29, 2025"
Region 2,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R02-AGT-00354-2021,COURAGE INTEGRATED FARM,Nueva Vizcaya,Bayombong,Purok 2,9209030030,,"November 17, 2025"
Region 2,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R02-AGT-01025-2023,Rocel's Integrated Farm,Nueva Vizcaya,Bayombong,"Purok 1, Magapuy",9288240654,,"December 22, 2025"
Region 2,Gallery / Museum,DOT-R02-MSM-00900-2023,CAGAYAN MUSEUM AND HISTORICAL RESEARCH CENTER,Cagayan,Tuguegarao City,"Casa Tribunal de Cagayan, Otis cor. Aguinaldo St., Centro 10",(078) 255-7201,,"August 19, 2025"
Region 2,Gallery / Museum,DOT-R02-MSM-01293-2024,ISABELA MUSEUM AND LIBRRARY,Isabela,Ilagan City,"ARRANZ STREET, OSMENA",078-3073004,,"December 13, 2025"
Region 2,Gallery / Museum,DOT-R02-HMY-00967-2023,ALCANTARA'S GUEST HOUSE,Batanes,Basco,Kayvaluganan,9664952823,,"October 31, 2026"
Region 2,Homestay,DOT-R02-HMY-00544-2022,Horlina's Homestay,Batanes,Basco,"Caspo Road.., Brgy. Kaychanarianan, Basco, Batanes",9277051469,,"October 31, 2026"
Region 2,Homestay,DOT-R02-HMY-00969-2023,PE-TER'S HOMESTAY,Batanes,Basco,"Dita St., Kayhuvokan, Basco, Batanes",9081617136,,"October 31, 2026"
Region 2,Homestay,DOT-R02-HMY-00909-2023,Puriran's Hometel,Batanes,Basco,"ihubok 1, Basco",09287608078/ 09356185597,https://web.facebook.com/me/,"October 31, 2026"
Region 2,Homestay,DOT-R02-HMY-00344-2021,EVAN'S HOMESTAY,Batanes,Basco,"Hordones Street, Kaychanarianan, Basco",9218812767,,"October 31, 2026"
Region 2,Homestay,DOT-R02-HMY-01570-2024,Ysabelle Homestay,Batanes,Basco,"Santana Street Barangay Kaychanarianan Basco, Batanes",9282342542,,"October 31, 2026"
Region 2,Homestay,DOT-R02-HMY-01381-2024,HUDHUD HOMESTAY,Batanes,Basco,"SITIO TUKON, CHANARIAN",9494654040,,"October 31, 2026"
Region 2,Homestay,DOT-R02-HMY-01309-2024,JARVAN HOMESTAY,Batanes,Basco,Kayvaluganan,9088622447,,"October 31, 2026"
Region 2,Homestay,DOT-R02-HMY-00430-2021,NECY'S HOMESTAY,Batanes,Basco,SAN ANTONIO,9999954231,,"October 31, 2026"
Region 2,Homestay,DOT-R02-HMY-00927-2023,Troy Lodge,Batanes,Basco,Argonza Street,9204470726,,"October 31, 2025"
Region 2,Homestay,DOT-R02-HMY-00319-2021,Savatan Homestay,Batanes,Basco,"Caspo Street, Brgy. Kaychanarianan",93999063063,,"October 31, 2026"
Region 2,Homestay,DOT-R02-HMY-00850-2023,WAKAY HOMESTAY,Batanes,Basco,"FAJARDO STREET, KAYVALUGANAN",9193174794,,"October 31, 2026"
Region 2,Homestay,DOT-R02-HMY-00890-2023,ACEBEDO Homestay,Cagayan,Santa Ana,"Palaui Island, San Vicente, Santa Ana, Cagayan",9777374709,,"October 31, 2026"
Region 2,Homestay,DOT-R02-HMY-00913-2023,AGTA DIGET TI PALAUI ISLAND,Cagayan,Santa Ana,SAN VICENTE,,,"October 31, 2026"
Region 2,Homestay,DOT-R02-HMY-00885-2023,DAJACAY,Cagayan,Santa Ana,"Palaui Island, San Vicente, Santa Ana, Cagayan",9567845358,,"October 31, 2026"
Region 2,Homestay,DOT-R02-HMY-00882-2023,LADDARAN'S Homestay,Cagayan,Santa Ana,"Palaui Island, San Vicente, Santa Ana, Cagayan",9052832559,,"October 31, 2026"
Region 2,Homestay,DOT-R02-HMY-00889-2023,MARIMEL Homestay,Cagayan,Santa Ana,"Palaui Island, San Vicente, Santa Ana, Cagayan",9352888561,,"October 31, 2026"
Region 2,Homestay,DOT-R02-HMY-00883-2023,WHENGVER'S Homestay,Cagayan,Santa Ana,"Palaui Island, San Vicente, Santa Ana, Cagayan",9050429881,,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-00343-2021,3K HOTEL AND RESTAURANT,Isabela,Santiago City,MALVAR,9178444433,,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-01304-2024,MAXIMILIAN HOTELS AND RESORT INC.,Isabela,Cauayan City,"District 1, Cauayan City",9178885959,,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-00798-2022,CROWN LODGE,Cagayan,Tuguegarao City,"LUNA STREET, UGAC NORTE",09651862165 / ( 078 ) 844-1739,,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-00463-2022,(PULSAR HOTEL PREMIER SUITES) JDL PULSAR PROPERTY MANAGEMENT,Cagayan,Tuguegarao City,BUNTUN HIGHWAY TUGUEGARAO CITY,9.17E+09,,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-00896-2023,Go Hotels Tuguegarao,Cagayan,Tuguegarao City,"12 Pan Philippines Brgy. Tanza, Tuguegarao City",9988401760,https://www.gohotels.ph/,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-00899-2023,JLL PULSAR HOTEL PHILIPPINES CORPORATION,Cagayan,Tuguegarao City,CAPITOL HILLS CAGGAY,9178225752,,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-00804-2022,LAS PALMAS DE SAN JOSE LEISURE CLUB,Cagayan,Tuguegarao City,"ANNE STREET, ATULAYAN SUR","(078)8448091, 09399372556",,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-00800-2022,MANGO SUITES,Cagayan,Tuguegarao City,#1 RIZAL ST. COR. BALZAIN ROAD,9176053080,,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-00327-2021,VILLA BLANCA HOTEL,Cagayan,Tuguegarao City,#13 PATTAUI ST.,9167089694,,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-00876-2023,DYNIRHO HOTEL,Isabela,Cauayan City,Consuelo Street,9457140047,,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-00716-2022,Mango Suites,Isabela,Cauayan City,"Quezon St., District 1,",9776999120,https://mangosuites.ph/cauayan/,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-00052-2021,The Hotel Andrea,Isabela,Cauayan City,"Don Jose Canciller Avenue, Cauayan City, Isabela",9178741901,https://thehotelandrea.com,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-00734-2022,THE HOTEL SOPHIA,Isabela,Cauayan City,"AIRPORT ROAD, SAN FERMIN",09171809926 or 09178812379,,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-00340-2021,Isabela Zen Hotel and Restaurant Corp.,Isabela,Santiago City,"Maharlika Highway, Villasis, Santiago City",0917-871-6955 / 0933-857-6225 / (078)305-2351,,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-00733-2022,Mango Suites,Isabela,Santiago City,#1 city Road,9165821956,,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-00771-2022,BALAI GLORIA,Nueva Vizcaya,Solano,Washington Street,9454529098,,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-00801-2022,Highlander Hotel and Resort,Nueva Vizcaya,Solano,"National Highway, Roxas",9173230289,,"October 31, 2026"
Region 2,Hotel,DOT-R02-HTL-01449-2024,ZEN HOTEL BAYOMBONG,Nueva Vizcaya,Bayombong,Bonfal Proper,9175552022,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00704-2022,Baletin Hometel,Batanes,Basco,Cantero Street,9073897122,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-01703-2025,BATANESCAPE APARTELLE,Batanes,Basco,KAYCHANARIANAN,9478547802,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-01663-2024,BATANES SEASIDE LODGE,Batanes,Basco,KAYCHANARIANAN,9693460606,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00557-2022,Beach Front Bed & Dine,Batanes,Basco,National Road,9623136881,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00565-2022,BERNARDO'S HOTEL,Batanes,Basco,"PAIN STREET, CHANARIAN",9189643825,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00539-2022,BERNARDO'S LANTIA HOTEL,Batanes,Basco,PAYIN STREET,9189643825,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00330-2021,Boulder-Bay Residences,Batanes,Basco,"National Road, San Joaquin, Basco, Batanes",9516196000,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00459-2022,Davocol's Inn,Batanes,Basco,Fabi St.,9285050611,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00468-2022,CASA FELICIANO,Batanes,Basco,"BARSANA, SAN ANTONIO",9088799263,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-01310-2024,FERRER'S VILLA RENTAL,Batanes,Mahatao,"Paz Street, Hanib, Mahatao",9281194179,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00837-2023,Den Den Guesthouse,Batanes,Basco,Dita Street corner Castillejos Street,9682278418,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00366-2021,Dive Batanes Lodge and Restaurant,Batanes,Basco,72 Chajajas Street,smart +63 998 391 1512 globe +63 927 436 7194,https://www.divebatanes.com/,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00677-2022,Florabell's Guest House,Batanes,Basco,"La Fuentes St., Cor. Castillejos St.",9291660223,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00831-2023,HILLSIDE VILLA,Batanes,Basco,"SITIO BABAT, KAYVALUGANAN",9617559880,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00462-2022,Ichehan lodge,Batanes,Basco,KAYHUVOKAN,9190047975,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00472-2022,KATUVANG B&B,Batanes,Basco,"Amboy Street, Brgy. Kayhuvokan, Basco, Batanes",9175351321,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-01380-2024,MARLOU'S INN,Batanes,Basco,Brgy. JOAQUIN,9629926806,,"October 31, 2025"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-01710-2025,MIDTOWN INN,Batanes,Basco,KAYHUVOKAN,9213677933,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00671-2022,RESIDENCIA DU BASCO,Batanes,Basco,PAYIN 1 CHANARIAN BASCO BATANES,9694170829,https://residenciadubasco.com/,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00371-2021,Ukuy's Place,Batanes,Basco,sitio tukon chanarian Basco Batanes,9087054173,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-01008-2023,PROVIDENCE INN,Batanes,Basco,Brgy. Kayvuhokan,9217725000,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00553-2022,VILLA DE BABAT,Batanes,Basco,"SANTA MARIA STREET, KAYVALUGANAN",9151928276,,"October 31, 2025"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00558-2022,VILLA HONTOMIN HOTEL AND RESTAURANT,Batanes,Basco,CHANARIAN,9278712157,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-01026-2023,SIAYANROCK HOMETEL,Batanes,Basco,"National Road, Tuhel",9672003129,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00019-2021,BAGGAK RESORT,Cagayan,Sanchez-Mira,CALLUNGAN,9190989213,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00966-2023,Country Inn Roadside Hotel and Restaurant,Cagayan,Baggao,"zone 5, El Salvador street,",9176852837,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00725-2022,CLAVERIA AGRI-BASED MULTIPURPOSE COOPERATIVE,Cagayan,Claveria,CENTRO 02,9952211263,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00722-2022,CLAVERIA GRASSROOTS OCEAN INN,Cagayan,Claveria,"Belado St. Centro 1, Claveria, Cagayan",9187945682,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00726-2022,ELDIA BEACH RESTHOUSE,Cagayan,Claveria,"Belado Street, Brgy. Centro 2 Poblacion, Claveria, Cagayan",9190636632,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00078-2021,SASA BEACH RESORT,Cagayan,Gonzaga,KM612 NATIONAL HIGHWAY,9266451095,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-01355-2024,BALAI BAIBAI BEACH RESORT,Cagayan,Gonzaga,"ZONE 7, AMUNITAN",9171028712,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00435-2021,LAZARIAN HOTEL AND RESORT,Cagayan,Sanchez-Mira,"LANGAGAN, SANCHES MIRA, CAGAYAN VALLEY",9753256099,https://m.facebook.com/lazarian/,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-01696-2025,EDEN'S LODGING HOUSE,Cagayan,Santa Ana,"ARELLANO STREET, CENTRO",09778276391 / 09171652678,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00697-2022,Kristine Resort and campsite,Cagayan,Santa Ana,Diorazinungan Sta Ana Cagayan,9175739238,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00681-2022,RAI Atrium Suites Hotel and Resort,Cagayan,Santa Ana,"Diora Zinungan, Santa Ana, Cagayan",9173262304,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00013-2021,Alimar's Hotel,Cagayan,Tuguegarao City,San Quintin Village,9171802479,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00334-2021,BENJIE'S PLACE,Cagayan,Tuguegarao City,Pengue Ruyu,9177189011,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00805-2022,Cocoon Traveler's Inn,Cagayan,Tuguegarao City,"Luna Heights, Luna Street, centro 02, Tuguegarao City",9175708756,,"October 31, 2025"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00857-2023,HOTEL ELINAS,Cagayan,Tuguegarao City,"BONIFACIO STREET, CENTRO 6",9175781998,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00012-2021,HOTEL GEORGE,Cagayan,Tuguegarao City,"AGUINALDO STREET, CENTRO 6",9177995579,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00331-2021,HOTEL JULIANA,Cagayan,Tuguegarao City,CENTRO 04,9175988089,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00011-2021,ISABELITA HOTEL AND RESTAURANT,Cagayan,Tuguegarao City,SAN GABRIEL,9189854070,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00066-2021,MLC INN,Cagayan,Tuguegarao City,CENTRO 02,9175778834,,"October 31, 2025"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00747-2022,Radlett Residences,Cagayan,Tuguegarao City,Fermin St Caritan Sur,9171907733,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00816-2023,VILLA VICTORIA HOTEL,Cagayan,Tuguegarao City,PENGUE-RUYU,9279379758,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00750-2022,VILLA SATURNINA BEACH RESORT,Cagayan,Santa Ana,Rapuli,9150833754,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00017-2021,GOLDEN A HOTEL,Isabela,Cabatuan,"NATIONAL HIWAY SAMPALOC, CABATUAN, ISABELA",9275585890,https://goldenahotel.weebly.com,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-00372-2021,CASAROSA BED AND BREAKFAST LTD. CO.,Isabela,Cauayan City,#3M. BUCAG ST.,9153802270,,"October 31, 2026"
Region 2,Mabuhay Accommodation,DOT-R02-MAB-01678-2024,CITTADELLE HOTEL,Isabela,Cauayan City,"DACANAY STREET, SAN FERMIN",9954676901,,"October 31, 2025"
Region 2,Mabuhay Accommodation,DOT-R02-RES-00906-2023,D HIRAIZUMI RESORT HOTEL,Isabela,Roxas,Munoz West,9178877250,,"October 31, 2025"
