Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
REGION 6,Water Transport Operator,DOT-R06-TWT-02721-2024,"BEBING TOURIST BOAT RENTAL/MBCA ""CORONA GARLAND""",ILOILO,CARLES,"BANCAL PORT, BRGY. BANCAL, CARLES, ILOILO",0963-935-9957,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02764-2024,E ROBLES INTERISLAND WATER PASSENGER TRANSPORT/ MBCA TATA JAY,ILOILO,CARLES,"BANCAL PORT, BANCAL, CARLES, ILOILO",0912-892-1754,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02986-2024,INDAY NANCY TOURIST BOAT RENTAL/ MBCA INDAY NANCY,ILOILO,CARLES,"BANCAL PORT, BRGY. BANCAL, CARLES, ILOILO",0998-981-6812,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02763-2024,JE TOURIST BOAT RENTAL/ MBCA TATA JAY,ILOILO,CARLES,"BANCAL PORT, BANCAL, CARLES, ILOILO",0912-892-1754,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02734-2024,KAMBAL TOURIST BOAT RENTAL/ MBCA KAMBAL,ILOILO,CARLES,"BANCAL PORT, BRGY. BANCAL, CARLES, ILOILO",0907-531-9850 / 0967-045-7550,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04108-2025,LIAM AXL TOURIST BOAT RENTAL,ILOILO,CONCEPCION,"BRGY. TAMBALIZA, CONCEPCION, ILOILO",9186305515,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04107-2025,MBC/A ISLA EXPRESS,ILOILO,CONCEPCION,"PUROK MANLOT, BRGY. MALANGABANG, CONCEPCION, ILOILO",9760081347,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04073-2025,"MBCA ""JOY HOPE""",ILOILO,CONCEPCION,"BRGY. MALANGABANG, CONCEPCION, ILOILO",9287319526,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02767-2024,"MBCA ""OX DRAGON""",ILOILO,CARLES,"GIGANTES NORTE, GRANADA, CARLES, ILOILO",0912-724-0081 / 0930-116-8116,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04071-2025,"MBCA ""PRINCE NOA""",ILOILO,CONCEPCION,"SITIO PROPER BRGY. POLOPINA, CONCEPCION, ILOILO",0915-026-6291,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04070-2025,"MBCA ""SON OF DAVID""",ILOILO,CONCEPCION,"PUROK BUDYONG, BRGY. MALANGABANG, CONCEPCION, ILOILO",0966-481-0390,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04078-2025,MBCA ARIANNE JANE,ILOILO,CONCEPCION,"BRGY. TALOTU-AN, CONCEPCION, ILOILO",9212653570,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04072-2025,MBCA BAGO SIPOL,ILOILO,CONCEPCION,"BRGY. MALANGABANG, CONCEPCION, ILOILO",9636394306,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04105-2025,MBCA FRANCINE & FRANCINE 2,ILOILO,CONCEPCION,"D.B. OÑATE STREET, BRGY. POBLACION, CONCEPCION, ILOILO",0960-925-2823,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04128-2025,MBCA HALLEL I & HALLEL III,ILOILO,CONCEPCION,"BRGY. TAMBALIZA, CONCEPCION, ILOILO",9150888116,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04069-2025,MBCA HJ BALSAMO INC. / HJB PAN DE AZUCAR,ILOILO,CONCEPCION,"BRGY.POBLACION, CONCEPCION, ILOILO",9198695172,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04149-2025,MBCA IAN AND AYESHA,ILOILO,CONCEPCION,"BRGY. TAMBALIZA, CONCEPCION, ILOILO",9631203855,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04127-2025,MBCA JOHN LAWRENCE,ILOILO,CONCEPCION,"SITIO MALIPAYON BRGY. IGBON, CONCEPCION, ILOILO",9063351403,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04077-2025,MBCA KURT RG TOURIST BOAT RENTAL,ILOILO,CONCEPCION,"BRGY. BAGONGON , CONCEPCION, ILOILO",0930-197-8161,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04106-2025,MBCA LYSTER MARK,ILOILO,CONCEPCION,"BRGY. MACATUNAO, CONCEPCION, ILOILO",9481736958,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04074-2025,MBCA MONA LIZA,ILOILO,CONCEPCION,"BRGY. MALANGABANG, CONCEPCION, ILOILO",9639040386,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-03001-2024,MBCA PRINCE AND MAE TOURIST BOAT RENTAL,ILOILO,CARLES,"BRGY. LANTANGAN, GIGANTE SUR, CARLES, ILOILO",0948-744-4284,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02727-2024,MBCA PRINCESS NN1 TOURIST BOAT,ILOILO,CARLES,"BANCAL PORT, BRGY. BANCAL, CARLES, ILOILO",0930-127-8096,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04076-2025,MBCA QUEENIE,ILOILO,CONCEPCION,"BRGY. POLOPIÑA, CONCEPCION, ILOILO",9150266291,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04148-2025,MBCA RODNIE,ILOILO,CONCEPCION,"BRGY. POLIPIÑA, CONCEPCION, ILOILO",9630425458,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04110-2025,MBCA SAND BAR,ILOILO,CONCEPCION,"BRGY. POLIPIÑA, CONCEPCION, ILOILO",9068197516,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-04075-2025,MBCA SAND BAR II,ILOILO,CONCEPCION,"BRGY. POLOPIÑA, CONCEPCION, ILOILO",9068197516,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02728-2024,MBCA ZENY TOURIST TRANSPORT SERVICES,ILOILO,CARLES,"BANCAL PORT, BRGY. BANCAL, CARLES, ILOILO",0956-633-8846,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02720-2024,"NAY LYD TOURIST BOAT RENTAL/""MBCA NAY LYD-GC""",ILOILO,CARLES,"BANCAL PORT, BRGY. BANCAL, CARLES, ILOILO",0963-428-0071,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02766-2024,"NICCO TOURIST BOAT RENTAL/MBCA ""NICCO - 1""",ILOILO,CARLES,"BANCAL PORT, BANCAL, CARLES, ILOILO",0938-096-0706,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02730-2024,NONO' APOLLO TOURIST BOAT RENTAL/ MBCA NONO APOLLO,ILOILO,CARLES,"BANCAL PORT, BRGY. BANCAL, CARLES, ILOILO",0998-981-6812,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02768-2024,NONOY MARK 2 TOURIST BOAT RENTAL/ MBCA NONOY MARK 2,ILOILO,CARLES,"BANCAL PORT, BANCAL, CARLES, ILOILO",0998-981-6812,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02733-2024,NONOY MARK TOURIST BOAT RENTAL/ MBCA NONOY MARK,ILOILO,CARLES,"BANCAL PORT, BRGY. BANCAL, CARLES, ILOILO",0998-981-6812,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-00884-2022,"OCEAN FAST FERRIES, INC.",BACOLOD CITY,BACOLOD CITY,"SIMPLICIO PALANCE SEAPORT TERMINAL, BREDCO PORT 2, RECLAMATION AREA, BRGY. 10 (POB.), BACOLOD CITY",(034) 461-9224,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02995-2024,POL'ROWEN TOURIST BOAT RENTAL/ MBCA POL-ROWEN,ILOILO,CARLES,"BANCAL PORT, BRGY. BANCAL, CARLES, ILOILO",0998-981-6812,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02723-2024,PRINCESS EN-EN TOURIST BOAT RENTAL,ILOILO,CARLES,"BANCAL PORT, BRGY. BANCAL, CARLES, ILOILO",0930-127-8096,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02722-2024,"RF MATEO TOURIST BOAT RENTAL/ ""MBCA NONOY ROLEX""",ILOILO,CARLES,"BANCAL PORT, BRGY. BANCAL, CARLES, ILOILO",0919-992-0115,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02729-2024,SALAO GIGANTES TOURIST TRANSPORT SERVICES,ILOILO,CARLES,"DAMPA KAINAN RESTAURANT, BANCAL PORT, BRGY. BANCAL CARLES, ILOILO",0917-167-7800,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02765-2024,SHANIYAH TOURIST BOAT,ILOILO,CARLES,"SITIO PROPER, ASLUMAN, CARLES, ILOILO",0948-320-4909,,4/30/2026
,​,,,,,,,,
REGION 6,Air Transport Operator,DOT-R06-TAT-03064-2024,"BORACAY HELICOPTER ADVENTURES (LIONAIR, INC.)",BORACAY-AKLAN,MALAY,"SITIO ILIG-ILIGAN BRGY. YAPAK, BORACAY ISLAND, MALAY, AKLAN",0939-913-5663,,4/30/2026
,​,,,,,,,,
REGION 6,Resort,DOT-R06-RES-01265-2022,AGZAM RESORT AND SPA MANAGEMENT CORPORATION,AKLAN,KALIBO,"LIBERATO ROAD, BRGY. LINABUAN NORTE, KALIBO, AKLAN",9311838655,,10/31/2026
REGION 6,Resort,DOT-R06-RES-00091-2021,ALOBIJOD COVE RESORT,GUIMARAS,NUEVA VALENCIA,"BRGY. POBLACION, NUEVA VALENCIA, GUIMARAS",0945-697-1200 / 0916-570-7675,,10/31/2026
REGION 6,Resort,DOT-R06-RES-00004-2021,AMILA DIVE BEACH RESORT,NEGROS OCCIDENTAL,CAUAYAN,"PUROK 3, BRGY. BULATA, CAUAYAN, NEGROS OCCIDENTAL",0917-122-6362,,10/31/2026
REGION 6,Resort,DOT-R06-RES-02645-2024,ANDANA RESORT GUIMARAS,GUIMARAS,NUEVA VALENCIA,"BRGY. POBLACION, NUEVA VALENCIA, GUIMARAS",0919-418-2632,,10/31/2026
REGION 6,Resort,DOT-R06-RES-02977-2024,ANTIQUE AMOR BUNGALOWS & VILLAS,ANTIQUE,PANDAN,"BRGY. TINGIB, PANDAN, ANTIQUE",0949-886-0024,,10/31/2026
REGION 6,Resort,DOT-R06-RES-02873-2024,AVISTA GRANDE BEACH RESORT,GUIMARAS,NUEVA VALENCIA,"SITIO TALISAY, BRGY. POBLACION, NUEVA VALENCIA, GUIMARAS",0926-705-6409,,10/31/2026
REGION 6,Resort,DOT-R06-RES-03766-2025,AZUKI CROWN BEACH HOUSE,NEGROS OCCIDENTAL,HINOBA-AN,"NATIONAL ROAD, BRGY. PO-OK, HINOBA-AN, NEGROS OCCIDENTAL",0915-991-8000,,10/31/2026
REGION 6,Resort,DOT-R06-RES-00161-2021,BEARLAND PARADISE RESORT,ILOILO,TIGBAUAN,"BRGY. TANPAEL, TIGBAUAN, ILOILO",0917-159-3833,,10/31/2026
REGION 6,Resort,DOT-R06-RES-03352-2024,BEL-IS COVE BEACH RESORT,AKLAN,BURUANGA,"BRGY. BEL-IS, BURUANGA, AKLAN",9279115128,,10/31/2026
REGION 6,Resort,DOT-R06-RES-01850-2023,BRAZAVILLE BEACH RESORT,NEGROS OCCIDENTAL,HINOBA-AN,"NATIONAL HIGHWAY, BRGY. PO-OK, HINOBA-AN, NEGROS OCCIDENTAL",0998-550-0210,,10/31/2026
REGION 6,Resort,DOT-R06-RES-01620-2022,BUGANA BEACH & DIVE RESORT,NEGROS OCCIDENTAL,SIPALAY CITY,"CAMPOMANES BAY, BRGY. MARICALUM, SIPALAY CITY, NEGROS OCCIDENTAL",9176386891,,10/31/2026
REGION 6,Resort,DOT-R06-RES-01304-2022,CAMPUESTOHAN HIGHLAND RESORT,NEGROS OCCIDENTAL,TALISAY CITY,"SITIO CAMPUESTOHAN, BRGY. CABATANGAN, TALISAY CITY, NEGROS OCCIDENTAL",0917-300-5007,,10/31/2026
REGION 6,Resort,DOT-R06-RES-00308-2021,CAVELAND NATURE PARK,CAPIZ,DUMALAG,"SITIO SUHOT, BRGY. DOLORES, DUMALAG, CAPIZ",0967-215-0680,,10/31/2026
REGION 6,Resort,DOT-R06-RES-02822-2024,COOP OCEAN VIEW RESORT,ANTIQUE,BARBAZA,"PUNTA BANWA, POBLACION, BARBAZA, ANTIQUE",9997648653,,10/31/2026
REGION 6,Resort,DOT-R06-RES-03891-2025,COSTA AGUADA ISLAND RESORT (OPEN RESORT INC.),GUIMARAS,SIBUNAG,BRGY.INAMPOLOGAN SIBUNAG GUIMARAS,(344)344541,,10/31/2026
REGION 6,Resort,DOT-R06-RES-01621-2022,EASY DIVING AND BEACH RESORT,NEGROS OCCIDENTAL,SIPALAY CITY,"PUNTA BALLO, BRGY. 4 (POB.), SIPALAY CITY, NEGROS OCCIDENTAL",9173000381,,10/31/2026
REGION 6,Resort,DOT-R06-RES-03883-2025,EON CENTENNIAL RESORT HOTEL & WATERPARK,ILOILO CITY,ILOILO CITY,"MARIKUDO STREET, ALTA TIERRA VILLAGE, JARO, ILOILO CITY",0917-710-6696,,10/31/2026
REGION 6,Resort,DOT-R06-RES-01807-2023,ESPACIO VERDE RESORT,CAPIZ,ROXAS CITY,"BRGY. DAYAO, ROXAS CITY, CAPIZ",(036) 620-3734,,10/31/2026
REGION 6,Resort,DOT-R06-RES-03847-2025,FATIMA FARM RESORT,GUIMARAS,SAN LORENZO,"PUROK PROPER BRGY.SAN ENRIQUE, SAN LORENZO, GUIMARAS",0917-125-0016,,10/31/2026
REGION 6,Resort,DOT-R06-RES-02088-2023,GARINFARM AGRITOURISM PARK,ILOILO,SAN JOAQUIN,"PUROK 2, POBLACION, SAN JOAQUIN, ILOILO",0929-671-6789/0916-667-6851,,10/31/2026
REGION 6,Resort,DOT-R06-RES-03752-2025,"GRACELAND VIEW RESORT AND RESIDENCES, INC.",NEGROS OCCIDENTAL,MURCIA,"PNOC II, BRGY. MINOYAN, MURCIA, NEGROS OCCIDENTAL",(034) 700-9660,,10/31/2026
REGION 6,Resort,DOT-R06-RES-01674-2023,"GUIMARAS MOUNTAIN RESORT AND RESTAURANT, INC.",GUIMARAS,BUENAVISTA,"BRGY. DARAGAN, BUENAVISTA, GUIMARAS",0917-812-1081,,10/31/2026
REGION 6,Resort,DOT-R06-RES-00374-2021,HI-JO CAMPOQUINO BAY BEACH HOUSE,NEGROS OCCIDENTAL,SIPALAY CITY,"BRGY. 4 (POB.), SIPALAY CITY, NEGROS OCCIDENTAL",0951-750-9403,,10/31/2026
REGION 6,Resort,DOT-R06-RES-00609-2022,ISTORYA FOREST GARDEN INCORPORATED,CAPIZ,PANAY,"BRGY. POBLACION ILAYA, PANAY, CAPIZ",(036)6210773,,10/31/2026
REGION 6,Resort,DOT-R06-RES-01520-2022,JADE ENERGETIC PARADISE AND ADVENTURE CORPORATION,ILOILO,BADIANGAN,"BRGY. CABAYOGAN, BADIANGAN, ILOILO",9302697363,,10/31/2026
REGION 6,Resort,DOT-R06-RES-03269-2024,LAKAWON ISLAND RESORTS & SPA,NEGROS OCCIDENTAL,CADIZ CITY,"LAKAWON ISLAND, BRGY. CADIZ VIEJO, CADIZ CITY, NEGROS OCCIDENTAL",9472483676,,10/31/2026
,,,(HOME INVEST PARKS & DEVELOPMENT INC.),,,,,,
REGION 6,Resort,DOT-R06-RES-01698-2023,LAPUERTA EL PARAIZO BEACH RESORT,GUIMARAS,NUEVA VALENCIA,"BRGY. SAN ROQUE, NUEVA VALENCIA, GUIMARAS",0917-104-4181/0960-834-6509,,10/31/2026
REGION 6,Resort,DOT-R06-RES-02831-2024,MAGIC ISLAND RESORT,GUIMARAS,NUEVA VALENCIA,"BRGY. TANDO, NUEVA VALENCIA, GUIMARAS",0950-601-3365,,10/31/2026
REGION 6,Resort,DOT-R06-RES-02638-2024,MAMBUKAL RESORT AND WILDLIFE SANCTUARY,NEGROS OCCIDENTAL,MURCIA,"BRGY. MINOYAN, MURCIA, NEGROS OCCIDENTAL",4320029,,10/31/2026
REGION 6,Resort,DOT-R06-RES-00347-2021,MAMBUQUIAO RISE RESORT INC.,AKLAN,BATAN,"SITIO BAYBAY, BRGY. MAMBUQUIAO, BATAN, AKLAN",0908-243-6535 / 272-6936,,10/31/2026
REGION 6,Resort,DOT-R06-RES-00831-2022,MARCEILY POINT RESORT,GUIMARAS,SAN LORENZO,"BRGY.TAMBORONG SAN LORENZO, GUIMARAS",0970-096-4058,,10/31/2026
REGION 6,Resort,DOT-R06-RES-03028-2024,NANA'S PLACE RESORT,NEGROS OCCIDENTAL,BAGO CITY,"ARANETA STREET, BRGY. SAMPINIT, BAGO CITY, NEGROS OCCIDENTAL",0917-305-5700,,10/31/2026
REGION 6,Resort,DOT-R06-RES-00217-2021,"NATAASAN BEACH RESORT AND DIVE CENTER, INCORPORATED",NEGROS OCCIDENTAL,SIPALAY CITY,"PUNTA BALLO, BARANGAY 4 (POB.), SIPALAY CITY, NEGROS OCCIDENTAL",0999-344-1113,,10/31/2026
REGION 6,Resort,DOT-R06-RES-00089-2021,NATURE'S EYE BEACH RESORT,GUIMARAS,NUEVA VALENCIA,"BRGY. TANDO, NUEVA VALENCIA, GUIMARAS",9074847945,,10/31/2026
REGION 6,Resort,DOT-R06-RES-01303-2022,NATURE'S VILLAGE RESORT,NEGROS OCCIDENTAL,TALISAY CITY,"ZONE 15, TALISAY HIGHWAY, BRGY. ZONE 15 (POB.), TALISAY CITY, NEGROS OCCIDENTAL",(034) 495-0808,,10/31/2026
