Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00068-2021,Daluyong Beach Resort,Surigao del Norte,General Luna,"Daluyong Beach Resort, Tourism Road",9187054923,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00167-2021,Diwa Siargao,Surigao del Norte,General Luna,Tourism Road Malinao General Luna,9453443812,https://www.diwasiargao.com,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00136-2021,Edward Patrecia Pension House,Surigao del Norte,General Luna,Tourism Road,9771376140,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00570-2023,Emerald House,Surigao del Norte,General Luna,Tourism Road,9813576707,http://www.emeraldhousevillage.com/,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00072-2021,EPBLISS RESORT,Surigao del Norte,General Luna,"Sitio Lisub, Brgy.Malinao, General Luna, Surigao del Norte",9270496254,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00202-2021,FOXTAIL GUEST HOUSE,Surigao del Norte,General Luna,POBLACION 5 GENERAL LUNA SURIGAO DEL NORTE,6.39E+11,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00083-2021,Gardenview Homestay,Surigao del Norte,General Luna,"brgy. Catangnan General luna, surigao del norte",9996768337,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00160-2021,Goodlife Siargao Hostel,Surigao del Norte,General Luna,"Poblacion 5, Tourism Road, General Luna, Surigao Del Norte",9951650225,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00193-2021,GREENHOUSE SIARGAO,Surigao del Norte,General Luna,"TOURISM ROAD, SAGING SAGING",9301801195,https://www.greenhousesiargao.com/,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00148-2021,Happiness Beach Resort (formerly known as Arka Hayahay Surf and Beach Resort),Surigao del Norte,General Luna,"Catangnan, General Luna",9171290082,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00553-2023,Happiness Hostel and Restaurant,Surigao del Norte,General Luna,"Tourism Road, Brgy. Catangnan, General Luna, Surigao Del Norte",9171290082,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00147-2021,HARANASURF INC.,Surigao del Norte,General Luna,TUASON POINT,9988495461,https://haranasurf.com/,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00581-2023,Harris Camping Facilities Rentals,Surigao del Norte,General Luna,Lot number 19041A,9336792413,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00158-2021,HASHTAGPARADISO HOSTEL,Surigao del Norte,General Luna,Paradiso Hostel Purok 5 General Luna Siargao,9177107111,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00145-2021,Himaya Siargao Villa Rental,Surigao del Norte,General Luna,3036-P Old Tourism Road,9272820372,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00074-2021,HirayaSurf Hostel,Surigao del Norte,General Luna,"Barangay Catangnan, General Luna, Siargao",9176396509,https://web.facebook.com/HirayaSurfHostel,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00537-2023,Hostel Bajala Siargao Corp,Surigao del Norte,General Luna,Malinao Road,9176597171,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00237-2022,Isola del Sole Villas and Resort,Surigao del Norte,General Luna,"Sta.Ines,Catangnan, General Luna Surigao del Norte",9489748114,https://www.facebook.com/meggy22.com.net/,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00099-2021,Jadestar Lodge,Surigao del Norte,General Luna,Brgy 1 poblacion 1,9451443690,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00036-2020,Kawili Resort,Surigao del Norte,General Luna,"POB.5, GENERAL LUNA,SURIGAO DEL NORTE",9989804990,http://www.siargaophilippines.com,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00260-2022,Kesa Cloud 9 Hotel Inc.,Surigao del Norte,General Luna,Brgy. Catangnan General luna Siargao Island Surigao Del Norte,9175800580,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00189-2021,Lagkaw Siargao Villas,Surigao del Norte,General Luna,"Lagkaw Siargao Villas, Lot 2080 Camangahit Street",9565147623,https://www.lagkawsiargao.com,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00568-2023,Langojon JianJoy Beach Resort,Surigao del Norte,General Luna,"Purok 1 , Santa. Fe , General Luna , Surigao del Norte",9157267584,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00086-2021,L'Osteria Ristorante Italiano - Vineria,Surigao del Norte,General Luna,Tuason Beach,9178923537,https://web.facebook.com/?_rdc=1&_rdr,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00162-2021,Lubihan Siargao,Surigao del Norte,General Luna,Tourism Rd.,6.39E+11,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00172-2021,Luna Tres Homestay,Surigao del Norte,General Luna,"Purok 3, General Luna Surigao Del Norte",9774154304,https://www.instagram.com/lunatressiargao/?hl=en,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00210-2021,Ma. Razil homestay,Surigao del Norte,General Luna,"BRGY 5,POBLACION GENERAL LUNA SURIGAO DEL NORTE",9468094355,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00271-2022,MAD MONKEY HOSTEL SIARGAO,Surigao del Norte,General Luna,"BRGY. CATANGNAN,GENERAL LUNA SURIGAO DEL NORTE",9953471387,https://www.madmonkeyhostels.com,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00067-2021,Mao Mao Surf,Surigao del Norte,General Luna,Sta. ines,9084749759,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00169-2021,Matanjak Guesthouse & Surfshop,Surigao del Norte,General Luna,Sta. Ines,09288595233 or 09178810815,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00171-2021,Maya villa home stay,Surigao del Norte,General Luna,Porok 3 brangy catangnan,9456618245,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00208-2021,MUNIMUNI VILLAS (FORMERLY KNOWN AS MUNI-MUNI VILLAS SIARGAO),Surigao del Norte,General Luna,"Tourism Road, Brgy. Catangnan, General Luna, Surigao Del Norte",9564791054,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00468-2023,OCEAN 202 HOMESTAY,Surigao del Norte,General Luna,OCEAN 202 HOMESTAY PUROK 2 GENERAL LUNA,9198268837,https://web.facebook.com/Ocean202homestay,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00156-2021,OHANA GUESTHOUSE,Surigao del Norte,General Luna,"BRGY 5 GENERAL LUNA, SURIGAO DEL NORTE",9158443570,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00080-2021,Patrick's on the Beach,Surigao del Norte,General Luna,"poblacion 3, General Luna Surigao Del Norte",9204317361,https://www.facebook.com/patrickonthebeachresort/,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00065-2021,Payag Suites,Surigao del Norte,General Luna,Catangnan,6.39E+11,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00177-2021,Privacy Residency,Surigao del Norte,General Luna,"Tourism Road, Catangnan General Luna Surigao Del Norte",9708970240,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00100-2021,RDM BEACH RESORT,Surigao del Norte,General Luna,"Barangay Malinao, General Luna, Surigao Del Norte",9190006408,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00071-2021,Romantic Beach Villas,Surigao del Norte,General Luna,Barangay 5 General Luna,9166226635,htttp://www.romanticbeachvillas.com,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00536-2023,Ronaldos Inn & Restaurant,Surigao del Norte,General Luna,Pob.3 Tourism Rd. General Luna,09473301816/ 09462079917,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00203-2021,SEACLUB Siargao,Surigao del Norte,General Luna,Catagnan Backroad,6.40E+11,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00259-2022,SENTROSUITES VILLA RENTAL [FORMERLY KNOWN AS SENTRO SUITES],Surigao del Norte,General Luna,"La Purisima St., Purok 2",6.39E+11,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00176-2021,Sing Property Rental,Surigao del Norte,General Luna,"Sing Property, Brgy. Malinao",9176383693,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00201-2021,SOULTRIBE BEACH RETREAT,Surigao del Norte,General Luna,"Soultribe beach retreat, Malinao, General luna",9194905531,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00197-2021,Sunflower House,Surigao del Norte,General Luna,tourism road,9562696991,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00087-2021,Sunlit Hostel,Surigao del Norte,General Luna,Pangpang Santa Ines Brgy. Catangnan,6.39E+11,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00070-2021,SUYOG SPACES SUITES,Surigao del Norte,General Luna,9141,9292545372,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00220-2022,Sweet Home Hostel,Surigao del Norte,General Luna,"POBLACION 3, GENERAL LUNA, SDN",9778435410,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00178-2021,Tarzan's House,Surigao del Norte,General Luna,"Tarzan's House, Tuason Point",9206027479,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00184-2021,The Broken Board,Surigao del Norte,General Luna,Bones Lane,#ERROR!,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00580-2023,The Ferra Premier by JG,Surigao del Norte,General Luna,"Ferra Resort Siargao, Brgy. Malinao, General Luna, Surigao del Norte",-3948,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00166-2021,The Living Room,Surigao del Norte,General Luna,"Purok 5, Poblacion, General Luna, SDN",9174188733,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00130-2021,The Village Siargao,Surigao del Norte,General Luna,"Malinao Tourism Road, Brgy. Malinao",#ERROR!,https://www.thevillagesiargao.com/,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00140-2021,TRAVELLER'S BEACH RESORT,Surigao del Norte,General Luna,"Brgy. 5 Poblacion, General Luna, Surigao del Norte",9356816312,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00079-2021,TRES ISLAS HOSTEL,Surigao del Norte,General Luna,"Sitio Sta, Inis Catangnan General Luna",9499338891,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00175-2021,Tropic Hostel,Surigao del Norte,General Luna,Brgy Purok 4 General Luna Surigao del Norte,6.39E+11,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00150-2021,TROPICAL TEMPLE SIARGAO ( formerly known as I LOVE SIARGAO RESORT ),Surigao del Norte,General Luna,"STA. INES, CATANGNAN, GENERAL LUNA, SURIGAO DEL NORTE",09206619007 / New email: tropicaltemplesiargao@gmail.con,https://web.facebook.com/tropicaltemplesiargao,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00129-2021,Victoria's Inn,Surigao del Norte,General Luna,"Tourism Road, Brgy. Poblacion III, General Luna, Surigao del Norte",9503090031,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00081-2021,VIVO INN RESORT AND RESTAURANT,Surigao del Norte,General Luna,"Brgy. Poblacion 5, General Luna, Surigao del Norte",9199534671,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00550-2023,YAMAHARLEY BEACHFRONT APARTMENTS,Surigao del Norte,General Luna,"Brgy.5, General Luna",9453443514,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00199-2021,Yayay Homestay,Surigao del Norte,General Luna,"Malinao, General Luna, Siargao",9560842749,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00543-2023,Youwander Inc. (Coracasa Bed and Breakfast),Surigao del Norte,General Luna,Tourism Road,9493460868,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00570-2023,Kawa Resort,Surigao del Norte,General Luna,"Malinao, General Luna, Siargao",9151219064,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00856-2024,Siargao Inn,Surigao del Norte,General Luna,"General Luna, Surigao del Norte",9399103011,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00878-2024,Kaimana Beach Resort,Surigao del Norte,General Luna,"General Luna, Surigao del Norte",9171561221,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00038-2020,RIAD MASAYA HOMESTAY,Surigao del Norte,General Luna,"Tourism Rd, General Luna, Surigao del Norte",9201735559,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00897-2024,Sea Green Cafe,Surigao del Norte,General Luna,"Tourism Rd, General Luna, Surigao del Norte",9855722295,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00187-2021,BULAN VILLAS SIARGAO INC.,Surigao del Norte,General Luna,"Catangnan, General Luna, Surigao del Norte",9671333139,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-01038-2024,BLAUSET HOUSE 1,Surigao del Norte,General Luna,"Purok V, General Luna, Surigao del Norte",9177138094,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00992-2024,BAYAY HAYAHAY HOMESTAY,Surigao del Norte,General Luna,"Purok V, General Luna, Surigao del Norte",9630757711,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00089-2021,FOREVER SIARGAO (FORMERLY KNOWN AS MAY FOREVER DESTINATIONS INC),Surigao del Norte,General Luna,"Purok V, General Luna, Surigao del Norte",9194105312,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00956-2024,GGL COTTAGE RENTAL,Surigao del Norte,General Luna,"Catangnan, General Luna, Surigao del Norte",362883646,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00955-2024,MYLOVE SIARGAO VILLA RENTAL,Surigao del Norte,General Luna,"Malinao, General Luna, Surigao del Norte",639958195679,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00946-2024,DODONG HOMESTAY,Surigao del Norte,General Luna,"General Luna, Surigao del Norte",9608355917,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00135-2021,La Boheme,Surigao del Norte,General Luna,"Sta. Ines, Catangnan, General Luna, Surigao del Norte",9620400663,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-01108-2024,Rucksack Inn Siargao,Surigao del Norte,General Luna,"Rucksack Inn Siargao, Lot 2967, Bgy. Catangnan, General Luna, Surigao del Norte",9177190129,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00267-2022,DaRosa Del Mar Beach Resort,Surigao del Norte,Santa Monica,Purok 6,9664569228,Https://www.darosadelmar.com,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00862-2024,YAPAK BEACH VILLAS,Surigao del Norte,San Isidro,"Pacifico, San Isidro, Surigao del Norte",9056071452,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00993-2024,TROGON'S PERCH RESORT,Surigao del Norte,San Isidro,"Pacifico, San Isidro, Surigao del Norte",639151228619,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00088-2021,Balanghai Tara Sohoton Beach Resorts Inc,Surigao del Norte,Socorro,Bucas Grande Island Surigao Delnorte,9175225500,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00569-2023,Hi dden Island Resort,Surigao del Norte,Socorro,"Brgy. Helene, Socorro, Surigao del Norte",9564388561,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00559-2023,SOHOTON NAKIAUIT RESORT,Surigao del Norte,Socorro,"San Roque, Socorro, Surigao del Norte",9985415547,https://web.facebook.com/SohotoNakiauitResort,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00560-2023,TAFIMCO- LAGOON TIKTIKAN & SOHOTON GAMAY RESORT,Surigao del Norte,Socorro,"BRGY. SAN ROQUE, SOCORRO, SURIGAO DEL NORTE",9308727757,https://web.facebook.com/LagoonTiktikan,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00237-2022,Isola del Sole Villas and Resort,Surigao del Norte,General Luna,"Brgy. Catangnan, General Luna, Surigao del Norte",9489748114,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00068-2021,DALUYONG BEACH RESORT,Surigao del Norte,General Luna,"General Luna, Surigao del Norte",9187054923,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00150-2021,TROPICAL TEMPLE SIARGAO,Surigao del Norte,General Luna,"General Luna, Surigao del Norte",9206619007,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00256-2022,O'S LANDING BEACH RESORT,Surigao del Sur,San Agustin,"San Agustin, Surigao del Sur","09672118467, 09985633500, 09505483800, 09209746055",,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00560-2023,TAFIMCO-LAGOON TIKTIKAN & SOHOTON GAMAY RESORT,Suirgao del Norte,Socorro,DOT-R13-MAB-00560-2023,9308727757,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00070-2021,SUYOG SPACES SUITES,Surigao del Norte,General Luna,"Poblacion 3, General Luna, Surigao del Norte",9292545372,,"October 31, 2026"
Region 13,Tour Operator,DOT-R13-TOP-00557-2023,Siarescapade Package Tour Services,Surigao del Norte,Socorro,"Taruc, Socorro, Surigao del Norte",9091101237,,"June 30, 2026"
Region 13,Tour Operator,DOT-R13-TOP-00558-2023,SIARGAO-ISLAND TRAVEL & TOURS,Surigao del Norte,Socorro,"Taruc, Socorro, Surigao del Norte",9196476677,,"June 30, 2026"
Region 13,Tour Operator,DOT-R13-TOP-00554-2023,Ate-Jo's Travel and Tours,Surigao del Norte,Socorro,"Navarro, Socorro, Surigao del Norte",9667204577,,"June 30, 2026"
Region 13,Tour Operator,DOT-R13-TOP-00556-2023,Oliver Grande Tours,Surigao del Norte,Socorro,"Sudlon, Socorro, Surigao del Norte",9262948116,,"June 30, 2026"
Region 13,Tour Operator,DOT-R13-TOP-00954-2024,AJA SIARGAO TRAVEL AND TOURS,Surigao del Norte,Socorro,"Taruc, Socorro, Surigao del Norte",9676594305,,"June 30, 2026"
Region 13,Tour Operator,DOT-R13-TOP-00564-2023,SOHOTON COVE PH TRAVEL AND TOURS,Surigao del Norte,Socorro,"Rizal, Socorro, Surigao del Norte",9487656862,,"June 30, 2026"
Region 13,Tour Operator,DOT-R13-TOP-00979-2024,SOHOTON NAKIAUIT TRAVEL & TOURS,Surigao del Norte,Socorro,"Navarro, Socorro, Surigao del Norte",9985415547,,"June 30, 2026"
Region 13,Tour Operator,DOT-R13-TOP-00980-2024,SOHOTONCOVE TRAVEL AND TOURS,Surigao del Norte,Socorro,"Navarro, Socorro, Surigao del Norte",9811083336,,"June 30, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00336-2023,Annex Hotel,Surigao del Norte,Surigao City,"Annex Hotel Tavern, Borromeo Street, Barangay Taft, Surigao City",9989531722,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00582-2023,Destajo Travellers Inn,Surigao del Norte,Surigao City,"P-7, Navalca",09777428873 / 09272000995 / 09287948647 / 2315204,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00062-2021,Le Chard Place Bed and breakfast,Surigao del Norte,Surigao City,Km. 4 national highway Brgy.luna surigao city,086 2315107,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00006-2020,LOKAL SUITES,Surigao del Norte,Surigao City,"Narciso St., near cor. Kaimo St.,",(086)827-4328/0998-885-6294,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00075-2021,Miami City Suites Corporation,Surigao del Norte,Surigao City,San Nicolas Street,9988856236,https://www.miamicitysuites.com,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00063-2021,SURIGAO TOURIST INN,Surigao del Norte,Surigao City,"P-7 NAVALCA, ROLAND SERING STREET",09204741131/0868268886,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00017-2020,SURIGAO TOURIST INN ANNEX,Surigao del Norte,Surigao City,"P-2 BRGY. SAN JUAN, SURIGAO CITY",9204741131,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00469-2023,VMO Tourist Inn,Surigao del Norte,Surigao City,"1512 M.ortiz Street, BRGY. WASHINGTON, SURIGAO CITY",9363669691,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00494-2023,Paper Country Inn,Surigao del Sur,Bislig City,"Tabon, Bislig City",9176289291,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00057-2021,G and A Seaside Resort,Surigao del Sur,Cagwait,"Purok 6, Poblacion, Cagwait, Surigao del Sur",9177025674,https://www.facebook.com/GASeasideResort,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00282-2022,JPL SANDSCAPE RESORT,Surigao del Sur,Cagwait,"Purok 6, Brgy. Lactudan, Cagwait, Surigao Del Sur",9270322630,https://www.facebook.com/SandScapeResort,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00056-2021,KALIGUAN BEACH RESORT (formerly known as LGU Beach Resort),Surigao del Sur,Cagwait,"Purok 6, Poblacion, Cagwait Surigao Del Sur",9317475915,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00055-2021,LIZVIL BEACH RESORT,Surigao del Sur,Cagwait,"P-4, Lactudan, Cagwait Surigao Del Sur",9317553657,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00109-2021,Monica del Sol Resort,Surigao del Sur,Cagwait,"Purok 6, Poblacion, Cagwait, Surigao del Sur",9161017861,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00061-2021,XTRM BEACH RESORT,Surigao del Sur,Cagwait,"Purok 6, Poblacion, Cagwait, Surigao del Sur",999953910,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-01073-2024,Yanto Beach Resort,Surigao del Sur,Cagwait,"Purok 6, Poblacion, Cagwait, Surigao del Sur",9630990980,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00222-2022,AVISHA SUITES,Surigao del Sur,Hinatuan,ESPAÑA STREET. AVISHA SUITES BUILDING,9999381828,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00219-2022,DAVINCE HIDDEN PARADISE RESORT,Surigao del Sur,Hinatuan,"P3 Brgy. Harip, Hinatuan Suigao del Sur",9184269155,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00115-2021,Hinatuan Adventure Park,Surigao del Sur,Hinatuan,"P6 Brgy. Talisay, Hinatuan, Surigao del Sur",9229302469,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00461-2023,Isabelle's Tourist Hotel,Surigao del Sur,Hinatuan,"Casa Isabelle Bldg,T Caneda St, P1 La Casa, Hinatuan",09451855788 / 09451855807,https://www.facebook.com/CasaIsabelleTouristHotel,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00221-2022,Kamayo Hostel,Surigao del Sur,Hinatuan,"P1 Brgy. Sto Nino, Hinatuan, Surigao del Sur",9064605712,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00552-2023,LODESTONE SHORES RESORT,Surigao del Sur,Hinatuan,"Pangasinan, Port Lamon, Hinatuan, Surigao del Sur",9174961299,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00460-2023,ARENA BLANCA RESORT,Surigao del Sur,San Agustin,"Brgy Bretania, San Agustin, Surigao del Sur",9190670607,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00218-2022,CAMP SOTERIA BEACH RESORT,Surigao del Sur,San Agustin,PUROK 4,9212923838,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00211-2021,La Entrada Resort and Restaurant,Surigao del Sur,San Agustin,"Brgy. Britania, San Agustin, Surigao del Sur",9177209207,,"October 31, 2025"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00256-2022,O's Landing Beach Resort,Surigao del Sur,San Agustin,"San Agustin, Bretania, Surigao del Sur","09672118467, 09985633500, 09505483800, 09209746055",,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00562-2023,Villa Rosalina Resort,Surigao del Sur,San Agustin,"P6 Bretinia, San Agustin Surigao del sur",9177138243,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00265-2022,Ysha's Resthouse and Catering Services,Surigao del Sur,San Agustin,"Purok 6, Bgy Bretania, San Agustin, Surigao del Sur",9614845631,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00173-2021,SLSC- Pacific View Hotel,Surigao del Sur,Tandag City,"BOULEVARD BAGONG LUNGSOD, TANDAG ,CITY",9120001695,,"October 31, 2024"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-01095-2024,DAWEEZ PENSION HOUSE,Surigao del Sur,Tandag City,"San Agustin Sur, Tandag City, Surigao del Sur",09999932910 / 09813585500,,"October 31, 2026"
Region 13,Mabuhay Accommodation,DOT-R13-MAB-00861-2024,CANTILAN COMMUNITY MULTIPURPOSE COOPERATIVE - HOTEL KARAJAW,Surigao del Sur,Cantilan,"Cantilan, Surigao del Sur",9507655289,,"October 31, 2024"
Region 13,​,,,,,,,,
Region 13,MICE Organizers,DOT-R13-MCO-00905-2024,"KULTURE REVIVAL EVENTS CORE, INC.",Agusan del Norte,Butuan City,"Libertad, Butuan City, Agusan del Norte",9171261812,,"June 30, 2026"
Region 13,MICE Organizers,DOT-R13-MCO-00952-2024,"ONE CORPORATE GRAND TOURS, INC.",Agusan del Norte,Butuan City,"Lower Doongan, Butuan City, Agusan del Norte",9178913556,,"June 30, 2026"
Region 13,MICE Venue / Facility,DOT-R13-MCF-00053-2021,LMX Hotel and Convention Center,Agusan del Norte,Butuan City,"Purok 1 Bancasi, Butuan CIty",9458823254,,"June 30, 2026"
Region 13,Spa,DOT-R13-SPA-00442-2023,Spa Lueur,Agusan del Norte,Butuan City,"2F PS Arcade Deofavente Bldg J Rosales Ave., Butuan City",9705449035,,"May 28, 2025"
