Region,Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00988-2022,GLOBAL LEISURE TRAVEL AND TOURS,Rizal,Taytay,2F Geronimo Bldg. 30 L Wood St. Brgy. Dolores,9218402768,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-02229-2025,IRONSANMIG JET-SETTING TRAVEL AND TOURS,Rizal,Taytay,"Unit 204 JDL Francisco Bldg. Manila East Road, Bangiad, Brgy San Juan, Taytay Rizal",9178100656,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01151-2023,DNCS TRAVEL AND TOURS,Rizal,Antipolo City,123 B Cadena de Amor St Greenheights Subd,09321659176 / 09774583218,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01076-2022,Guisokians Travel and Tours,Laguna,Cabuyao,"Mamatid, Cabuyao, Laguna",495505946 / 09230221991,https://guisokians.webtulz.site,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-RA-TTA-00105-2021,HARVESTER'S TRAVEL AND TOURS,Laguna,Pila,111 M.H Del Pilar Street Brgy. Bulilan Norte (Pob.),,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-02097-2025,JE TRAVEL AND TOURS,Laguna,Biñan,UNIT 201 2ND FLOOR MB AGUIRRE BLDG DR A GONZALES ST BRGY SAN JOSE BINAN LAGUNA,9395218437,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01029-2022,JEN AND GIL TRAVEL AND TOURS,Laguna,Sta. Cruz,"Lot 56, Sitio 5, Brgy. San Juan",9153869635,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01980-2024,JIGOLO TRAVEL AND TOURS,Quezon,Candelaria,Cabunyag Street,9983284417,https://jigolotravel.com/,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00924-2022,JMX TRAVEL AND TOURS,Cavite,Imus City,"Blk 4 Lot 4 Barcelona Drive, Barcelona Homes Phase 1, Buhay na Tubig,",,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00399-2021,JOURNEY BEYOND TIME TRAVEL AND TOURS SERVICES,Batangas,Batangas City,P GOMEZ STREET,9688881420,https://www.journeybeyondtimetravel.com,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01827-2024,J'STINATION TRAVEL AND TOURS,Laguna,Binan City,B19 L22 Unit G 2nd Floor South City Drive St. South City Homes,09285540112/0495482781,,"June 30, 2025"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00202-2021,Juan Pasyalan Travel and Tours,Laguna,Cabuyao,"1045 Me, P. Burgos St., Brgy. Dos (Pob)",049 304 9879,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01864-2024,JUSTCHILL TRAVEL & TOURS,Batangas,Batangas City,"R&E bldg. Barangay Bolbok, National rd.",9052162713,,"June 30, 2025"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-02188-2025,JVLA Easy Travel and Tours,Cavite,Naic,"Antero Soriano Highway, Ibayo Silangan","09985140812, 09178490246, (046) 4387244",https://jvlaeasytravel.weebly.com/,"June 30, 2026"
,Region 4A,Travel Agency,DOT-R4A-TRA-02171-2025,PORT-2-PORT TRAVEL & TOURS,Cavite,Trece Martires City,"051 TRECE-INDANG ROAD, LUCIANO (Bitangan)",9.57E+09,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01845-2024,LE TRAVEL AND TOURS,Batangas,Batangas City,Purok 3 National Highway Calicanto,9273806217,,June 30 2025
,Region 4A,Travel and Tour Agency,DOT-R4A-TRA-00509-2021,Let's Get Travel,Cavite,Dasmariñas City,"2nd flr Blk 3 Lot 10 Mabuhay Commercial, Paliparan III",(046) 4898886/ 09261515156/ 09213320035,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-02082-2025,MASADYA TRAVEL AND TOURS,Cavite,Dasmariñas City,"Don P. Campos Avenue Corner I, Mangubat St. Zone 4",9153464741,http://masadyatravelandtours.website3.me,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01861-2024,METROWANDERER TRAVEL SERVICES,Rizal,Antipolo City,"SECOND LEVEL, SM CITY MASINAG, MAYAMOT",9153427200,,"June 30, 2025"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00013-2020,My Destination Tours and Travel,Rizal,Antipolo City,"342-343 SM Cherry Antipolo, Marcos Highway",86355022,http://mydestinationph.com,"June 30, 2026"
,Region 4A,Travel Agency,DOT-R4A-TRA-00236-2021,PAKISUYO TRAVEL AND TOURS,Cavite,Dasmariñas City,Camerino corner San Juan Sts,9178053266,https://pakisuyo.com/,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01971-2024,PICK A TRIP TRAVEL AND TOURS,Quezon,Lucena City,"2nd floor SM City Lucena Maharlika Highway, corner Dalahican Rd",0926 044 8716 / 0917 659 2626,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00666-2022,ROYAL DESTINATION TRAVEL AND TOURS,Cavite,Bacoor City,UNIT 8 2ND FLOOR SAED BUILDING MOLINO ROAD MOLINO 3 BACOOR CAVITE,9458312020,https://royaldestination-travel.com/,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01106-2022,Renan Tina Travel and Tours,Laguna,San Pedro,"B2 L7 NARRA AVENUE SAINT JOSEPH VILLAGE 10 PHASE 2, LANGGAM",,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00484-2021,RODHESS TICKETING AND TRAVEL SERVICES,Quezon,Tayabas City,"Block 9 Lot 7 Leveriza Drive, Leveriza Heights Subdivision, Isabang",427847279,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01003-2022,Sam's Travel and Tours Services,Cavite,Kawit,260 Marulas,"0919-000-8001, 0919-003-3067, 0915-473-2508",https://www.facebook.com/weconquerph,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01932-2024,Sardonyx Tours & Travel,Rizal,Antipolo City,"B4 L33 Emerald Hills Subd. Sumulong Highway, Sta. Cruz",,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00195-2021,SCRIPT TRIP TRAVEL AND TOURS,Cavite,Carmona,"Unit 203 Pelicon Bldg., Sugar Road Cityland Subdivision Brgy. Mabuhay",046-8895651,https://www.scripttriptravel.com/,"June 30, 2026"
,Region 4A,Travel Agency,DOT-R4A-TTA-00343-2021,Skyland Travel & Tours by: Jolee Ann A. Adefuin,Laguna,Santa Cruz,"National Highway, Brgy. Patimbao",495466084,https://itravelwithskyland.com/,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01913-2024,Skylounge Travel and Tours,Laguna,Sta. Rosa,2FS-5 BLDG. D SOLENAD 3 AYALA MALL NUVALI,,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01029-2022,Jen and Gil Travel and Tours,Laguna,Santa Cruz,"Lot 56, sitio 5, brgy. San juan, santa cruz, laguna",9153869635,https://www.facebook.com/JAGTAT.ph,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00331-2021,SRV Travel Services Inc.,Rizal,San Mateo,112 125B Gen Luna Street Ampid 1,83341682,https://srvtravel.com.ph/,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00112-2021,Super Save Leisure Travel & Tours,Cavite,Dasmariñas City,"HMO Building, Aguinaldo Highway, Brgy. Salitran II",,,"June 30, 2026"
,Region 4A,Travel Agency,DOT-R4A-TRA-01383-2023,TAYTAY TRAVEL BUREAU,Rizal,Taytay,228 Rizal Ave. cor. Salazar St,9085640161,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-02170-2025,JYLTRES MARIAS TRAVEL & TOURS,Batangas,Calaca,"412 Brgy. 1, Calaca, Batangas",9175261957,https://jyltresmariastravel.com/,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01855-2024,Twise Travel and Tours,Laguna,Calauan,L. Geroisa Avenue Brgy Silangan,09369396930 / 09053851785,,"June 30, 2025"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-02218-2025,MELQUISEDEC TRAVEL AND TOURS,Laguna,Nagcarlan,2nd Floor of Plantilla Store #063 Rizal Avenue,492534213,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01462-2023,VIAJE TRAVEL AND TOURS,Laguna,Santa Cruz,"A. REGIDOR ST., BRGY. IV (POB)",9158375470,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00960-2022,VICTORY OF ALTHEA'S TRAVEL AND GENERAL SERVICES,Batangas,Lemery,"RIZAL ST, DISTRICT II (POB)",9171565503,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-02234-2025,Atyourside Travel and Tours Services,Batangas,Malvar,JP Laurel Poblacion Malvar Batangas,9958932707,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-02235-2025,D' FRANCE TRAVEL INC.,Batangas,Lipa City,"JOSEPHINE BUSINESS PROPERTIES, J.P. LAUREL HIGHWAY",(043) 774-5113,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TRA-01332-2023,Wanderlust Travel and Tours,Batangas,Lipa City,2F ASTRAL HUB AYALA HIGHWAY,437021686,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01287-2023,VON AIRE TRAVELS AND TOURS,Cavite,Carmona,"Unit E Ground Flr. Deems Bldg. Sugar Road, City Subdivision, Brgy. Mabuhay",046 483 0697 / 09060287995,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01919-2024,Vantrippers Travel and Tours,Cavite,General Trias,"HMC Building unit 5 Brookside lane Arnaldo Hi way, San Francisco",,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00106-2021,Viajero Gabrielle Travel and Tour,Cavite,Imus City,"Blk 12 Lot 23 Phase A Legian 2, Brgy. Carsadang Bago I",9173345206,https://vgttourscom.wordpress.com/,"June 30, 2026"
,Region 4A,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R4A-AGT-00354-2021,"The Homestead Ecofarm, OPC",Batangas,Lipa City,Purok 1,09189294623/09209602234/09293582514/09989641628,http://www.thehomestead.ph,"September 19, 2025"
,Region 4A,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R4A-AGT-00520-2021,Crooc Agri-Tourism (Bounty Harvest Farm),Cavite,Indang,"Ulo River Road, Buna Cerca, Indang, Cavite","9,189,132,463",https://www.facebook.com/BountyHarvestFarm,"November 29, 2025"
,Region 4A,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R4A-AGT-01761-2024,SILAN AGRIFARM,Cavite,Indang,"Barangay Tambo Kulit Indang, Cavite",9088158321,,"January 23, 2026"
,Region 4A,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R4A-AGT-00882-2022,DAANG-HARI CAMPGROUNDS AGRI-TOURISM PARK (ESMERIS FARM),Laguna,Liliw,"Daang-hari (Esmeris Farm), Ilayang San Roque",,,"August 14, 2026"
,Region 4A,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R4A-AGT-00010-2023 (M),GIRASOLES FARM,Quezon,Candelaria,"ZONE 3, DIVERSION ROAD, CANDELARIA, QUEZON",,,"November 6, 2025"
,Region 4A,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R4A-AGT-01466-2023,OUANS WORTH FARM & FAMILY RESORT,Quezon,Lucena City,Km 133 Kanlurang Mayao Lucena City,9103109937,,"January 15, 2026"
,Region 4A,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R4A-FTC-01952-2024,GAEAS SANCTUARY,Rizal,Tanay,"SITIO SAMPIRO, PLAZA ALDEA",0999 994 5750,,"September 10, 2026"
,Region 4A,Hotel,DOT-R4A-MAB-02001-2024,JVJ HOTEL,Batangas,Batangas City,"JVJ Hotel, Diversion Rd., Brgy. Bolbok",,,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-00186-2021,Bauan Plaza Hotel (Bauan Plaza Hotel Resort and Leisure Corporation),Batangas,Bauan,"J.P Rizal cor. Kapitan Ponso St. Brgy, II (Pob.)",(043) 702 8414,,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-00131-2021,"CML Beach Resort and Water Park, Incorporated",Batangas,Lemery,CML Beach Resort and Water Park,#ERROR!,http://cmlbeachresort.com/,"October 31, 2025"
,Region 4A,Hotel,DOT-R4A-HTL-00360-2021,Splendido Tagaytay Hotel,Batangas,Laurel,"Splendido Taal Residential Estate, Brgy. San Gabriel, Laurel Batangas",9998117122,,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-01456-2023,3 Peaks Resort Hotel,Batangas,Lipa City,"Purok 1, Dagatan Road corner Alaminos-Lipa Road",9178508003,,"October 31, 2025"
,Region 4A,Hotel,DOT-R4A-HTL-00502-2021,AQUAMARINE RECREATIONAL CENTER,Batangas,Lipa City,"BANAYBANAY, LIPA CITY",9175146084,https://www.aquamarine.com.ph/,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-01382-2023,Hotel 1925,Batangas,Lipa City,Lamar Pilahan St.,09178269629 / 757 5086,https://www.hotel1925.com/,"October 31, 2025"
,Region 4A,Hotel,DOT-R4A-HTL-01024-2022,JET HOTEL,Batangas,Lipa City,"Ayala Highway, Brgy. Mataas na Lupa",043 7749957,https://www.jethotel.com.ph,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-00558-2021,FOREST CREST NATURE HOTEL AND RESORT,Batangas,Nasugbu,"Km72 Sitio Batulao, Barangay Kaylaway, Nasugbu Batangas",9177035876,https://forestcrestnatureresort.com/,"October 31, 2025"
,Region 4A,Hotel,DOT-R4A-HTL-00006-2020,PICO SANDS HOTEL,Batangas,Nasugbu,"Pico de Loro Cove, Brgy. Papaya, Nasugbu, Batangas",02 84647888,http://www.picosandshotel.com,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-00655-2022,ROSARIO RESORT AND HOTEL,Batangas,Rosario,"ROSARIO RESORT AND HOTEL , NATIONAL HIGHWAY, BRGY. QUILIB, ROSARIO, BATANGAS",0977 806 4396 | 0949 990 6350,,"November 1, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-00163-2021,MICROTEL BY WYNDHAM- BATANGAS,Batangas,Santo Tomas,"First Philippine Industrial Park Sta. Anastacia, Sto. Tomas Batangas",917 823 9058,https://www.microtel-batangas.com/,"November 1, 2025"
,Region 4A,Hotel,DOT-R4A-HTL-01377-2023,ROSSROSE HOTEL,Batangas,Santo Tomas,"PUROK 4, SAN VICENTE, CITY OF STO. TOMAS, BATANGAS",9158189930,,"October 31, 2025"
,Region 4A,Hotel,DOT-R4A-HTL-00161-2021,SANTOMAS SUITES,Batangas,Santo Tomas,"R.S Diaz Ave., cor. First St. First Philippine Industrial Park",043 405 6797,https://www.santomassuites.ph,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-00315-2021,Bravo Tanauan Hotel,Batangas,Tanauan City,"Lot 17, Blk. 4, President Laurel Highway",7415136,,"October 31, 2025"
,Region 4A,Hotel,DOT-R4A-HTL-00205-2021,Hill Creek Gardens Tagaytay,Cavite,Alfonso,"134 Tagaytay-Alfonso Rd, Brgy. Sikat, Alfonso, Cavite",046 412 7276,,"October 31, 2025"
,Region 4A,Hotel,DOT-R4A-HTL-01146-2023,FYNN BOUTIQUE HOTEL,Cavite,Bacoor City,"Km.17, Aguinaldo Highway, P.F. Espiritu IV",046 5058659/046875 9655,https://www.fynnboutiquehotel.com,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-02251-2025,Brittany Hotels (Daang Hari),Cavite,Bacoor City,Brittany Hotels Daang Hari Road,046 888 9060,,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-00783-2022,QUATRO PASOS HOTEL,Cavite,Dasmariñas City,"4th Floor Mezanine FSC Highway Plaza Building, Aguinaldo Highway",464162385,,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-00028-2020,MICROTEL BY WYNDHAM EAGLE RIDGE,Cavite,General Trias,"Crisanto Delos Reyes Road, Javalera",046 509 1111,,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-02121-2025,THE BAYLEAF CAVITE,Cavite,General Trias,"Governors Drive, Manggahan",046 435 5000,https://www.thebayleaf.com.ph/bayleaf-cavite-hotel,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-01857-2024,MICROTEL BY WYNDHAM SOUTH FORBES,Cavite,Silang,SOUTH FORBES GOLF CITY BRGY. INCHICAN,049 543 4888,https://www.microtel-southforbes.com/,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-01068-2022,BRIZO HOTEL AND MOUNTAIN VIEW RESORT,Cavite,Silang,Purok 5 Barangay Cabangaan,89981563/09454774780,,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-01387-2023,STARVIEW HOTEL AND RESORT,Cavite,Silang,TUBUAN 1,9267527634,,"October 31, 2025"
,Region 4A,Hotel,DOT-R4A-HTL-01743-2024,ABAGATAN TI MANILA,Cavite,Tagaytay City,9021 Amuyong Kaytitinga Road,0917-855-4446,,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-01852-2024,AMEGA HOTEL,Cavite,Tagaytay City,"KM 54 EMILIO AGUINALDO HIGHWAY, Silang Junction South",9451144772,,"October 31, 2025"
,Region 4A,Hotel,DOT-R4A-HTL-02054-2024,El Bien Hotel,Cavite,Tagaytay City,"209 Ligaya Drive, Sungay West",(046) 889-2062 / 09458411291 / 09695925630,,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-00350-2021,Escala Tagaytay,Cavite,Tagaytay City,Purok 102 Poblete St Brgy. Maharlika West Tagaytay City,09176753806 and 02 532 8727,http://www.escalatagaytay.com,"October 31, 2025"
,Region 4A,Hotel,DOT-R4A-HTL-00302-2021,Hotel Casiana OPC,Cavite,Tagaytay City,"Gen. Emilio Aguinaldo Highway, Kaybagal South,",,,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-00020-2020,Hotel Carlito Tagaytay,Cavite,Tagaytay City,"Tagaytay-Calamba Road, San Jose",9171310088,https://hotelcarlito.com/,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-01047-2022,HOTEL KIMBERLY TAGAYTAY,Cavite,Tagaytay City,"Amadeo Road, Barangay, Crisanto M. De Los Reyes Ave, Tagaytay, Cavite",046-4838888,https://hotelkimberly.com,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-00086-2021,Hotel Monticello,Cavite,Tagaytay City,Brgy Kaybagal South,9778310088,https://hotelmonticello.com.ph/,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-00150-2021,Magallanes Square Hotel Inc.,Cavite,Tagaytay City,"Magallanes Square Complex, Silang Junction North",09175047820 / 09228043129,,"October 30, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-02071-2024,QUEST HOTEL TAGAYTAY,Cavite,Tagaytay City,"FORA LIFESTYLE MALL, DIVERSION ROAD, AGUINALDO HIGHWAY, SILANG JUNCTION SOUTH",9190618215,,"October 31, 2026"
,Region 4A,Hotel,DOT-R4A-HTL-00017-2023 (M),ONE TAGAYTAY PLACE HOTEL SUITES,Cavite,Tagaytay City,"Barrio 445 Isaac O. Tolentino Ave, Formerly tagaytay-Calamba Rd. Tagaytay City, cavite",,,"October 31, 2025"
