Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 12,MICE Venue / Facility,DOT-R12-MCF-00846-2025,Gensan Greenleaf Hotel & Development Corporation,Chartered City,General Santos City,,63835521111,cristina.rosal@greenleafhotelgensan.com,"June 30, 2027"
Region 12,Resort,DOT-R12-RES-00805-2025,Dolores Tropicana Resort,Chartered City,General Santos City,"Cabu, Barangay Tambler",639691862602,,"October 31, 2026"
Region 12,Resort,DOT-R12-RES-00759-2024,"London Beach Resort and Hotel, Inc.",Chartered City,General Santos City,,,,"October 31, 2026"
Region 12,Resort,DOT-R12-RES-00004-2020,"Mt. Sabrina Panoramic View and Resort, Inc.",Chartered City,General Santos City,PUROK NGILAY,9177148784,,"October 31, 2025"
Region 12,Resort,DOT-R12-RES-00049-2021,"The Farm at Carpenter Hill, Inc.",South Cotabato,Koronadal City,"NATIONAL HIGHWAY, BARANGAY CARPENTER HILL, CITY OF KORONADAL",9189210425,,"October 31, 2025"
Region 12,Resort,DOT-R12-RES000784-2025,Glocal Farm Tourism OPC - SG Farm,South Cotabato,Tupi,,,,"October 31, 2026"
Region 12,Resort,DOT-R12-RES-00031-2021,Dolores Lake Resort,South Cotabato,Lake Sebu,"Sitio Tokufol, Lake Sebu South Cotabato",(083) 236-1058/09230823305/09178302330,https://doloreshotels.ph/,"October 31, 2026"
Region 12,Resort,DOT-R12-RES-00733-2024,Dolores Farm Resort,South Cotabato,Polomolok,,,,"October 31, 2026"
Region 12,Resort,DOT-R12-RES-00794-2025,Abubakar Mountain Resort,North Cotabato,Kidapawan City,"Purok 6A, Brgy. Nuangan",9171232759,,"October 31, 2026"
Region 12,Resort,DOT-R12-RES-00043-2021,Blue Palm Mountain Resort,North Cotabato,Libungan,"Sitio Abacanhan, Brgy. Cabaruyan, Libungan North Cotabato",9300786096,,"October 31, 2026"
Region 12,Resort,DOT-R12-RES-00150-2022,Anvy Resort Hotel,Sarangani,Glan,"Purok Rosal, Brgy Taluya, Glan Sarangani Province","09512509995, 09664777120, 09204101457",,"October 31, 2026"
Region 12,Resort,DOT-R12-RES-00023-2020,Isla Jardin Del Mar,Sarangani,Glan,"SITIO MANANDO, GUMASA, GLAN",9176778177,,"October 31, 2025"
Region 12,Resort,,Lemlunay Resort,Sarangani,Maasim,National Highway,,,"October 31, 2025"
Region 12,Resort,DOT-R12-RES-00772-2024,El Carlito's Resort,Sultan Kudarat,Tacurong City,Brgy. Carmen,,,"October 31, 2026"
Region 12,Restaurant,DOT-R12-RST-00829-2025,Cinco Niñas,South Cotabato,Koronadal City,Brgy. Zone I,,,"June 24, 2026"
Region 12,Restaurant,DOT-R12-RST-00854-2025,Chow & Chuck Cafe (Cafe Cerveza - Koronadal Branch),South Cotabato,Koronadal City,Brgy. Zone III,9952340650,,"July 28, 2026"
Region 12,Restaurant,DOT-R12-RST-00009-2020,Gab's Yard Steak House and Grill - Koronadal,South Cotabato,Koronadal City,Purok Roamsceville,"09177010529, 083 8872378",,"February 27, 2026"
Region 12,Restaurant,DOT-R12-RST-00806-2025,High Street Grill,South Cotabato,Koronadal City,Brgy. Sto. Niño (Bo. 2),,,"June 11, 2026"
Region 12,Restaurant,DOT-R12-RST-00734-2024,Jem Venture Food Corp. -,South Cotabato,Koronadal City,,,"ODI ST., BRGY. ZONE III","October 7, 2025"
Region 12,Restaurant,DOT-R12-RST-00202-2023,Trio Cafe Inc.,South Cotabato,Koronadal City,"Greenstate Convention Center, Arellano St.,",,,"June 11, 2026"
Region 12,Restaurant,DOT-R12-RST-00774-2025,Yellow Box Food Corporation-Cinnamon Island,South Cotabato,Koronadal City,,9531234313,cinnamon-island@yahoo.com,"January 8, 2026"
Region 12,Restaurant,DOT-R12-RST-00165-2022,Cerveza Cafe,South Cotabato,Tupi,"Public Market, Tupi, South Cotabato",9956226321,,"July 14, 2026"
Region 12,Restaurant,DOT-R12-RST-00787-2025,Gryk's Food Corporation,South Cotabato,Tupi,,,,"March 26, 2026"
Region 12,Restaurant,DOT-R12-RST-00789-2025,JDM Steak House,South Cotabato,Tupi,,,,"March 26, 2026"
Region 12,Restaurant,DOT-R12-RST-00719-2024,Kap Alfredo Restaurant,South Cotabato,Polomolok,Purok 1 Brgy. Polo,9088212018,"brigada.hospitality@brigada.co,.ph","August 13, 2025"
Region 12,Restaurant,DOT-R12-RST-00792-2025,Munch Infinity Foods-Bakebarn,South Cotabato,Tupi,,,,"March 28, 2026"
Region 12,Restaurant,DOT-R12-RST-00802-2025,Abal Kitchenette,South Cotabato,Norala,,,,"May 19, 2026"
Region 12,Restaurant,DOT-R12-RST-00803-2025,Espen Cafe,South Cotabato,Surallah,,,,"May 19, 2026"
Region 12,Restaurant,DOT-R12-RST-00009-2020,Gab's Yard Steak House and Grill - Tacurong Branch,Sultan Kudarat,Tacurong City,"Door 5 and 6, Alpha Commercial Building, National Highway","0644712343, 09151609128",,"June 24, 2026"
Region 12,Restaurant,DOT-R12-RST-00133-2022,Marilou's Chicken House and Catering Services,Sultan Kudarat,Lebak,,,,"April 11, 2026"
Region 12,Restaurant,DOT-R12-RST-00516-2024,Mamastill Local Food Hub,Chartered City,General Santos City,"194 SM City Gensan,Santiago Blvd., General Santos City",9064597181,https://www.facebook.com/MamastillAtbpGensan,"March 4, 2026"
Region 12,Restaurant,DOT-R12-RST-00801-2025,Spice N' Wok Restaurant,Chartered City,General Santos City,"Quirino Ave. cor Lapu-Lapu St., Dadiangas East (Pob.)",9538028741,pdularamania@hotmail.com,"April 29, 2026"
Region 12,Restaurant,DOT-R12-RST-00927-2025,Aikon Japanese Restaurant,Chartered City,General Santos City,cm recto corner albano st. dadiangas north ngeneral santos city,9763366819,,"August 26, 2026"
Region 12,Restaurant,DOT-R12-RST-00745-2024,Raymunda's Cafe,North Cotabato,Kabacan,,,,"October 27, 2025"
Region 12,Spa,DOT-R12-SPA-00235-2023,Elysia Wellness Spa,Chartered City,General Santos City,"Ground Floor, Grand Summit Hotel, Honorio Arriola St. corner Arrazada St., General Santos City",9171493994,,"January 31, 2026"
Region 12,Tertiary Hospital,DOT-R12-TTH-00197-2023,Dr. Arturo P. Pingoy Medical Center,South Cotabato,Koronadal City,GENERAL SANTOS DRIVE,(083) 228-2202 local 219,,"August 31, 2026"
Region 12,Tertiary Hospital,DOT-R12-TTH-00520-2024,Dadiangas Medical Center,Chartered City,General Santos City,"ALLADO COMPOUND, LEON LLIDO ST., BRGY. CITY HEIGHTS",09171902572; 09171902568; 09171902561,https://dadiangasmed.com,"August 31, 2026"
Region 12,Tourism Recreation Center,DOT-R12-SRC-00112-2022,Monte Vicenteau Resort,Sultan Kudarat,Tacurong City,Barangay Passi,9089993471,montevicenteau22@gmail.com,"June 24, 2026"
Region 12,Tourism Recreation Center,DOT-R12-SRC-00530-2024,Qetsiyah Eco Park,Sultan Kudarat,Tacurong City,"Prk. Sta. Teresa, Brgy. Calean",9624074220,qetsiyahecopark23@gmail.com,"July 28, 2026"
Region 12,Tourism Recreation Center,DOT-R12-SRC-00225-2023,Kalonbarak Skyline Ridge,Sarangani,Malungon,"Sitio Kalonbarak, Brgy. Poblacion",9949074185,kalonbarakskylineridge@gmail.com,"August 26, 2026"
Region 12,Land Transport Operator,DOT-R12-TTO-00113-2022,Gensan Booming City Tourist Transport Cooperative (GSBCTTC),Chartered City,General Santos City,"Door 6, RLII Building, Sinawal Town Commercial Center",09367572271/0907-794-0779,,"April 30, 2026"
Region 12,Land Transport Operator,DOT-R12-TTO-00718-2024,"Yellow Bus Line, Inc.",South Cotabato,Koronadal City,,,,"April 30, 2026"
Region 12,Land Transport Operator,DOT-R12-TTO-00128-2022,Runicel Transport Service,South Cotabato,Koronadal City,,"Purok Masagan, Brgy. Morales",,"April 30, 2026"
Region 12,Tourist Shop (Department Store / Souvenir Shop / Specialty Shop),DOT-R12-TSP-00531-2024,MELTS Corporation,South Cotabato,Polomolok,PUROK MAGALONG NATIONAL HIGHWAY,9706976421,,"August 28, 2026"
Rregion 12,Tourist Shop (Department Store / Souvenir Shop / Specialty Shop),DOT-R12-TSP-00099-2022,Kablon Farm Foods Corporation - Tupi,South Cotabato,Tupi,"Purok 8, Brgy. Poblacion",,,"November 5, 2025"
Region 12,Tourist Shop (Department Store / Souvenir Shop / Specialty Shop),DOT-R12-TSP-00091-2021,Kablon Farm Foods Corporation - Koronadal,South Cotabato,Koronadal City,"Acepal Bldg., Alunan Ave., Bry Zone IV",,,"October 27, 2025"
Region 12,Tourist Shop (Department Store / Souvenir Shop / Specialty Shop),DOT-R12-TSP-00940-2025,Mommy Mel's Pasalubong Products Marketing,South Cotabato,Koronadal City,,,,"August 28, 2026"
Region 12,Tourist Shop (Department Store / Souvenir Shop / Specialty Shop),DOT-R12-TSP-00800-2025,Handumanan Arts and Craft Trading,South Cotabato,Lake Sebu,"Purok Rosas, Poblacion",9362999945,renitalegaste968@gmail.com,"April 25, 2026"
Region 12,Tourist Shop (Department Store / Souvenir Shop / Specialty Shop),DOT-R12-TSP-00847-2025,T'boli Trade and Crafts owned by Cooperative of Women in Health & Development,South Cotabato,Lake Sebu,"Poblacion, Lake Sebu South Cotabato",09177819478 /,cowhed@yahoo.com,"July 14, 2026"
Region 12,Tourist Shop (Department Store / Souvenir Shop / Specialty Shop),DOT-R12-TSP-00079-2021,Kablon Farm Foods Corporation - General Santos City,Chartered City,General Santos City,"Door 11 JMP Arcade, San Miguel St., Brgy. Lagao",,,"October 23, 2025"
Region 12,Tourist Shop (Department Store / Souvenir Shop / Specialty Shop),DOT-R12-TSP-00110-2022,Kayamanan Ni Juan Trading,Chartered City,General Santos City,Dadiangas East (Pob.),,,"June 24, 2026"
Region 12,Tourist Shop (Department Store / Souvenir Shop / Specialty Shop),DOT-R12-TSP-00081-2021,Ellynes Pasalubong Market,Chartered City,General Santos City,National Highway,083 226 1003,,"August 28, 2026"
Region 12,Travel and Tour Agency,DOT-R12-TTA-00127-2022,Alanna Travel Services,Chartered City,General Santos City,"DOOR 1, OBTIAL BLDG, NATIONAL HIGHWAY",063835529060; 0922-8214867; 09177141119,https://www.facebook.com/Alannatravelservices,"June 30, 2026"
Region 12,Travel and Tour Agency,DOT-R12-TTA-00011-2020,Alanna Travel Services-KCC Branch,Chartered City,General Santos City,"UNIT 213, 2ND FLR. , KCC MALL, J. CATOLICO SR. AVENUE, LAGAO, GENERAL SANTOS CITY",0835527205; 09177141119; 09228214863;09228214865,https://www.facebook.com/Alannatravelservices,"June 30, 2026"
Region 12,Travel and Tour Agency,DOT-R12-TTA-00247-2023,City Art Enterprises Travel & Tours,Chartered City,General Santos City,"Door 2 Llido Bldg., San Miguel St.",9100955980,,"June 30, 2026"
Region 12,Travel and Tour Agency,DOT-R12-TTA-00111-2022,F and J Travel and Tours,Chartered City,General Santos City,DOOR 9 TAHANAN 50 BUILDING APARENTE EXTENSION GENSAN CITY,9260059764,,"June 30, 2026"
Region 12,Travel and Tour Agency,DOT-R12-TTA-00125-2022,JMP Shalom Travel and Tours,Chartered City,General Santos City,"ROOM 116, ROADHAUS HOTEL, BLOCK 0, APARENTE STREET",(083) 887-5311,https://www.facebook.com/jmp.shalom.58/,"June 30, 2026"
Region 12,Travel and Tour Agency,DOT-R12-TTA-00853-2025,JRA Travel and Tours,Chartered City,General Santos City,Dadiangas South,,,"June 30, 2026"
Region 12,Travel and Tour Agency,DOT-R12-TTA-00146-2022,Lezgo Travel & Tours,Chartered City,General Santos City,"B1 L10 Agan Grandville Subd., Brgy. City Heights",(083) 500-5847,,"June 30, 2026"
Region 12,Travel and Tour Agency,DOT-R12-TTA-00068-2021,Marich Travel Agency,Chartered City,General Santos City,"015 BULAONG AVENUE, BRGY. DADIANGAS WEST, GENERAL SANTOS CITY",5531964/09177144472,,"June 30, 2026"
Region 12,Travel and Tour Agency,DOT-R12-TRA-00008-2020,Reymace Travel Services,Chartered City,General Santos City,"Cabel Street Brgy. Lagao public market, general santos city",9232865146,,"June 30, 2026"
Region 12,Travel and Tour Agency,DOT-R12-TTA-00131-2022,"Romano Travel and Tours,Inc.-Gensan",Chartered City,General Santos City,"LFJ DAPROZA BLDG. DAPROZA AVENUE,GENERAL SANTOS CITY",9173010032,https://romano-travel-and-tours-inc.business.site/,"June 30, 2026"
Region 12,Travel and Tour Agency,DOT-R12-TRA-00124-2022,Secha Travel and Tours,Chartered City,General Santos City,"STALL #1, LOURDES LLIDO BLDG, J. CATOLICO AVENUE",9989827008,,"June 30, 2026"
Region 12,Travel and Tour Agency,DOT-R12-TTA-00148-2022,SkySaver Travel & Tours,Chartered City,General Santos City,Safi Building Irineo L Santiago Boulevard Brgy Dadiangas East General Santos City,9088977956,,"June 30, 2026"
Region 12,Travel and Tour Agency,DOT-R12-TTA-00171-2023,VGC Travel and Tours,Chartered City,General Santos City,"#12 Laurel St., Brgy. San Isidro, General Santos City",9275556980,vjctravelandtours@gmail.com,"June 30, 2026"
