Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 9,Travel and Tour Agency,DOT-R09-TTA-00093-2021,HEMISPHERE TRAVEL AND TOURS,Zamboanga del Sur,Pagadian City,"LG/F Gaisano Capital Mall, San Pedro District, Pagadian City, Zamboanga del Sur",062 2151783,hemispheretravelandtours@yahoo.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00123-2021,RANELL CENDY TRAVEL AND TOURS,Zamboanga del Norte,Dipolog,"3rd Floor, Lee Plaza, Brgy.Miputak, Dipolog City, Zamboanga del Norte",0936 343 8128,sendelynmagallanes@gmail.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TRA-00078-2021,EXCELINE TRAVEL AND TOURS,Zamboanga del Norte,Dipolog,"Osmena Street, Central, Dipolog City, Zamboanga del Norte",0965 049 0451,dtcgroupofcompanies@gmail.com,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00439-2023,FJD TRAVEL SERVICES,Zamboanga del Norte,Dipolog,"Martinez St. Cor Gen. Luna, Dipolog City, Zamboanga del Norte",9088670670,jowannicamen@gmail.com,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TRA-00813-2024,TICKET1 TRAVEL,Zamboanga del Norte,Dipolog,"2/F Lee Plaza City,Niputak, Dipolog City,Zamboanga Del Norte",0917 304 0473,ticket1dipolog@yahoo.com,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TRA-00815-2024,TICKET1,Zamboanga del Norte,Dipolog,"Citimall Highway, Santa Filomena, Dipolog City, Zamboagna del Norte",0917 304 7901,ticket1cmalldipolog@yahoo.com,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TRA-00113-2021,EUREKA TRAVEL AND TOURS CONSULTANCY SERVICES,Zamboanga del Norte,Dipolog,"077 MABINI ST.BIASONG DIPOLOG CITY, ZAMBOANGA DEL NORTE",0927 418 4682,eurekamremollo@gmail.com,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TRA-00356-2022,SALAVERIA TRAVEL AND TOURS,Zamboanga del Norte,Dipolog,"Purok Uno, Turno, Dipolog City, Zamboanga del Norte",0910 857 3885,lenarnel.satt@gmail.com,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TRA-00520-2023,DIPOLOG SMILE TRAVEL AND TOURS,Zamboanga del Norte,Dipolog,"GF Dipolog Center Mall, 138 Rizal Avenue, Dipolog City, Zamboanga del Norte",9303276640,dplgssmiletravel@yahoo.com,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TTA-01085-2025,DONICE TRAVEL AND TOURS,Zamboanga del Norte,Dipolog,"134, Bonifacio Street, Barra, Dipolog City, Zamboanga del Norte","0930 126 9814, 09481235773",donicetravel.tours@gmail.com,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TRA-00081-2021,RENZ TRAVEL AND TOURS,Zamboanga del Norte,Dipolog,"FSA 1 Traders Inn Bldg., Tomas Claudio Street, Bagsakan ni Edad Miputak, Dipolog City, Zamboanga del Norte",0930 986 9845,"reynandratificar1989@gmail.com, renztravelandtours2020@gmail.com","June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00913-2024,ESTELLA TRAVEL AND TOURS AGENCY,Zamboanga del Norte,Dipolog,"Magsaysay Street Brgy.Miputak, Dipolog City, Zamboanga del Norte",0981 149 6653,bulayogestella@gmail.com,"June 30, 2026"
Region 9,Travel Agency,DOT-R09-TTA-00397-2022,TIKETERO TRAVEL SERVICES,Zamboanga Sibugay,Ipil,"National Highway, Ipil ,Zamboanga Sibugay",0917 799 2658,tiketerotravelservices@yahoo.com.ph,"June 30, 2026"
Region 9,Travel and Tour Agency,DOT-R09-TTA-00059-2021,PENINSULA TRAVEL AND TOURS,Zamboanga Sibugay,Ipil,"Javar Bldg. National Highway, Poblacion, ipil, Zamboanga Sibugay",9979355828,peninsulatravel_packagetour@yahoo.com.ph,"June 30, 2026"
Region 9,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R09-AGT-00546-2023,EARTHSOUL AGRI TECHNO FARM 101 (E.A.T. FARM 101),Zamboanga del Sur,Zamboanga City,"Sitio Buenakapok, Lanzones Zamboanga City",9557146223,eatfarm101@gmail.com,"December 25, 2025"
Region 9,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R09-AGT-00003-2023 (M),NIHAFAT 7 FRUITS AND VEGETABLES FARM,Chartered City,Isabela City,"Brgy. Menzi, Isabela City, Basilan",9065161099,salongalasatan6@gmail.com,"November 6, 2025"
Region 9,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R09-AGT-00005-2023 (M),DOS-BROS INTEGRATED FARM,Chartered City,Isabela City,"Purok 3, Brgy. Tabiawan, Isabela City, Basilan",9555876503,rodjanryl@gmail.com,"November 6, 2025"
Region 9,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R09-AGT-00009-2023 (M),CANILAO FARM SCHOOL AND TRANING CENTER INC.,Zamboanga del Sur,Pagadian City,"Purok Mangga, Brgy. Lapedian, Pagadian City, Zamboanga Del Sur",09089119708 / 09483480997,canilaofarmagriculturalsupply@gmail.com,"November 6, 2025"
Region 9,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R09-AGT-00324-2022,PAGLINAWAN ORGANIC ECO FARM,Zamboanga del Sur,Dumingag,"Purok 6, Libertad, Dumingag, Zamboanga del Sur",0966 996 8578,paglinawanorganicecofarm@gmail.com,"June 26, 2026"
Region 9,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R09-FTC-01068-2025,BOKINGKITO INTEGRATED FARM,Zamboanga del Sur,Kumalarang,"Picanan, Kumalarang, Zamboanga del Sur",0917 597 3573,maeworkstech@gmail.com,"March 12, 2027"
Region 9,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R09-AGT-00323-2022,NELSA'S AGRI-TOURISM PARK,Zamboanga del Norte,Mutia,"National Highway, Poblacion, Mutia, Zamboanga del Norte",,nelsasagri_tourismpark@yahoo.com,"October 13, 2025"
Region 9,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R09-FTC-01128-2025,VIEWPOINT OUTDOOR LEISURE CENTER (DAY FARM),Zamboanga del Norte,Sergio Osmeña Sr.,"Tinidugan, Sergio Osmeña, Zamboanga del Norte",9184571217,fpalma24@yahoo.com,"July 30, 2027"
Region 9,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R09-FTC-00914-2024,MACEFARM / (MACE&CO FOOD SERVICES),Zamboanga Sibugay,Buug,"Purok 2, Brgy. Labrador, Buug ,Zamboanga Sibugay",0920 222 1080,mykle_rey@yahoo.com,"August 14, 2026"
Region 9,Apartment Hotel,DOT-R09-APT-00810-2024,TMC APARTELLE,Zamboanga del Norte,Dipolog City,"Malvar Street, Dipolog City, Zamboanga del Norte",9092400888,iya_dorris@yahoo.com,"October 31, 2026"
Region 9,Apartment Hotel,DOT-R09-APT-00409-2022,VILLA MARII APARTELLE,Zamboanga del Norte,Dipolog City,"Purok Morning Star, Olingan",09778043262 or 653007740,https://www.villamarii.com,"October 31, 2026"
Region 9,Homestay,DOT-R09-HMY-00422-2023,GOMER'S HOMESTAY,Zamboanga del Norte,Dapitan City,"Road 23, Dawo, Dapitan City, Zamboanga del Norte",9383097892,gomerhamak@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00176-2021(M),CECILLE'S HOTEL AND CATERING SERVICES,Zamboanga del Sur,Zamboanga City,"Tumaga Porcentro, Zamboanga City",9177707110 /,eric_romero02@yahoo.com,"October 31, 2026"
,,,,,,,984-1105 / 984 - 0347,cecilles_catering_and_pension@yahoo.com,
Region 9,Hotel,DOT-R09-HTL-00011-2023 (M),HOTEL MARCELINA,Zamboanga del Sur,Zamboanga City,"Mayor Vitaliano Agan Ave., Cor. Gov.Camins, Brgy. Camino Nuevo, Zamboanga City",9688986688,hotelmarcelinazam@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00222-2021,L'MERIDIAN SUITES,Zamboanga del Sur,Zamboanga City,"Governor Camins Avenue, Canelar , amboanga City",0917 310 9348 / (062) 309-0207,sales.lmeridiansuite@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00014-2020,MARCIAN GARDEN HOTEL CORP.,Zamboanga del Sur,Zamboanga City,"Governor Camins Avenue, Canelar, Zamboanga City",9956736521,cindy@marcianhotels.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00446-2023,RESIDENCIA SUITES HOTEL,Zamboanga del Sur,Zamboanga City,"Maestra Vicenta Street, Sta. Maria, Zamboanga City",0917-142-4971 / 0917-315-5689,reservations@residenciasuiteshotel.com,"October 31, 2025"
Region 9,Hotel,DOT-R09-HTL-00259-2021,W HOTEL,Zamboanga del Sur,Zamboanga City,"Veterans Avenue, Brgy. Camino Nuevo, Zamboanga City",0917 310 8353,askwhotel@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00204-2021,LM METRO HOTEL,Zamboanga del Sur,Zamboanga City,"Don Toribio St., Tetuan, Zamboanga City",0917-554-5780,lmmetrohotelfrontdesk@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00004-2020,CITYINN HOTEL,Zamboanga del Sur,Zamboanga City,"Governor Alvarez St. corner La Purisima St., Brgy. Zone II, Zamboanga City",(063) 955 4058,cityinnzam@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00512-2023,GRAND ASTORIA HOTEL,Zamboanga del Sur,Zamboanga City,"No. 466 Mayor Cesar Climaco Avenue, Zamboanga City",0917 626 1775,cacai020120@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-01023-2025,PRINTEX PRINTERS INCORPORTED- WINN HOTEL,Zamboanga del Sur,Zamboanga City,"Mayor Jaldon Street, Brgy. Canelar, Zamboanga cCity",0917 888 1626,awinnhotel@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00003-2020,GARDEN ORCHID HOTEL & RESORT CORP.,Zamboanga del Sur,Zamboanga City,"Governor Camins Avenue, Brgy. Canelar, Zamboanga City",(062) 991-0032,sales.events@gardenorchidhotels.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00025-2021,AZENITH ROYALE HOTEL,Zamboanga del Sur,Zamboanga City,"Governor Camins Avenue, Canelar, Zamboanga City",0905 765 3148,azenithrh.zam@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00014-2020,MARCIAN GARDEN HOTEL INC.,Zamboanga del Sur,Zamboanga City,"Gov. Camins Ave., Brgy. Canelar, Zamboanga City",9956736521,cindy@marcianhotels.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00363-2022,HACIENDA DE PALMERAS,Zamboanga del Sur,Zamboanga City,"Pasonanca Road, Sta. Maria Zamboanga City",(062) 991-3284,palmerashotel@yahoo.com.ph,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-01033-2025,YUBENCO GLOBAL ECOTEL,Zamboanga del Sur,Zamboanga City,"MCLL Highway, Putik Zamboanga City",0977 437 7899,ygecotel@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00305-2022,WINZELLE SUITES,Zamboanga del Sur,Zamboanga City,"Gov Lim Avenue, Brgy. Zone IV, Zamboanga City",0917 303 4768,winzellesuites@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00195-2021,CT BOULEVARD HOTEL,Zamboanga del Sur,Zamboanga City,"Catribo Complex Gov. Alvarez Steet, Brgy. Zone II, Zamboanga City","0629913535, 0629558792",ctboulevardhotel@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00015-2020,LA CASA MARIA HOTEL,Zamboanga del Sur,Zamboanga City,"Sta. Maria, Brgy. Sta. Maria, Zamboanga City",0917 874 6709,lacasamariahotel@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00002-2020,HOTEL PRIMERA,Zamboanga del Sur,Zamboanga City,"Canelar Moret, Brgy. Canelar, Zamboanga City",0936 470 1452,solamillo0211@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00201-2021,GC HOTEL,Zamboanga del Sur,Zamboanga City,"Tomas Claudio Street, Brgy. Zone III, Zamobanga City",0916 899 5264,gchotelzam@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-01101-2025,TERRACOTTA HOTEL,Zamboanga del Sur,Zamboanga City,"Earth Street, Brgy. Tumaga , Zamboanga City",0917 190 0146,tchzamboanga@outlook.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00037-2021,HOTEL ALINDAHAW BY JAVAVED DEVELOPMENT CORPORATION,Zamboanga del Sur,Pagadian City,Rizal Avenue Brgy. San Francisco District,(062) 215- 4393,hotelalindahaw_ardie@yahoo.com,"October 31, 2026"
,,,,,,"Pagadian City, Zamboanga del Sur",,,
Region 9,Hotel,DOT-R09-HTL-00039-2021,KOK TZI DEVELOPMENT INC. (CHANDLER SUITES),Zamboanga del Sur,Pagadian City,"F.S. Fajares Avenue, Gatas District, Pagadian City, Zamboanga del Sur",(062) 215 4463,chandlersuites@yahoo.com.ph,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00089-2021,HOTEL GUILLERMO,Zamboanga del Sur,Pagadian City,"Rizal Avenue, San Francisco Dist., Pagadian City, Zamboanga del Sur",9177798956,hotelguillermo.purchaser2@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00103-2021,KASINNAHAN HOTEL AND RESORT,Chartered City,Isabela City,"Barangay Binuangan, Isabela de Basilan",9177149091,reservation.kasinnahan19@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-01013-2024,BASILAN BUSINESS HOTEL,Chartered City,Isabela City,"Port Area, Isabela City, Basilan",0954 412 3784,bbhisabela2024@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00008-2020,D'HOTEL & SUITES,Zamboanga del Norte,Dipolog,"Rizal Avenue corner Osmeña Street, Central (Pob.), Dipolog City, Zamboanga del Norte",0917-326-2485,dhotel.dipolog@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00016-2020,HOTEL CAMILA INC. - BRANCH 2,Zamboanga del Norte,Dipolog,"Highway Turno, Dipolog City, Zamboanga del Norte",(065) 212-5533,hotelcamila_2@yahoo.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00007-2020,MIBANG HOTEL,Zamboanga del Norte,Dipolog,"Sta. Filomena, Dipolog City, Zamboanga del Norte",(065) 212-3585,mibanghoteldipolog@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00309-2022,MISSIO DEI HOTEL,Zamboanga del Norte,Dipolog,"Aguilar St., Cor. Arellano Ext., Miputak, Dipolog City, Zamboanga del Norte",9104492383,missiodeihotel@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00011-2020,TOP PLAZA HOTEL,Zamboanga del Norte,Dipolog,"Quezon Avenue corner Echavez Street, Central (Pob.), Dipolog City, Zamboanga del Norte","065) 212-5888/5777, 09158325799, 09311424615",topplaza_hotel@yahoo.com.ph,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00812-2024,ARIANA HOTEL INCORPORATED,Zamboanga del Norte,Dipolog,"Airport Road, Minaog,Dipolog City, Zamboanga Del Norte",0998-951-7476,arianahotel.hrd@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00232-2021,Hotel Camila Inc Branch1,Zamboanga del Norte,Dipolog,"Gen Luna Street, Estaca, Dipolog City, Zamboanga del Norte",065-2123008,hotelcamiladipolog@yahoo.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00257-2021,GWANDALAN GUEST HOUSE,Zamboanga del Norte,Dipolog,"Highway Turno, Brgy Turno, Dipolog City, Zamboanga del Norte",0908-341013,"minessesmarites@gmail.com, reception@gwandalanhouse.ph","October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00279-2022,Jackie's Hotel and Restaurant,Zamboanga Sibugay,Ipil,"National Highway, Don Andres, Ipil, Zamboanga Sibugay",9367063813,jackieshotelipil@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00890-2024,BADSBROTEL SUITES,Zamboanga Sibugay,Ipil,"National Highway, Purok San Francisco, Pangi, Ipil, ,Zamboanga Sibugay",0962 923 9261,badsbrotelsuitesaccreditation@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00522-2023,CECILLE'S CATERING AND PENSION HOUSE,Zamboanga Sibugay,Ipil,"Purok Pines III. Sanito Ipi,Zamboanga Sibugay",0975 990 4426,mariefides1960@gmail.com,"October 31, 2026"
Region 9,Hotel,DOT-R09-HTL-00122-2021,"SIBUGAY INTERNATIONAL HOTEL, INC.",Zamboanga Sibugay,Ipil,"Purok Pines, Sanito, Ipil Zamboanga Sibugay",0929 567 8337 / 0997 450 1334,sibugaygrandplazahotel@gmail.com,"October 31, 2026"
Region 9,Resort,DOT-R09-RES-00217-2021,VISTA DEL MAR RESORT AND RECREATION CENTER,Zamboanga del Sur,Zamboanga City,"Upper Calarian, Zamboanga City",0977 836 7250,vistadelmar@ymail.com,"October 31, 2026"
Region 9,Resort,DOT-R09-RES-01060-2025,WOODLAND RESORT & RESTAURANT,Zamboanga del Sur,Zamboanga City,"ZONE 9A, BRGY. ZAMBOWOOD, ZAMBOANGA CITY, ZAMBOANGA DEL SUR",0915 239 0603,inquire.woodlandresort@yahoo.com,"October 31, 2026"
Region 9,Resort,DOT-R09-RES-00125-2021,DAKAK RESORT AND PROPERTIES,Zamboanga del Norte,Dapitan City,"Dakak Park and Beach Resort, Taguilon,Dapitan City, Zamboanga del Norte",0917 723 5100,danceldale93@gmail.com,"October 31, 2026"
Region 9,Resort,DOT-R09-RES-00183-2021,OPULENTISIMA ROYAL FARM,Zamboanga del Norte,Dipolog City,"Back NFA Office, Gulayon , Dipolog City",0998-981-5596 / 0917-842-6016,royalfarmresort@yahoo.com,"October 31, 2026"
Region 9,Resort,DOT-R09-RES-00117-2021,MANUEL RESORT,Zamboanga del Norte,Pinan,"Poblacion North Pinan, Zamboanga del Norte",(065) 212-2221 and 0918-993-1094/ 09178211538,manuelresortsalesandmarketing@gmail.com,"October 31, 2026"
Region 9,Resort,DOT-R09-RES-00874-2024,K U B O BY VIEWPOINT MOUNTAIN RESORT,Zamboanga del Norte,Sergio Osmeña Sr.,"Highway Tinindugan, Sergio Osmeña R. , Zamnboanga del Norte",0977 670 7286,manager.viewpoint@gmail.com,"October 31, 2026"
Region 9,Resort,DOT-R09-RES-01072-2025,VILLA PABLEA MOUNTAIN RESORT,Zamboanga del Norte,Rizal,"BRGY. TOLON, RIZAL, ZAMBOANGA DEL NORTE",0906-539-8841 / 0917 890 7133,management@villapablea.com,"October 31, 2026"
