,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity,,,,,,
CAR,Agri-tourism Farm Site / Farm Tourism Camp,DOT-CAR-FTC-01812-2024,Cordilera Winery,Ifugao,Alfonso Lista,"Zamora Road, Brgy. San Juan, Alfonso Lista, Ifugao",9773711964,applicordilera@gmail.com,30-Jul-26,,,
CAR,Agri-tourism Farm Site / Farm Tourism Camp,DOT-CAR-AGT-00235-2021,Cosmic Farm,Benguet,La Trinidad,"BN-054, Beckel , Benguet La Trinidad",9614705009,https://www.cosmicfarmph.com,4-Jul-26,,,,
CAR,Agri-tourism Farm Site / Farm Tourism Camp,DOT-CAR-AGT-01589-2024,Fhariss Sunflower Farm,Benguet,La Trinidad,"Bahong, La Trinidad, Benguet",9859082664,Dinecayat28@gmail.com,10-Apr-26,,,,
CAR,Agri-tourism Farm Site / Farm Tourism Camp,DOT-CAR-AGT-00139-2021,Garden nén Ines,Benguet,La Trinidad,"NG 001 Tebteb, Shilan, La Trinidad, Benguet",9087807006,garden_nen_ines@yahoo.com,26-Feb-27,,,
CAR,Agri-tourism Farm Site / Farm Tourism Camp,DOT-CAR-AGT-00370-2021,Layog Country-Farm Agricultural Services,Mountain Province,Tadian,"Angkido, Kayan West, Tadian, Mountain Province",9218777119,https://layogcountryfarm.com/,24-Sep-26,,,
CAR,Agri-tourism Farm Site / Farm Tourism Camp,DOT-CAR-AGT-01566-2024,Payawan Country Club,Ifugao,Lamut,"Brgy Payawan, Lamut, Ifugao",9295207010,victoriacrespillo15@gmail.com,19-Mar-26,,,,
CAR,Agri-tourism Farm Site / Farm Tourism Camp,DOT-CAR-AGT-00883-2022,Polig's Berry Fruit Farm,Benguet,Tublay,"Golon, Ambassador, Tublay, Benguet",9627923820,grailplabutan30@gmail.com,22-Oct-26,,,
CAR,Agri-tourism Farm Site / Farm Tourism Camp,DOT-CAR-AGT-01286-2023,Sevilleja's Agritourism Park,Abra,Abaquid,"Sevillaja's Eco Farm, Abra-Ilocos Norte rd., Abaquid, Danglas, Abra",9177233091,fkassevilleja@gmail.com,3-Oct-25,,
CAR,Apartment Hotel,DOT-CAR-APT-02021-2024,Apartelle 7,Benguet,Baguio,"Kennon Road Corner, Parisas Street, Camp 7, Baguio City",(074) 665-6458,reservations@apartelle7.com,31-Oct-26,,,
,,,,,,,9257897865,jabautista@nlmaconline.com,,,,,,,
CAR,Apartment Hotel,DOT-CAR-APT-00037-2020,Azalea Residences Baguio,Benguet,Baguio,"07, Leonard Wood Loop, Barangay M. Roxas, Baguio City",(074) 424-8710-11-14,dof@azalea.com.ph,31-Oct-26,,,
,,,,,,,(074) 424-8166,frontdeskazalea@gmail.com,,,,,,,
,,,,,,,9744248716,propertymgr@azaleabaguio.com,,,,,,,
CAR,Apartment Hotel,DOT-CAR-APT-01820-2024,Jewel Igorot Building,Benguet,La Trinidad,"FA 273 A, Km 4, Brgy. Balili, La Trinidad",9493994089,jeweligorotlegacy.ph@gmail.com,31-Oct-26,,,
CAR,Gallery / Museum,DOT-CAR-MSM-02274-2025,Baguio Museum,Benguet,Baguio,"Governor Pack Road, Harrison-Claudio Carantes, Baguio City",074 444 7541 / 248 1147,baguio_museum@yahoo.com,5-Feb-26,,,,
CAR,Homestay,DOT-CAR-HMY-00602-2022,Adelle's Transient,Benguet,La Trinidad,"AR 51 Upper Riverside Ambiong, La Trinidad, Benguet",9194135293,bernadette.tiago@gmail.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-00322-2021,AE's Transient Home,Benguet,Baguio,"73-E Ferguson Rd., Andres Bonifacio, Guisad, Baguio City",9297183919,artbulayo@yahoo.com,31-Oct-26,,,
CAR,Homestay,DOT-CAR-HMY-00351-2021,AMARA Transient House,Benguet,Baguio,"418 Cuneta Cmp Purok 4 East Gibraltar, Baguio City",9182749597,rodolfolodiajr@gmail.com,31-Oct-26,,,,,
,,,,,,,9661740088,,,,,,,,
CAR,Homestay,DOT-CAR-HMY-00256-2021,Arturo Samson Property Rental,Benguet,Baguio,"Lot 21 Blk 1 Greensummerville subdivision, Bakakeng Rd.",9158230467,artur513@yahoo.com,31-Oct-26,,,,,
CAR,Homestay,DOT-CAR-HMY-00325-2021,Aussie Inn,Benguet,Baguio,"11 Purok 1 Brgy. M Roxas, Baguio City",9173720558,mirasollaguipo@yahoo.com.ph,31-Oct-26,,,,,
CAR,Homestay,DOT-CAR-HMY-00505-2021,Baey Bogan Homestay,Mountain Province,Sagada,"Dagdag, Sagada, Mt. Province",9219710874,alapo.bogan@gmail.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-00106-2020,Balai Ruthanna Homestay,Benguet,Baguio,"61 Magnolla St., San Luis Village, Baguio City",09065764582 09452742626,ruthannasuy@gmail.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-00372-2021,Bali Beata Lodging Home,Benguet,La Trinidad,"OB 005 Boted, Tawang La Trinidad, Benguet",9175115718,frainge@frainge.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-00106-2020,Bautista Homestay,Benguet,Baguio,"62 Evangelista Street Leonila Hill West Bayan Park, Baguio City",9065764582,ruthannasuy@gmail.com,31-Oct-26,,,,,
,,,,,,,9452742626,,,,,,,,
,,,,,,,9360441548,,,,,,,,
CAR,Homestay,DOT-CAR-HMY-00765-2022,Bez And Oh Lodging Home,Benguet,Baguio,"3A Sto Nino Road, San Carlos Heights, Purok 22",9175115718,bezandohhomes@gmail.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-00108-2020,Bims Pride Realty,Benguet,Baguio,"466 Dahlia, Upper QM, Baguio City",09225788412 09164426696,karrenbobadilla@gmail.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-02377-2025,Casanorte Transient House,Benguet,Baguio,409 Purok 4 Hillside Baguio City Benguet,9499867893,abramjoshmaglaqui@gmail.com,31-Oct-26,,,,,,
CAR,Homestay,DOT-CARHMY-00209--2021,Chen's Lodge,Mountain Province,Bontoc,"Favuyan, Maligcong, Mountain Province",9562805628,chens.home2017@gmail.com,31-Oct-26,,,,
,,,,,,,9488984240,chens.sacyaan.home2017@gmail.com,,,,,,,
CAR,Homestay,DOT-CAR-HMY-00352-2021,Cherry Marie's Homestay,Benguet,Baguio,"129 Purok 5 Camdas, Baguio City",9669086354,harvey_ronquillo@yahoo.com,31-Oct-26,,,,,
CAR,Homestay,DOT-CAR0HMY-00622-2022,Countrywoods,Benguet,Baguio,"134, Brgy. Scout Barrio, Baguio City",9612562057,harvey_ronquillo@yahoo.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-01132-2023,Dasigblings Transient House,Benguet,Baguio,"4 RKC Bldg Ben Palispis Hwy, Bakakeng Central, Baguio City",9054190309,miletkarlodasig@gmail.com,31-Oct-26,,,,
,,,,,,,9214657331,,,,,,,,
CAR,Homestay,DOT-CAR-HMY-01695-2024,Destinys Transient and Boarding House (Salud Mitra Branch),Benguet,Baguio City,"#52 Valenzuela st., Salud Mitra, Baguio City",9199560082,Destinysmain@gmail.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-00766-2022,Destinys Transient and Boarding House (Trancoville Branch),Benguet,Baguio,"5 Lower Malvar, Trancoville Baguio City",9199560082,destinys2.2022@gmail.com,31-Oct-26,,,,,
CAR,Homestay,DOT-CAR-HMY-00825-2022,Elabiz Properties (Brenthill),Benguet,Baguio City,Vista Brenthill No. 9 Unit 02F-0017 Yanco Road,0961 0466727,https://www.airbnb.com/rooms/679232782265398348,31-Oct-26,,,,,,
CAR,Homestay,DOT-CAR-HMY-01051-2023,Ely's Place,Benguet,Baguio City,"129 Nevada Rd., Lower Engineer's Hill, Brgy. Engineer's Hill, Baguio City",074 442 6817,sheridancastelltort_1022@yahoo.com,31-Oct-26,,,
CAR,Homestay,DOT-CAR-HMY-00146-2021,Garden View Homestay,Benguet,Baguio,"#56 Evangelista St., Bayan Park West (Bayan Park), Baguio City",9350567897,eekimferrer@gmail.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-02076-2024,Gina's Homes,Mountain Province,Sagada,"Dagdag, Macbas, Sagada, Mountain Province",9202720085,ginatambiac@yahoo.com,31-Oct-26,,,
CAR,Homestay,DOT-CAR-HMY-02401-2025,Highland Properties Residential Leasing,Benguet,Baguio,"#6 Outlook Drive, Baguio City",9178333906,highlandleasing@yahoo.com,31-Oct-26,,,,,
CAR,Homestay,DOT-CAR-HMY-00858-2022,Homewood Transient House,Benguet,Baguio,"301 Elizabeth Suello Village Central Bakakeng, Baguio City",9481110727,trishacayetano@gmail.com,31-Oct-26,,,,,
CAR,Homestay,DOT-CAR-HMY-00101-2020,Ina's Transient House,Benguet,Baguio,"#244-S Purok 2, Lucnab, Baguio City",09984679710 / 09616105571,sabitsophia7@gmail.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-00216-2021,Hide Away house,Mountain Province,Sagada,"Pandayan, Brgy. Bangaan, Sagada, Mt. Province","""09991999629",jinamalanta08@gmail.com,31-Oct-26,,,
,,,,,,,"09277677090""",,,,,,,,
CAR,Homestay,DOT-CAR-HMY-00797-2022,Inandakos Bed and Breakfast,Mountain Province,Sagada,"Kenlibed,Dagdag, Mountain Province",09277846866/ 09053679743,bagano.dako@gmail.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-00495-2021,Joann Sophia Transient House,Benguet,Baguio,"#3 City Camp Road, City Camp Proper, Baguio City",09176519932 / 09186666946,carreon_joann@yahoo.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-00596-2022,Joyrich Homestay,Benguet,Baguio,"74 old/ 62 new DPS Compound, Baguio City",09176564010/ 09285550047,joyrichardce@gmail.com,31-Oct-26,,,,,
CAR,Homestay,DOT-CAR-HMY-00565-2022,JV Espino Apartments and Transient House,Benguet,Baguio,"231 Road 2 Evangelista St., Leonilla Hill, Brgy. Bayan Park West, BAguio City",074-4423014,jvespinoapt@yahoo.com,31-Oct-26,,,
CAR,Homestay,DOT-CAR-HMY-00340-2021,KNM Boarding House,Benguet,Baguio,"35 Rimando Rd., Trancoville, Baguio City",9153664006,KNMBOARDINGHOUSE@GMAIL.COM,31-Oct-26,,,,
,,,,,,,(074)619 4020,,,,,,,,
CAR,Homestay,DOT-CAR-HMY-00356-2021,La Casa Jessonmar Homestay,Benguet,Baguio,"67 y. Vergara Alley, Upper Engineers Hill, Baguio City",9175003224,jessonmardiazfabi@gmail.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-01049-2023,Ladislao Alindayu Real Estate Lessor,Benguet,Baguio,"141 Nevada rd., Lower Engineers Hill, Baguio City",9216923622,eironladislao@yahoo.com,31-Oct-26,,,,
CAR,Homestay,DOT-CARHMY-00257-2021,LE COQ Bleu Homestay,Benguet,Baguio,"13 Gulf View Horion, Suello Village",9175017355,chantaleliane@yahoo.com,31-Oct-26,,,,,
CAR,Homestay,DOT-CAR-HMY-00455-2021,Maligsa's Homestay,Benguet,Baguio,"56 First Road, Valenzuela street, Salud Mitra, Baguio City",9187461000,baldovir8205@yahoo.com,31-Oct-26,,,
,,,,,,,9488140721,,,,,,,,
CAR,Homestay,DOT-CAR-HMY-00229-2021,Maryhilz Homestay,Mountain Province,Sagada,"Kenlibed,Dagdag, Mountain Province",9194080108,jklikigan@yahoo.com,31-Oct-26,,,,
,,,,,,,9166506676,,,,,,,,
CAR,Homestay,DOT-CAR-HMY-00652-2022,Mary's Home Baguio House Rental,Benguet,Baguio,Benguet Baguio,9175060616,maryhomeandme@gmail.com,31-Oct-26,,,,,,
CAR,Homestay,DOT-CAR-HMY-00268-2021,Mavy's Maligcong Homestay,Mountain Province,Sagada,"Culos Building, Favuyan, Maligcong, Bontoc Mountain Province, Philippines",9279914264,mavyc24@yahoo.com,31-Oct-26,,
CAR,Homestay,DOT-CAR-HMY-02099-2024,Noants Lodging and Tours,Benguet,Baguio,23 Shuntug Street Baguio City,9209207026,catherinedelarosa1948@gmail.com,31-Oct-26,,,,,,
CAR,Homestay,DOT-CAR-HMY-00627-2022,Papci's Transient House,Benguet,Baguio,"123 Pogi street, Barangay Camp 8, Baguio City",9562272641,papciesparrago@gmail.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-00337-2021,PBM Transient house,Benguet,Baguio,"108 Purok 26, Upper SAn Carlos Hts., Brgy., Irisan, Baguio City",9056634238,precymangibat@yahoo.com,31-Oct-26,,
CAR,Homestay,DOT-CAR-HMY-02297-2025,Pink Blossom Transient House,Benguet,Baguio,"100 Valenzuela St., Salud Mitra, Baguio City",9752601172,always.pink61@gmail.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-00822-2022,Primehook Zarems Homestay,Benguet,Baguio,"5A Jesnor Building, Carino Cor Otek, Rizal Monument",9481558229,princessnatasja26@gmail.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-02250-2025,Q & P Zarems Homestay,Benguet,Baguio,"418, Cuneta Compound, Purok 4, Gibraltar",9811847600,natividadremedios2@gmail.com,31-Oct-26,,,
CAR,Homestay,DOT-CAR-HMY-00630-2022,Retreat at Shirley's Homestay,Benguet,Baguio,"Lot 9A PNB Ville Purok 7 Bakakeng Central, Baguio City",(074) 6370670,kenziescott@gmail.com,31-Oct-26,,,,,
CAR,Homestay,DOT-CAR-HMY-00353-2021,RG-TOX Cyber Café and Homestay,Benguet,Baguio,"093-B Block 2 Lot 15 B Lower Rock Quarry, Baguio City",9177476427,rosedgzmn@yahoo.com,31-Oct-26,,,,,
CAR,Homestay,DOT-CAR-HMY-00643-2022,RKK's Transient House,Benguet,Tuba,"236 Alta Verde KM 6 Asin Rd., Tadiangan, Tuba, Benguet",9055506984,rejz93@gmail.com,21-Oct-26,,,
CAR,Homestay,DOT-CAR-HMY-0150-2023,Roadside Homestay,Mountain Province,Sagada,"Ambasing, Sagada, Mountain Province",9637345654,jcalpi28@gmail.com,31-Oct-26,,,,
,,,,,,,9097109465,,,,,,,,
CAR,Homestay,DOT-CAR-HMY-00347-2021,Suite Abodes,Benguet,Baguio,"409 Ferdinand Happy Homes, Baguio City",9175147457,heidejoydlr@gmail.com,31-Oct-26,,,,,
,,,,,,,9228640981,,,,,,,,
CAR,Homestay,DOT-CAR-HMY-00548-2022,Sunhaus,Mountain Province,Sagada,"Staunton Rd., Batalao, Antado, Sagada, Mountain Province",9568516112,djby3171@gmail.com,31-Oct-26,,
CAR,Homestay,DOT-CAR-HMY-00269-2021,Suzette's Maligcong Homestay,Mountain Province,Bontoc,"Makonig,Maligcong,Bontoc Mountain Province",9155463557,suzettemaligconghomestay@gmail.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-01282-2023,Tesoros Realty Corp (Agreeable Family Abode),Benguet,Baguio,"168 Queen of Hope Street Barangay Lourdes, Baguio City",9178196188,tesorosrealty@gmail.com,31-Oct-26,,,,,
CAR,Homestay,DOT-CAR-HMY-02487-2025,Tudor in the Pines,Benguet,Baguio,"#17 Lower Balacbac Rd., Sto Tomas, Baguio City",0945 793 2224,thetudorhomestay@gmail.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-00116-2021,Verceles Alambra Homes Home Stay,Benguet,Baguio,"Unit 201 Zone Ville Condominium Subd., Burnham Legarda, Baguio City",09175093590 09177194460,alambraaurorav@gmail.com,31-Oct-26,,,,
CAR,Homestay,DOT-CAR-HMY-02347-2025,Vilma's Homestay,Mountain Province,Bontoc,"Favuyan, Maligcong Bontoc Mountain Province",9369271629,vilmamangatanfagkang@gmail.com,31-Oct-26,,,,,
CAR,Homestay,DOT-CAR-JMY-02257-2025,Wood Pine Real Estate Leasing,Benguet,Baguio,"96 Lower Brgy. Cabinet Hil-Teacher's Camp, Baguio City",9983617295,leonorong.dot@gmail.com,31-Oct-26,,,,,
CAR,Homestay,DOT-CAR-HMY-01261-2023,WRPlace Homestay,Benguet,Baguio,"No. 90 Purok 3, Happy Hallow",9285218066,williamnaquino@gmail.com,31-Oct-26,,,,,
,,,,,,,9195351821,,,,,,,,
CAR,Homestay,DOT-CAR-HMY-00125-2021,Yellow House Transient House,Benguet,Baguio,"#9 Upper Cabinet Hill - Teacher's Camp Baguio City, Benguet",9952489116,yellowhousebaguio@gmail.com,31-Oct-26,,,,,
,,,,,,,'09669467314,,,,,,,,
CAR,Homestay,DOT-CAR-HMY-00125-2021,ZYA Transient House,Benguet,Baguio,"#323 Alpaville street Upper Liwanag, Baguio City",9104026786,zyatransienthouse@gmail.com,31-Oct-26,,,,,
CAR,Hotel,DOT-CAR-HTL-01236-2023,456 Hotel,Benguet,Baguio,"#456 Bldg., Legarda rd., Burnham-Legarda, Baguio City",9178889456,hotel456legarda@gmail.com,31-Oct-26,,,
CAR,Hotel,DOT-CAR-HTL-00805-2022,Alphaland Baguio Mountain Lodges,Benguet,Itogon,"Km. 9 Ambuklao Rd., Tocmo, Loacan, Itogon, Benguet",0253371200/ 09199125797,baguiomountainlodges@alphaland.com.ph,31-Oct-26,,
CAR,Hotel,DOT-CAR-HTL-00960-2022,Aura One Hotel,Benguet,Baguio,"58 Rimando Road, Trancoville, Baguio City",9399192477,auraonereservations@gmail.com,31-Oct-26,,,,
CAR,Hotel,DOT-CAR-HTL-01228-2023,Baguio Burnham Suites,Benguet,Baguio,"6 Kisad Road, Baguio City",9178512949,baguioburnhamsuitesHotel@gmail.com,31-Oct-26,,,,,
,,,,,,,074 665 7240,,,,,,,,
CAR,Hotel,DOT-CAR-HTL-00342-2021,Baguio Crown Legacy Hotel,Benguet,Baguio,"Corner Montinola street, Kisad Road, Legarda, Baguio City",9177268022,bclhdot@gmail.com,31-Oct-26,,,
,,,,,,,,crwnlegacy@gmail.com,,,,,,,
CAR,Hotel,DOT-CAR-HTL-01121-2023,Baguio Holiday Villas,Benguet,Baguio,"10 Legarda Road, Baguio City",(074) 442-6679,baguioholiday@yahoo.com.ph,31-Oct-26,,,,,
,,,,,,,9778326811,reservations@baguioholidayvillas.com.ph,,,,,,,
,,,,,,,,bhvreservations@yahoo.com.ph,,,,,,,
CAR,Hotel,DOT-CAR-HTL-00134-2021,Baguio Lefern Hotel,Benguet,Baguio,"#90 Military Cut-Off, Baguio City",(074) 424-4183,baguiolefernHotel.mco@gmail.com,31-Oct-26,,,,,
CAR,Hotel,DOT-CAR-HTL-02426-2025,BGV Hotel,Ifugao,Banaue,"View Point, Banaue, Ifugao",9270697897,bgvhotel2025@gmail.com,31-Oct-26,,,,
CAR,Hotel,DOT-CAR-HTL-00074-2020,Bloomfield Hotel,Benguet,Baguio,"#3 Leonard Wood Road,Baguio City",9175100044,info@bloomfieldhotel.com,31-Oct-26,,,,,
CAR,Hotel,DOT-CAR-HTL-02040-2024,Casa Vallejo,Benguet,Baguio,"Upper Session Road , Baguio City",9552071739,fo.casavallejo@gmail.com,1-Nov-26,,,,,
CAR,Hotel,DOT-CAR-HTL-00079-2020,Chalet Baguio,Benguet,Baguio,"#92 Upper Military Cut Off, Baguio City",(074) 424-8070-72-97,chaletbaguiopayables@gmail.com,31-Oct-26,,,,,
,,,,,,,,chaletbaguiofo@yahoo.com,,,,,,,
CAR,Hotel,DOT-CAR-HTL-00086-2020,City Light Hotel,Benguet,Baguio,"#245 Upper General Luna Road, Baguio City","""(074) 442-8080",citylighthotel@yahoo.com,31-Oct-26,,,,,
,,,,,,,9199944110,,,,,,,,
,,,,,,,"09176292761""",,,,,,,,
CAR,Hotel,DOT-CAR-HTL-00041-2020,City Travel Hotel,Benguet,Baguio,"#15 Kisad Road, Burnham-Legarda, Baguio City",(074) 445-0456,citytravelHotel@yahoo.com,31-Oct-26,,,,
,,,,,,,(074) 447-0480,,,,,,,,
,,,,,,,9175065067,,,,,,,,
CAR,Hotel,DOT-CAR-HTL-02255-2025,Ellianah Pines Hotel,Benguet,Baguio City,"Green Valley Townhouse, Phase 4, Brgy. Dontogan, Baguio City",9293523262,markbenguet.dot@gmail.com,31-Oct-26,,,
CAR,Hotel,DOT-CAR-HTL-00022-2020,El Cielito Hotel Baguio,Benguet,Baguio,"#50 North Drive, Baguio City",9177982937,ech.baguio@gmail.com,31-Oct-26,,,,,
,,,,,,,9399273240,,,,,,,,
,,,,,,,(074) 443-4846,,,,,,,,
,,,,,,,(074) 424-3551,,,,,,,,
CAR,Hotel,DOT-CAR-HTL-01594-2024,Emerald Grains,Benguet,Baguio City,"Brgy Imelda Marcos, Marcos Highway, Baguio City",9209261965,emeraldgrainshotel@gmail.com,30-Oct-26,,,,
CAR,Hotel,DOT-CAR-HTL-00823-2022,G1 Lodge,Benguet,Baguio,"#2 Leonard Wood Rd., Baguio City","""639178881864",fo2.g1lodge@gmail.com,31-Oct-26,,,,,
,,,,,,,"(074) 665-4825""",info@g1lodge.com,,,,,,,
CAR,Hotel,DOT-CAR-HTL-00592-2022,Giraffe8 Boutique Hotel,Benguet,Baguio,"5 Arellano and Moran Street, Barangay Gibraltar, Baguio City",(074) 619-0158,giraffeboutiqueHotel.22@gmail.com,31-Oct-26,,,,
,,,,,,,9164977869,richardcaragdag50@gmail.com,,,,,,,
,,,,,,,9267239275,cafemangiamobaguio@gmail.com,,,,,,,
,,,,,,,9776816218,,,,,,,,
CAR,Hotel,DOT-CAR-HTL-01133-2023,Golden Berries Hotel & Convention Center,Kalinga,Tabuk,"Brgy. San Juan, Tabuk City, Kalinga",9272135422,golden.berries@yahoo.com,31-Oct-26,,,,
,,,,,,,9178905545,,,,,,,,
,,,,,,,9778333310,,,,,,,,
CAR,Hotel,DOT-CAR-HTL-01133-2023,Golden Fields Hotel,Kalinga,Tabuk,"Brgy. San Juan, Tabuk City, Kalinga",9560983437,golden.berries@yahoo.com,31-Oct-26,,,,
CAR,Hotel,DOT-CAR-HTL-00172-2021,M Hotel Tabuk,Kalinga,Tabuk,"Appas, Tabuk City, Kalinga",9171872888,mhoteltabuk@gmail.com,31-Oct-26,,,,
CAR,Hotel,DOT-CAR-HTL-02046-2024,Grand Sierra Pines Baguio,Benguet,Baguio,"#43 North Outlook Drive, Barangay Gibraltar, Baguio City","""(074) 245-3923",info@sierrapinesbaguio.com,31-Oct-26,,,,
,,,,,,,(074) 245-3925,finance@sierrapinesbaguio.com,,,,,,,
,,,,,,,0917-1184-652,,,,,,,,
CAR,Hotel,DOT-CAR-HTL-00844-2022,Hotel Elizabeth,Benguet,Baguio,"#1 J Felipe Street, Gibraltar Road, Baguio City",9228171551,atg@Hotelelizabeth.com.ph,31-Oct-26,,,,
,,,,,,,,salesaccount2.baguio@Hotelelizabeth.com.ph,,,,,,,
CAR,Hotel,DOT-CAR-HTL-00819-2022,Hotel Grande,Benguet,Baguio,"2 Outlook drive, Baguio City",0907 189 5627,hrHotelgrande@gmail.com,31-Oct-26,,,,,
CAR,Hotel,DOT-CAR-HTL-00071-2020,Hotel Supreme,Benguet,Baguio,"#113 Magsaysay Avenue, Baguio City",0917 793 1544,jeffng@Hotelsupreme.com.ph,31-Oct-26,,,,,
,,,,,,,0908 885 6421,reservation@Hotelsupreme.com.ph,,,,,,,
CAR,Hotel,DOT-CAR-HTL-02128-2024,Hotel Tugos,Benguet,Baguio,"#11 Naguillan Road, Brgy. Quezon Hill Proper, Baguio City",9980088899,hoteltugosbaguio@gmail.com,31-Oct-26,,,,
CAR,Hotel,DOT-CAR-HTL-01073-2023,Hotel Veniz-Burnham,Benguet,Baguio,"#1 Abanao St., Baguio City",(074) 446-0700-03,Hotelvenizbaguio@yahoo.com,31-Oct-26,,,,,
CAR,Hotel,DOT-CAR-HTL-01151-2023,Hotel Veniz-Session,Benguet,Baguio,"#54 Session Road, Baguio City",09171118000/(074) 619-1181,Hotelvenizsession_accounting@yahoo.com,31-Oct-26,,,,,
CAR,Hotel,DOT-CAR-HTL-00967-2022,Hotel Vivo,Benguet,Baguio,"17 Legarda Rd., Baguio City",(074) 420 9003,michaeldarren.dmc@gmail.com,31-Oct-26,,,,,
,,,,,,,9175783491,,,,,,,,
CAR,Hotel,DOT-CAR-HTL-00910-2022,Ion Hotel,Benguet,Baguio,"#56 Legarda street, Baguio City",9173157008,ionHotelbaguio@gmail.com,31-Oct-26,,,,,
CAR,Hotel,DOT-CAR-HTL-00589-2022,Kingsquare Davidson Hotel and Restaurant,Kalinga,Tabuk City,"Purok Datu, Bulanao Norte, Tabuk City, Kalinga",9050500001,davidson.hotel@rocketmail.com,31-Oct-26,,,
CAR,Hotel,DOT-CAR-HTL-02132-2024,Lafaayette Luxury Suites,Benguet,Baguio,#1 Military Cut Off Baguio City,9615908663,smm@lafaayetteluxurysuites.com,31-Oct-26,,,,,,
CAR,Hotel,DOT-CAR-HTL-02045-2024,Le Monet Hotel,Benguet,Baguio,"Ordonio Drive, Camp John Hay, Baguio City",(074) 661-0202 to 07,sales.lemonet@ahmgi.com,31-Oct-26,,,,
,,,,,,,9175267049,rsvn.lemonet@ahmgi.com,,,,,,,
CAR,Hotel,DOT-CAR-HTL-02459-2025,Leonard Wood Pines Hotel,Benguet,Baguio,"17 Leonard Wood Road, Baguio City",(074)6652461,nadscalvo@gmail.com,31-Oct-26,,,,,
CAR,Hotel,DOT-CAR-HTL-02048-2024,Log Cabin Hotel,Benguet,Baguio,"191 Leonard Wood Rd., Brgy. Saint Joseph Village, Baguio City",(074) 442-2419 09176328658 09988425301,logcabinhotel_fo@hotmail.com,31-Oct-26,,,,
