Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 1,Homestay,DOT-R01-HMY-00575-2021,BALOTABOT HOMESTAY,Ilocos Norte,Pagudpud,"Brgy. Saud, Pagudpud, Ilocos Norte",9072713641,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-00550-2021,CJ PATRIC HOME STAY,Ilocos Norte,Pagudpud,"Sitio Maligaya, Brgy. Saud, Pagudpud, Ilocos Norte",9099853936,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01293-2022,CURAMMENG'S HOMESTAY,Ilocos Norte,Pagudpud,"Brgy. Saud, Pagudpud, Ilocos Norte",9362241308,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-00048-2020,CZED AND CZER'S TRANSIENT HOUSE,Ilocos Norte,Pagudpud,"Sitio Malingay, Brgy. Balaoi, Pagudpud, Ilocos Norte",9189629013,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01311-2022,JENALYN DALUMAY HOMESTAY,Ilocos Norte,Pagudpud,"Sitio Namnama, Brgy. Saud, Pagudpud, Ilocos Norte",9814008975,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01271-2022,JENEFER HOMESTAY,Ilocos Norte,Pagudpud,"Brgy. Balaoi, Pagudpud, Ilocos Norte",9070188567,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-00549-2021,JOSEFINA'S HOMESTAY,Ilocos Norte,Pagudpud,"Sitio Maligaya, Brgy. Saud, Pagudpud, Ilocos Norte",9498106104,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-00187-2021,KIBOU HOMESTAY,Ilocos Norte,Pagudpud,"Sitio Maligaya, Saud, Pagudpud, Ilocos Norte",9165368848,https://kibouhomestay@gmail.com,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-00882-2022,LILIA DOLOR HOMESTAY,Ilocos Norte,Pagudpud,"Sitio Namnama, Brgy. Burayoc, Pagudpud, Ilocos Norte",9509988482,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-00574-2021,LORENA HOMESTAY,Ilocos Norte,Pagudpud,"Sitio Namnama, Barangay Saud,Pagudpud, Ilocos Norte",9121011373,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-00564-2021,MARILYN'S HOMESTAY,Ilocos Norte,Pagudpud,"Sitio Maligaya, Brgy. Saud, Pagudpud, Ilocos Norte",9107453313,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-00293-2021,MARTINEZ HOMESTAY,Ilocos Norte,Pagudpud,"Sitio Linglingay, Brgy. Saud, Pagudpud, Ilocos Norte",9217939236,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01301-2022,MARY CON HOMESTAY,Ilocos Norte,Pagudpud,"Sitio Malingay, Brgy. Balaoi, Pagudpud, Ilocos Norte",9543363536,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01276-2022,MEKENI TRANSIENT HOUSE,Ilocos Norte,Pagudpud,"Sitio Malingay, Brgy. Balaoi, Pagudpud, Ilocos Norte",9981965908,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01274-2022,MHONDEL HOMESTAY,Ilocos Norte,Pagudpud,"Sitio Maligaya, Brgy. Saud, Pagudpud, Ilocos Norte",9852979232,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01257-2022,MUND HOMESTAY,Ilocos Norte,Pagudpud,"Sitio Namnama, Brgy. Saud, Pagudpud, Ilocos Norte",9208984368,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01290-2022,NANCY HOMESTAY,Ilocos Norte,Pagudpud,"Sitio Gaoa, Brgy. Balaoi, Pagudpud, Ilocos Norte",09384557385/09124202197,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01299-2022,PHILIP'S TRANSIENT HOUSE,Ilocos Norte,Pagudpud,"Sitio Malingay, Brgy. Balaoi, Pagudpud, Ilocos Norte",09129247492 / 09295066490,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01297-2022,PRINCESS HOMESTAY,Ilocos Norte,Pagudpud,"Sitio Namnama, Brgy. Saud, Pagudpud, Ilocos Norte",9994222048,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-00694-2022,QUINDOY HOMESTAY,Ilocos Norte,Pagudpud,"Sitio Linglingay, Brgy. Saud, Pagudpud, Ilocos Norte",9398683915,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01250-2022,ROWENA'S HOMESTAY,Ilocos Norte,Pagudpud,"Sitio Maligaya, Brgy. Saud, Pagudpud, Ilocos Norte",9083752266,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01249-2022,TABLIT HOMESTAY,Ilocos Norte,Pagudpud,"Brgy. Balaoi, Pagudpud, Ilocos Norte",9212646992,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01583-2023,SEBASTOPOL GUEST HOUSE,La Union,Agoo,San Nicolas West,9776955167,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01344-2022,BRENDA'S HOMESTAY (FORMERLY BRENDZ HOUSE SPACE RENTAL),La Union,San Fernando City,"#47 Dalumpinas Oeste, San Fernando City, La Union",0912 271 3766,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01401-2022,GASPAR TRANSIENT HOUSE,La Union,San Fernando City,34 Beach Homes III Subdivision Lingsat San Fernando City La Union,9178180680,https://www.facebook.com/BalayTiGaspar/,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01341-2022,CABANELA'S TRANSIENT HOUSE,La Union,San Juan,363 Cariño Street,9184396305,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01400-2022,HADS BEACHFRONT ROOM RENTAL,La Union,San Juan,Poblacion,9690463171,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01715-2023,ETHAN TRANSIENT HOUSE,La Union,San Juan,"Urbiztondo, San Juan, La Union",9052351631,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01343-2022,BECKY & KIDS TRANSIENT HOUSE,La Union,San Juan,"Barangay Panicsican, San Juan, La Union",9204773434,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01695-2023,AMITA'S GUEST HOUSE,La Union,San Juan,"Eagle Street, Montemar Village, Ili Norte (Pob.), San Juan, La Union",9260680270,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-00557-2021,AKI SURF COTTAGES,La Union,San Juan,"San Juan Surf Resort Compound, Urbiztondo, San Juan, La Union",9166324174,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02830-2025,ELYU URBIZTONDO HOMESTAY,La Union,San Juan,"Purok 1, Bgy. Urbiztondo, San Juan, La Union",09178933885 / 0204773435,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01144-2022,Chanel's Homestay,Pangasinan,Alaminos City,"Sitio Galiz Lucap,Alaminos City, Pangasinan",9770974441,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01204-2022,Islandsports Transient House,Pangasinan,Alaminos City,"Lucap,Alaminos City, Pangasinan",9293479829,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01160-2022,MG3 TRANSIENT HOUSE,Pangasinan,Alaminos City,"Lucap,Alaminos City, Pangasinan",9956345028,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01162-2022,OCEANSIDE COTTAGES RENTAL,Pangasinan,Alaminos City,"Bolo II-Pandan,Alaminos City, Pangasinan",9530570987,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01123-2022,ONE SOPHIA VACATION HOUSE,Pangasinan,Alaminos City,"Bolo Beach Road, Pandan,",9175227144,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02076-2024,CARRIBEAN TRANSIENT HOUSE,Pangasinan,Alaminos City,"Lucap, Alaminos City, Pangasinan",9277605141,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02315-2024,DIGGY'S TRANSIENT HOUSE,Pangasinan,Alaminos City,Recudo St. Lucap,9923053023,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-00744-2022,FNT TRANSIENT HOUSE,Pangasinan,Alaminos City,"Sitio Sto. Rosario, Lucap,Alaminos City, Pangasinan",9993184009,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01174-2022,CLARK & JAMES VACATION HOUSE,Pangasinan,Alaminos City,"Recudo St.,Lucap,Alaminos City, Pangasinan",9516772936,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02075-2024,KUYA BEN'S TRANSIENT HOUSE,Pangasinan,Alaminos City,"Inansuana St.,Lucap,Alaminos City, Pangasinan",9083215665,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02354-2024,4RPAPA TRANSIENT HOUSE,Pangasinan,Alaminos City,"Bolaney, Alaminos City, Pangasinan",9175336266,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02355-2024,ARGINLYN HOMESTAY,Pangasinan,Alaminos City,"Bolo II-Pandan,Alaminos City, Pangasinan",9090944729,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01099-2022,HSIN TSUN AND FLORENCE'S VACATION HOUSE RENTAL,Pangasinan,Alaminos City,"Boulevard Road, Lucap, Alaminos City, Pangasinan",9682158062,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02393-2024,CAPARAS TRANSIENT HOUSE,Pangasinan,Alaminos City,"Highway, Lucap, Alaminos City, Pangasinan",9275101764,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02396-2024,EKING TRANSIENT HOUSE,Pangasinan,Alaminos City,"#718 Recudo Lucap, Alaminos City, Pangasinan",9184549380,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02397-2024,TRESMARIAS TRANSIENT HOUSE,Pangasinan,Alaminos City,"Centro, Barangay Lucap, Alaminos City, Pangasinan",9079841980,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02271-2024,MARIE HOMESTAY,Pangasinan,Bolinao,"PATAR, BOLINAO, PANGASINAN",9067937965,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01172-2022,VILLA LOURDES HOLIDAY HOMESTAY,Pangasinan,Alaminos City,93 Lucap Alaminos City Pangasinan,9285200363,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01079-2022,CAMILLE CHEAPSTAY TRANSIENT HOUSE,Pangasinan,Alaminos City,"Lucap, Alaminos City, Pangasinan",9184968610,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02529-2024,ANDY TRANSIENT HOUSE,Pangasinan,Alaminos City,"Sitio Recudo, Lucap, Alaminos City, Pangasinan",9478528539,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02530-2024,ACE TINY HOMESTAY,Pangasinan,Alaminos City,"524 Galiz, Brgy. Lucap",9081621194,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02543-2024,EDDIE & JOSIE TRANSIENT HOUSE,Pangasinan,Alaminos City,"227 LUCAP ALAMINOS CITY, PANGASINAN",9193970188,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01126-2022,HAVEN BREEZE BEACH RESORT,Pangasinan,Alaminos City,"Bolo II-Pandan,Alaminos City, Pangasinan",9691668130,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02546-2024,HUNDRED ISLANDS GUEST HOUSE,Pangasinan,Alaminos City,"90 California Street, Braganza Village, Brgy. Poblacion",9498435981,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02548-2024,SKYE-LOUNGE INN,Pangasinan,Alaminos City,"310 Brgy Lucap, Alaminos City, Pangasinan",9103777369,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02549-2024,NOLINA'S TRANSIENT ROOM,Pangasinan,Alaminos City,"Highway Road, Lucap,Alaminos City, Pangasinan",9778021052,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02554-2024,VILLAGE GUEST HOUSE,Pangasinan,Alaminos City,"California St. Braganza Village, Poblacion, Alaminos City, Pangasinan",9498314282,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02556-2024,T & A GUEST HOUSE,Pangasinan,Alaminos City,"Lucap, Alaminos City, Pangasinan",9776264943,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01498-2023,D5J ROOM RENTAL,Pangasinan,Burgos,Sitio cabongaoan baranggay ilio ilio burgos pangasinan,9562547855,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02623-2025,LVJV TRANSIENT HOUSE,Pangasinan,Dasol,"Purok Uno, Brgy. Osmeña Dasol, Pangasinan",9639949255,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02632-2025,JEDIDIAH HOMESTAY,Pangasinan,Dasol,"Purok 1, Brgy. Osmeña Dasol, Pangasinan",9215030927,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02651-2025,MIKAZA BEACH RESORT,Pangasinan,Bolinao,"PATAR, BOLINAO, PANGASINAN",9957710916,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-01227-2022,CZESALLIE MAYE TRANSIENT HOUSE,Pangasinan,Alaminos City,"717 Recudo Street, Lucap,Alaminos City, Pangasinan",09289628826/09770778417,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02698-2025,BOLINAO'S G-POINT RESORT,Pangasinan,Bolinao,"STA. BARBARA, LUCIENTE II, BOLINAO, PANGASINAN",9997152618,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02784-2025,LADELS BEACH HOUSE,Pangasinan,Bolinao,"PATAR, BOLINAO PANGASINAN",9278429218,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02789-2025,CABO CASITA INN,Pangasinan,Burgos,"Sitio Cabongaoan, Brgy Ilio-ilio (Iliw-iliw), Burgos, Pangasinan",9178340027,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02790-2025,DUKE'S HOMESTAY,Pangasinan,Alaminos City,"Lucap, Alaminos City, Pangasinan",9465068496,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02791-2025,ARROYO-CAYABAN HOMESTAY,Pangasinan,Dasol,Purok 3 osmeña DASOL pangasinan,9318410837,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02792-2025,DELILAH'S HOMESTAY,Pangasinan,Dasol,Purok 3 Osmeña Dasol Pangasinan,96135876211,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02809-2025,GIANT TAKLOBO TRANSIENT HOUSE,Pangasinan,Balingasay,"Brgy. Balingasay, Bolinao, Pangasinan",9096080281,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02816-2025,GRAN CANARIA VACATION PLACE & RESTO BAR,Pangasinan,Patar,"PATAR, BOLINAO, PANGASINAN",9972795588,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02822-2025,VIDAD BAYBAY TRANSIENT HOUSE,Pangasinan,Patar,"PATAR, BOLINAO PANGASINAN",9158081362,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02823-2025,CYRAINE SEA BREEZE INN,Pangasinan,Patar,"PATAR, BOLINAO PANGASINAN",9165123351,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02824-2025,RAQUEL'S TRANSIENT HOUSE,Pangasinan,Bolinao,"Patar, Bolinao, Pangasinan",9360564173,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02825-2025,R-M BEACH RESORT,Pangasinan,Bolinao,"PATAR, BOLINAO, PANGASINAN",9540880296,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-00960-2022,ROLDAN RUEL HOMESTAY,Pangasinan,Dasol,"PUROK 3, Osmeña, Dasol, Pangasinan",09476488764 / 09613433512,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02959-2025,JO-CRIS HOMESTAY,Pangasinan,Dasol,"Purok 4, Tambobong, Dasol, Pangasinan",9457303242,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02960-2025,M.B.R. HOMESTAY,Pangasinan,Dasol,"Purok 4, Tambobong, Dasol, Pangasinan",9183555804,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-00674-2021,ALONA'S TRADITIONAL FILIPINO HOME,Pangasinan,Alaminos City,"527 Sitio Galiz, Lucap, Alaminos City, Pangasinan",9985308056,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-03012-2025,DELA CRUZ TRANSIENT HOUSE,Pangasinan,Bolinao,"PATAR, BOLINAO PANGASINAN",9286749631,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-03043-2025,1 KUROSHARA RESORT,Pangasinan,Bolinao,"Kuroshara Beach Resort, Patar Road, Barangay Patar, Bolinao, Pangasinan",9956337688,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-03044-2025,PAMELA TRANSIENT HOUSE,Pangasinan,Alaminos City,"#749 Recudo Street, Lucap,Alaminos City, Pangasinan",9304824613,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-03056-2025,BERNADETTE & BERNARD BEACH RESORT,Pangasinan,Bolinao,"PATAR, BOLINAO PANGASINAN",995-567-3248,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-00993-2022,JJAM'S TRANSIENT ROOM RENTAL,Pangasinan,Bolinao,"PATAR, BOLINAO PANGASINAN",9481949734,,"October 31, 2026"
Region 1,Homestay,DOT-R01-HMY-02267-2024,ROCK FORMATION VIEW BEACH,Pangasinan,Bolinao,"PATAR, BOLINAO, PANGASINAN",9457531114,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-01518-2023,JAVA HOTEL,Ilocos Norte,Laoag City,"General Segundo Avenue, Brgy. No. 55-B, Salet-Bulangon, Laoag City, Ilocos Norte",9175005282,https://www.javahotel.com.ph/,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-01574-2023,PLAZA DEL NORTE HOTEL AND CONVENTION CENTER (KEENERS INC.),Ilocos Norte,Laoag City,"Brgy. 41 Balacad, Laoag City, Ilocos Norte",9451309461,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-00053-2021,"THE PALACIO DE LAOAG, INC.",Ilocos Norte,Laoag City,"P. Paterno St., Bgy. No. 27, Nstra. Sra. De Soledad (Pob.), Laoag City, Ilocos Norte",(077) 772-2950 / 09175032055,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-01704-2023,ONE VITTORIA HOTEL INC,Ilocos Sur,Bantay,"National Highway, Brgy. Cabalanggan, Bantay, Ilocos Sur",09175104588/09175685481/09630004818,,"October 31, 2025"
Region 1,Hotel,DOT-R01-HTL-00001-2020,LA JENNS HOTEL & RESTO GRILL,Ilocos Sur,Bantay,"La Jenns Hotel & Resto Grill Building, National highway Buquig Bantay Ilocos sur",09771722937/09178749725,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-00042-2020,"ALOHA NUI HOTEL, EVENT CENTER, RESTAURANT & BAR",Ilocos Sur,Candon,"National Highway, Brgy. Paras, Candon City, Ilocos Sur",9369212559,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-02729-2025,HOTEL VAN GOGH,Ilocos Sur,Candon,"Heroes By-Pass Road, Bagani Camposanto, Candon City, Ilocos Sur",9773845259,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-00056-2021,NSCC PLAZA HOTEL AND CONVENTION CENTER,Ilocos Sur,Caoayan,"Don Alejandro Quirolgico (Pob.), Caoayan, Ilocos Sur",9276468214,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-02157-2024,SELAH VIE RESORT HOTEL,Ilocos Sur,San Ildefonso,"Poblacion West, San Ildefonso, Ilocos Sur",09171800030/09178749725,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-00658-2021,SANTIAGO COVE HOTEL AND RESTAURANT,Ilocos Sur,Santiago,"Sabangan, Santiago, Ilocos Sur",9263243682,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-00208-2021,HOTEL VENETO DE VIGAN,Ilocos Sur,Vigan,"Bonifacio Street, Barangay I (Pob.), Vigan City, Ilocos Sur",9175871965,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-01690-2023,LA CASA BLANCA DE VIGAN HOTEL CORPORATION,Ilocos Sur,Vigan,"Crisologo St., cor. Mabini St., Brgy. V, Vigan City, Ilocos Sur",9564402638,,"October 31, 2025"
Region 1,Hotel,DOT-R01-HTL-00036-2020,CORDILLERA INN,Ilocos Sur,Vigan,"#29 Mena Crisologo St., Brgy. I, Vigan City, Ilocos Sur",9752868363,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-00670-2021,HOTEL LAPIRA,Ilocos Sur,Vigan,"88 Burgos St., Solid West, Brgy. IV, Vigan City, Ilocos Sur",9178884202,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-01112-2022,HOTEL LUNA,Ilocos Sur,Vigan,"V Delos Reyes Cor Gen Luna St., Brgy. II, Vigan City, Ilocos Sur",9175640727,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-00663-2021,HOTEL SALCEDO DE VIGAN,Ilocos Sur,Vigan,"V. Delos Reyes Street corner Gen. Luna St., Brgy. II, Vigan City, Ilocos Sur",9178564588,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-01690-2023,LA CASA BLANCA DE VIGAN HOTEL CORPORATION,Ilocos Sur,Vigan,"Crisologo St., cor. Mabini St., Brgy. V, Vigan City, Ilocos Sur",9564402638,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-01743-2023,LE DREAM CORPORATION,Ilocos Sur,Vigan,"General Luna Street, Brgy. Tamag, Vigan City, Ilocos Norte",9569743213,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-00046-2020,NSCC HOTEL VIGAN,Ilocos Sur,Vigan,"Gov. A. Reyes St., Brgy. 1, Vigan City, Ilocos Sur",9175076402,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-00026-2020,VIGAN PLAZA HOTEL,Ilocos Sur,Vigan,"Crisologo Street, Brgy. II, Vigan City, Ilocos Sur",9177999874,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-00298-2021,HOTEL FELICIDAD,Ilocos Sur,Vigan City,"V. Delos Reyes St.,Barangay II (Pob.), Vigan City, Ilocos Sur",9178568309,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-00384-2021,HOTEL ARIANA,La Union,Bauang,NATIONAL HIGHWAY,9175200649,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-00291-2021,AWESOME HOTEL INC.,La Union,San Juan,"No.319 Eagle St. Montemar Village, Ili Norte, San Juan La Union",072-6075462 & 0917 7740612,https://www.awesomehotel.com/,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-00286-2021,CIABEL HOTEL AND FITNESS CENTER CORPORATION,La Union,San Juan,"Ciabel Hotel and Fitness Center, Panicsican San Juan, La Union",0956 961 2339,https://www.ciabelhotelandfitness.com/,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-02563-2024,NORLU CEDEC HOTEL,La Union,Rosario,"Brgy. Camp One, Rosario, La Union",09603355693 / 09499913930,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-00018-2020,VILLA ESTRELLA RESORT,La Union,Bauang,"Paringao, Bauang, La Union",9267277616,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-02282-2024,J&V HOTEL AND RESORT,La Union,San Fernando City,"Sevilla Center, Sevilla, San Fernando City, La Union",9997107412,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-00720-2022,BALAI NORTE HOTELS AND RESORTS CORPORATION,La Union,San Juan,"Mc Arthur Highway, Brgy. Panicsican, San Juan, La Union",9688784123,,"October 31, 2026"
Region 1,Hotel,DOT-R01-HTL-03010-2025,COCOCAY RESORT HOTEL AND TRAVELITE EXPRESS HOTEL,La Union,San Fernando City,"Sevilla, San Fernando City, La Union",9270444267,,"October 31, 2026"
