Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00417-2022,ADVENTURE CAMP BEACH RESORT,Occidental Mindoro,SABLAYAN,"SITIO PUNTA, ZONE 3, SABLAYAN",(+63) 9399338315/ 09953407818,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01008-2022,ALEXANDER'S GUEST HOUSE,Occidental Mindoro,SABLAYAN,"NATIONAL HIGHWAY, BRGY. BUENAVISTA, SABLAYAN",(+63) 9274442439,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01030-2022,GUSTAV'S PLACE RESORT,Occidental Mindoro,SABLAYAN,"DULO MALUNGGAY, MASIPAG STREET, BRGY. SANTO NIÑO, SABLAYAN",(+63) 9654308797 | (+63) 9632029649,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02591-2024,THE LANDMANZ HOTEL & RESTAURANT,Occidental Mindoro,SABLAYAN,"ARELLANO STREET, BRGY. BUENAVISTA, SABLAYAN,",(+63) 9669758429,,"October 31, 2025"
Region 4B,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R4B-AGT-00696-2022,DANIZON FARMS,Occidental Mindoro,SABLAYAN,"SITIO INAGBAAN, BRGY. POBLACION (LUMANGBAYAN), SABLAYAN",(+63) 9682204191,,"March 21, 2027"
Region 4B,Travel and Tour Agency,DOT-R4B-TTA-01931-2024,MPDR TRAVEL AND TOURS,Occidental Mindoro,SABLAYAN,"NATIONAL HIGHWAY CORNER PAPA ST. BRGY. BUENAVISTA, SABLAYAN",(+63) 916 982 9004 / (+63) 926 511 4115,,"June 30, 2026"
Region 4B,Travel and Tour Agency,DOT-R4B-TTA-00616-2022,VAKAZ TRAVEL AND TOURS,Occidental Mindoro,SABLAYAN,"GRAND TERMINAL, BRGY. POBLACION (LUMANGBAYAN), SABLAYAN",(+63) 915 052 4088,,"June 30, 2026"
Region 4B,Restaurant,DOT-R4B-RST-02538-2024,IAN JOLE CAMALIG RESTAURANT AND CATERING SERVICES,Occidental Mindoro,SABLAYAN,"SALVO STREET, BRGY. BUENAVISTA, SABLAYAN",(+63) 9269904573,,"December 17, 2025"
Region 4B,Restaurant,DOT-R4B-RST-00488-2022,MYLITS RESTO BAR,Occidental Mindoro,SABLAYAN,"804 GOZAR ST, BARANGAY BUENAVISTA, SABLAYAN",(+63) 9988525177,,"November 28, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01888-2024,288 HOTEL,Occidental Mindoro,SAN JOSE,"DAGOHOY STREET BRGY. 5, SAN JOSE",(+63) 909 549 3946 / (+63) 961 946 2604,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01434-2023,AROMA FAMILY HOTEL AND RESORT COMPLEX,Occidental Mindoro,SAN JOSE,"AIRPORT ROAD BRGY. SAN ROQUE, SAN JOSE",(+63) 9985362726,https://aromafamilyhotel.com,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00832-2022,G. STAR HOTEL AND RESTAURANT,Occidental Mindoro,SAN JOSE,"LIBORO STREET, BARANGAY POBLACION, SAN JOSE","9,384,206,839",,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01925-2024,HOTEL OLIVER,Occidental Mindoro,SAN JOSE,"NATIONAL HIGHWAY, BRGY. BUBOG, SAN JOSE",(+63) 9653488100,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01935-2024,ROYALE HARBOUR INN,Occidental Mindoro,SAN JOSE,"BARANGAY CAMINAWIT, SAN JOSE",(+63) 9653856939,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00929-2022,SEASONS MANAGEMENT CORPORATION,Occidental Mindoro,SAN JOSE,"BARANGAY SAN ROQUE, SAN JOSE",(+63) 9156852585,https://sanjose.seasonshotelmindoro.com/,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-RES-00983-2022,GRAND CREEK HOTEL AND RESORT MANAGEMENT CORPORATION,Occidental Mindoro,STA. CRUZ,"DAGOHOY STREET BRGY. 5, SANTA CRUZ",(+63) 9602114411,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00743-2022,FARMER’S PLACE HOTEL & RESTAURANT,Occidental Mindoro,STA. CRUZ,"NATIONAL ROAD, BRGY. MULAWIN, SANTA CRUZ",(+63) 9158013476,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02536-2024,JOPATS RESORT,Oriental Mindoro,BONGABONG,"SITIO BATUHAN, BRGY. POBLACION, BONGABONG",(+63) 9999912446,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00369-2022,BULALACAO RESTAURANT HOTEL AND COMMERCIAL CENTER,Oriental Mindoro,BULALACAO,"ZONE 1, BRGY. CAMPAASAN (POB.), BULALACAO",(+63) 9778058798,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02430-2024,EMZ BAYVIEW MOUNTAIN RESORT,Oriental Mindoro,BULALACAO,"SITIO DACUTAN, BRGY. BALATASAN, BULALACAO",(+63) 9285048629,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00212-2022,FESTIN PARADISE RESORT,Oriental Mindoro,BULALACAO,"SITIO CALUNACON, BRGY. MILAGROSA (GUIOB), BULALACAO",(+63) 9178560379,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00939-2022,ANAHAW ISLAND VIEW RESORT,Oriental Mindoro,CALAPAN,"BRGY. BALITE, CALAPAN CITY",(043) 2888982,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02865-2025,BLUEHARBOR HOTEL,Oriental Mindoro,CALAPAN,"SITIO CROSSING, BRGY. SAN ANTONIO, CALAPAN CITY",748-5246 / (+63) 9055140246,https://theblueharborhotel.com,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00136-2022,CALAPAN BAY HOTEL (LEYCANO-BOONGALING FAMILY CORPORATION),Oriental Mindoro,CALAPAN,"BRGY. SALONG, CALAPAN CITY",(+63) 9204776167,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00868-2022,EDUARDO’S RESORT CORPORATION,Oriental Mindoro,CALAPAN,"NAUTICAL HIGHWAY, BRGY. BAYANAN II, CALAPAN CITY",(+63) 9215074378,http://www.eduardosresort.com/,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00713-2022,FERAREN HILLS RESORT,Oriental Mindoro,CALAPAN,"FERAREN HILLS ST., NAUTICAL HIGHWAY, BRGY. LUMANG BAYAN, CALAPAN",043-2887829,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01189-2023,FILIPINIANA RESORTS DEVELOPMENT CORPORATION,Oriental Mindoro,CALAPAN,"FILIPINIANA COMPLEX, M. ROXAS DRIVE, BRGY. STO. NIÑO, CALAPAN CITY",(+63) 9173928712,https://www.facebook.com/filipinianahotel,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00903-2022,NIKITA’S PLACE,Oriental Mindoro,CALAPAN,"348 NATIONAL ROAD, TAWIRAN, CALAPAN CITY",(+63) 916 620 6586,https://www.nikitasplacehotel.com/,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00081-2021,NUTRITECH HOTEL & EVENTS,Oriental Mindoro,CALAPAN,"NUTRITECH BLDG. M. ROXAS DR., SITIO CALAWANG, BRGY. LUMANG BAYAN",(+63) 9175012127,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00643-2022,PARANG BEACH RESORT,Oriental Mindoro,CALAPAN,"PARANG, BRGY. PARANG, CALAPAN CITY",(+63) 9209695983 / (+63) 9656276576,https://www.parangbeachresort.com,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00628-2022,VENCIO`S GARDEN HOTEL AND RESTAURANT,Oriental Mindoro,CALAPAN,"# 8 JP RIZAL STREET, NAUTICAL HIGHWAY, TAWIRAN, CALAPAN CITY",(+63) 9189572855 / 2887789,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00505-2022,CZEASCAPE BEACH RESORT,Oriental Mindoro,CALAPAN,"LEUTERIO STREET, BRGY. PACHOCA, CALAPAN CITY",(+63) 9957788554,http://www.huanyinghotel.ph,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00956-2022,HUANYING HOTEL,Oriental Mindoro,CALAPAN,"48 JUAN LUNA ST., BRGY. SAN VICENTE CENTRAL (POB.), CALAPAN CITY",(+63) 09452697513,http://www.huanyinghotel.ph,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01011-2022,TREE OF LIFE BUSINESS CENTER,Oriental Mindoro,CALAPAN,"M. ROXAS DRIVE NAUTICAL HI-WAY, BRGY. SALONG, CALAPAN CITY",(+63) 9324680760 | (043)4410194,https://treeoflifehotel.github.io,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00520-2022,RICELAND INN II,Oriental Mindoro,CALAPAN,"M.H. DEL PILAR STREET, BRGY. SANTO NIÑO, CALAPAN CITY",(+63) 9474209986,,"October 31, 2025"
Region 4B,Tour Operator,DOT-R4B-TOP-00423-2022,8N8 TRAVEL AND SOUVENIRS,Oriental Mindoro,CALAPAN,"GOVERNOR MORENTE STREET, SAN VICENTE SOUTH, CALAPAN CITY",(+63) 9178159829,,"June 30, 2026"
Region 4B,Tour Operator,DOT-R4B-TOP-01157-2023,AMIGA GRACIA TRAVEL SERVICES,Oriental Mindoro,CALAPAN,"BLK. 6 SANTA MARIA VILLAGE, CALAPAN CITY",(+63) 9669263802,,"June 30, 2026"
Region 4B,Travel and Tour Agency,DOT-R4B-TTA-00491-2022,GL PELLAS TRAVEL AND BUSINESS CONSULTANCY,Oriental Mindoro,CALAPAN,"UNIT 1 CALAPAN TOWN CENTER, J.P. RIZAL ST., BRGY. CAMILMIL, CALAPAN CITY",(+63) 9239706689,,"June 30, 2026"
Region 4B,Travel and Tour Agency,DOT-R4B-TTA-00678-2022,NDM TRAVEL AND TOURS,Oriental Mindoro,CALAPAN,"GSP ARCADE, GOV.IGNACIO ST. CAMILMIL, BRGY. CAMILMIL, CALAPAN CITY",(043) 351 1243,,"June 30, 2026"
Region 4B,Travel and Tour Agency,DOT-R4B-TTA-00391-2022,RUNAWAY TRAVEL AND TOURS,Oriental Mindoro,CALAPAN,"M.ROXAS DRIVE, STO NIÑO, CALAPAN CITY",(+63) 919 836 8380 | (+63) 917 798 1921,,"June 30, 2026"
Region 4B,Restaurant,DOT-R4B-RST-02912-2025,BASHIRU JAPANESE RESTAURANT,Oriental Mindoro,CALAPAN,"JABT2 BLDG. J.P RIZAL ST., BRGY. LALUD, CALAPAN CITY",(+63) 9283717966,,"April 28, 2026"
Region 4B,Restaurant,DOT-R4B-RST-02920-2025,THELA CAFÉ,Oriental Mindoro,CALAPAN,"REYES BUILDING UNIT 1A, ATIS ST., BRGY. LALUD, CALAPAN CITY",(+63) 9178774127,,"April 28, 2026"
Region 4B,Tourism Recreation Center,DOT-R4B-SRC-02556-2024,JOLLY WAVES WATERPARK & RESORT,Oriental Mindoro,CALAPAN,"LOT 994, BRGY. SAPUL, CALAPAN CITY",(+63) 917 123 2710 | (043) 288 7993,,"December 17, 2025"
Region 4B,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R4B-FTC-02973-2025,MARY HELP OF CHRISTIANS SCHOOL (MINDORO) INC.,Oriental Mindoro,CALAPAN,"BRGY. PARANG, CALAPAN CITY",(+63) 9951716431,,"June 23, 2027"
Region 4B,Travel and Tour Agency,DOT-R4B-TTA-00332-2022,R AND A TRAVEL AND TOURS,Oriental Mindoro,NAUJAN,"DAHLIA STREET, BRGY. TIGKAN, NAUJAN",(+63) 9051892985,,"June 30, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00428-2022,ADH (ARNULFO D. HELERA) DEVELOPMENT GROUP INC.,Oriental Mindoro,PINAMALAYAN,"QUEZON STREET, BRGY. ZONE III (POB.), PINAMALAYAN",(+63) 9674082726,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02323-2024,LOLA ANING’S HOMESTAY,Oriental Mindoro,PINAMALAYAN,"ZONE 1 SITIO PARAISO, PINAMALAYAN",(+63) 9175785248,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01096-2022,BLOOMING RAINBOW INN,Oriental Mindoro,PINAMALAYAN,"MADRID BLVD, BRGY. ZONE II (POB.), PINAMALAYAN",(+63) 9177787390,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01278-2023,RHG HOTEL,Oriental Mindoro,PINAMALAYAN,"RHG HOTEL NAUTICAL HIGHWAY, PINAMALAYAN",(+63) 916 308 0320,,"October 31, 2025"
Region 4B,Restaurant,DOT-R4B-RST-02449-2024,KAPAYEFILIPINAS REST0 & COFFE HOUSE,Oriental Mindoro,PINAMALAYAN,"PB-RF BLDG, BALDOS ST., BRGY. MARFRANCISCO, PINAMALAYAN",(+63) 9952001960,,"November 18, 2025"
Region 4B,Resort,DOT-R4B-RES-00964-2022,"ATLANTIS RESORT MANAGEMENT, INC.",Oriental Mindoro,PUERTO GALERA,"SABANG BEACH, BRGY. SABANG, PUERTO GALERA",(+63) 9175180813,,"October 31, 2026"
Region 4B,Resort,DOT-R4B-RES-00745-2022,"EL GALLEON BEACH RESORT AND DIVE CAMP, INC",Oriental Mindoro,PUERTO GALERA,"SMAL LALAGUNA, BRGY. SABANG, PUERTO GALERA",(+63) 9178145107,https://asiadivers.com/,"October 31, 2026"
Region 4B,Resort,DOT-R4B-RES-00683-2022,LALAGUNA VILLAS,Oriental Mindoro,PUERTO GALERA,"SMAL LALAGUNA, BRGY. SABANG, PUERTO GALERA",(+63) 9175703415,https://lalagunavillas.com,"October 31, 2026"
Region 4B,Resort,DOT-R4B-RES-00863-2022,MC ROMS CHR CORPORATION – MERMAID RESORT,Oriental Mindoro,PUERTO GALERA,"SABANG, BRGY. SABANG, PUERTO GALERA",(+63) 9175538320,info@mermaidresort.com,"October 31, 2026"
Region 4B,Resort,DOT-R4B-RES-01582-2023,"PUERTO’S FINEST, INC. (GARDEN OF EDEN DIVE RESORT)",Oriental Mindoro,PUERTO GALERA,"SABANG BEACH, BRGY. SABANG, PUERTO GALERA",(+63) 9175083565,,"October 31, 2026"
Region 4B,Resort,DOT-R4B-RES-00882-2022,SUNSET AT ANINUAN CORP.,Oriental Mindoro,PUERTO GALERA,"ANINUAN ROAD, BRGY. ANINUAN, PUERTO GALERA",(+63) 920 931 8924,,"October 31, 2026"
Region 4B,Resort,DOT-R4B-RES-00721-2022,TALIPANAN INFINITY PARADISE RESORT INC.,Oriental Mindoro,PUERTO GALERA,"SITIO TALIPANAN, PUERTO GALERA",(+63) 917 792 6353,,DOT-R4B-RES-00721-2022
Region 4B,Resort,DOT-R4B-RES-00695-2022,TRINITY J316 INC. doing business under the name and style of ANGELYN'S,Oriental Mindoro,PUERTO GALERA,"SITIO KANLURAN, BRGY. SABANG, PUERTO GALERA",(+63) 9176550679,https://angelynsdiveresort.com/,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00682-2022,AGASI HOTELS SEASHORE BEACH RESORT INC.,Oriental Mindoro,PUERTO GALERA,"SABANG BEACH, BRGY. SABANG, PUERTO GALERA",(+63) 9173928839,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02914-2025,ANINUAN VILLA CORPORATION (AV SUITES),Oriental Mindoro,PUERTO GALERA,"SITIO TALIPANAN, BRGY. ANINUAN, PUERTO GALERA",(+63) 9171756236,https://www.avsuites.com/,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01396-2023,ARKIPELAGO BEACH RESORT,Oriental Mindoro,PUERTO GALERA,"SMALL LA LAGUNA, BRGY. SABANG, PUERTO GALERA",(+63) 9974950257,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00772-2022,AURA RESORT CORPORATION,Oriental Mindoro,PUERTO GALERA,"SMALL LA LAGUNA, BRGY. SABANG, PUERTO GALERA",(+63) 9178314068,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00584-2022,BADLADZ BEACH RESORT,Oriental Mindoro,PUERTO GALERA,"SMALL TABINAY, PUERTO GALERA",(+63) 9399148819,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00780-2022,BAMBOO HOUSE BEACH LODGE & RESTAURANT,Oriental Mindoro,PUERTO GALERA,"SITIO TALIPANAN, BRGY. ANINUAN, PUERTO GALERA",(+63) 9175620992,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01890-2024,BLUE CRYSTAL BEACH RESORT,Oriental Mindoro,PUERTO GALERA,"SITIO IBABA, BRGY. PALANGAN, PUERTO GALERA",(+63) 9152236067,,DOT-R4B-MAB-01890-2024
