Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality/City,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 11,Hotel,DOT-R11-HTL-00625-2023,Dusit D2 Davao,-,Davao City,"Stella Hizon Reyes Drive, Brgy. Pampanga, Davao City",0906 5876506,"leah.puyod@dusit.com,",10/31/2026
,,,,,,,,arvinian.itao@dusit.com,
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01200-2024,Traveler's Inn - Bajada,-,Davao City,"Km 4 JP Laurel Ave., Buhangin, Davao City",0970 8832512,travelersinnbajada21@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00100-2021,Traveler's Inn - Matina,-,Davao City,"Km 5 Guadalupe Village, Brgy Matina Crossing, Davao City",0917 7292255,travelersinnmatina@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00119-2021,Orchard Hotel,-,Davao City,"In front of DCWD, J. P. Laurel Ave., Bajada, Brgy. Wilfredo Aquino, Agdao, Davao City",0917 3128848,orchardhotelbajadawilfredo@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00325-2022,The Strand Suites And Dormitel,-,Davao City,"#4 Road 2 Doña Vicenta, Bajada, Davao City",(082) 233-6781,thestranddavaocity@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00653-2023,Crown Regency Residences Davao,-,Davao City,"J.P. Cabaguio Avenue, Brgy. Wilfredo Aquino, Agdao District, Davao City",(082) 291-2100,elezabeth.amor@jking.com.ph,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01234-2024,Big Ben Baptee Corp.,-,Davao City,"Lacson St., Brgy 20-B (Pob.), Davao City",0925 3055050,bbaptee@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01162-2024,Twin Mountain View Resort,Davao del Sur,Bansalan,"Purok Mercury, Sitio Balutakay, Brgy Managa, Bansalan, Davao del Sur",0963 4017246,twinmountainviewresort@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01119-2024,Isla Reta Beach Resort,Davao del Norte,IGACOS,"Brgy Sta. Cruz, Talikud Island, IGACOS, Davao Del Norte",09989916690/ 09282141487/ 09952130942,marioreta61@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00486-2022,La Anclar Hotel,-,Davao City,"Bonifacio Street La Anclar Building, Brgy 34D, Davao City",0927 5228953,lahincbon@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01242-2024,Amaya Waterfront Villa,Davao Oriental,Mati City,"Purok 2, Brgy. Lanca, Mati City, Davao Oriental",0908 8803870,mayasalazargo@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00024-2020,Jade Dragon Suites,-,Davao City,"Aurora-Quezon Sts, Barangay 32D, Davao City",(082) 2241391,jadedragonsuites@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01249-2024,Oh George Inn,-,Davao City,"OG Bldg., Ecoland Drive, Brgy Bucana, Talomo, Davao City",0919 0657426,mandatoryreports777@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01251-2024,MKI Inn,-,Davao City,"Mc Arthur Highway, Brgy Matina Crossing, Davao City",0929 5289022,moverprime@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01253-2024,Jazzy James Country Hotel,-,Davao City,"Lacson St., Brgy 18-B (Pob.), Davao City",0956 2981193,saniswitz@yahoo.com.ph,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00306-2022,Top Star Hotel,Davao del Norte,Tagum City,"Sobrecarey St., Brgy Magugpo South, Tagum City, Davao del Norte",0938 3185514,reservations.topstartagum@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01257-2024,Oh George Inn,-,Davao City,"Near Airport Runway, Mamay Bypass Road, Buhangin, Alfonso Angliongto Sr., Davao City",0919 0657426,purchasing@syslab.ph,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01127-2024,KST-MPC Function and Dormitel,Davao del Norte,Sto Tomas,"Cadena De Amor St., Purok 8, FD Road 3, Brgy Tibal-og, Sto Tomas, Davao del Norte",0943 1370824,kst_200963@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00075-2021,Roadway Inn,-,Davao City,"L&R Bldg., Km 4 JP Laurel Ave., Bajada, Davao City",(082) 2219000,roadwayinndavao@yahoo.com.ph,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01269-2024,Villa Carmelita Inland Resort and Hotel,-,Davao City,"Purok 20 McArthur Highway, Toril, Davao City",(082) 322 0553/ 286 1726,villacarmelita_hotel@yahoo.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00282-2021,Davao Airport View Hotel,-,Davao City,"Purok 9, C.P. GArcia highway, Davao Airport View Commercial Complex, Brgy Communal, Davao City",0933 869 3046,abs.davhotelinc@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00220-2021,Molave Hotel,Davao del Norte,Tagum City,"033 Purok Calachuchi, Brgy Magugpo Poblacion, Tagum City, Davao del Norte",0906-864-5245,molavehotelcorp@yahoo.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01273-2024,Courtside Princess Inn,-,Davao City,"J.P Cabaguio Avenue, Brgy. Wilfredo Aquino, Davao City",0916 1107431,courtside.princessinn@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01274-2024,Drive Park Inn,-,Davao City,"Shanghai Village, Brgy Matina Aplaya, Davao City",0919 5855333,driveparkinn@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01041-2024,Napsule Suites,-,Davao City,3F Espino Building Jp Laurel Ave. Bajada Davao City,0917 7180046,napsulesuites@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00125-2021,Amaranta Suites,-,Davao City,"General Luna, A. Drive, Gahol St., Bajada, Davao City",0917 7101233,amarantasuites65@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00286-2021,Humberto's Hotel,-,Davao City,311 Jose Palma Gil St. corner Padre Gomez St. Davao City,0922 8800694,humbertosdavao@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01280-2024,Espacio de Clarita Hometel,-,Davao City,"RCFI Bldg Fronting Shell Gasoline Station, Agton St., Brgy Toril (Pob.), Davao City",0939 2992275,ave_pena@yahoo.com.ph,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00270-2021,D' Garden Inn,-,Davao City,"Km.11 Mc Arthur Highway, Brgy Bago Aplaya, Davao City",(082) 285-7907,dgardeninn@yahoo.com.ph,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00447-2022,Park Avenue Residence Inn & Suites,-,Davao City,"Rnc Bldg. 3 Park Avenue Cor. J. P . Laurel Ave., Bajada, Davao City",09239139975 / 315-2331,paris.davao@yahoo.com.ph,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01018-2024,Wind and Waves Beach Resort,Davao Oriental,Mati City,"Purok Kumintang Bangonay, Brgy Bobon, Mati City, Davao Oriental",0922 8411370,sbpaquibot@yahoo.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00720-2023,Cozy Quartelle Rooms & Suites,Davao de Oro,Nabunturan,"P-5 Landundal ST. Poblacion, Nabunturan Davao de Oro",0912-508-881/0948-807-5551,ceciliamesiona1970@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00187-2021,Oh George Inn,-,Davao City,"Brgy 10-A San Rafael Village, Maa, Davao City",0919 065 7426,a1albcorp@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01298-2024,Hop Inn,-,Davao City,"Hop Inn Building, 341 Lot 1175, C1-C3, J.P Laurel Avenue, Bajada, Davao City",082 241 7600,hm.davaocity@hopinnhotel.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01302-2024,Sorlinda's Inland Resort,Davao del Norte,IGACOS,"Sitio Pasig, Brgy Peñaplata (Pob.), Island Garden City of Samal, Davao del Norte",0939 9296221,sorlindainlandresort@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00741-2023,Rainbow Breeze Beach Resort,Davao del Norte,IGACOS,"Purok 1 Barangay Caliclic Babak District, Island Garden City of Samal, Davao Del Norte",09472204736 / 09105889496,rbbrsamal@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00379-2022,Jardin De Ysabelle Eco Park,Davao del Norte,IGACOS,"Purok 6 Tagluno Brgy. Tagbitan-Ag, Island Garden City of Samal, Davao del Norte",0967 4089302,jardindeysabelle@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00005-2020,Eco Green Boutique Hotel,-,Davao City,"Terminal Exit Road, Candelaria St. Ecoland Brgy. Bucana Talomo District Davao City",0917 7050833,ecogreenboutiquehotel0430@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00264-2021,D' Counter Executive Inn and Restaurant,-,Davao City,"15-B J. Camus St., Davao City",0918 9221922,cynthliston@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00018-2020,"The Big House, A Heritage Home",-,Davao City,12 Juna Avenue Matina Davao City,"(082) 285-7665, 09175000543",thebighouse.davao@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01037-2024,We R Inn,-,Davao City,"Door 8 Central Plaza 1 Bldg, Brgy 12-B, Davao City",0922 8418102,we_r_inn@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00590-2023,Central District Hotel,-,Davao City,"C.M Recto corner Palma Gil, Davao City","(082) 228-1842, 09226642035",centraldistricthotel@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00728-2023,Sequioa Inn,-,Davao City,"72-74 T. Monteverde St., Barangay 27-C (Pob.), Davao City",(082) 227-8238,bbysteff@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00409-2022,VBH Inn,-,Davao City,VBH Inn Bldg. W. Aquino St. Brgy. Kapitan Tomas Monteverde Sr. Agdao Davao City,0948 4792438,vbhinn@yahoo.com.ph,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01318-2024,Dahican Beach Resort,Davao Oriental,Mati City,"Purok Maribojoc, Brgy Dahican, Mati City, Davao Oriental",0935 5326391,janettetuble06@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00560-2023,Nacyl-v Transient House,-,Davao City,"Purok-1 Mambago-B Babak District, Island garden City of Samal, Davao del Norte",0946 4565320,nacylvalera@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01051-2024,DGLM Inland Leisure Center,Davao del Norte,Tagum City,"Purok Maharlika, Brgy. Cuambogan, Tagum City, Davao del Norte",0917 7916034,dglmilc@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00240-2021,RedDoorz - 100 Roxas Avenue,-,Davao City,"Ground Floor LCI Bldg. II, 100 Roxas Avenue, Brgy. 32-D Pob., Davao City",(082) 2971926,cegaviola@lciproperty.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00640-2023,MGL Resthouse and Foodhouse,-,Davao City,"Lote Riverside, Zone 2, Sta Cruz, Davao del Sur",0929 4472789,2216mercydominice@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00360-2022,Jotel Inn,-,Davao City,434 E. Quirino Avenue,(082) 287 5558,jotelhotelinnovcorp@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01015-2024,Cris Inn Tagum,Davo del Norte,Tagum City,"Prk. Malinawon, Apokon Road, Brgy. Magugpo North, Tagum City, Davao del Norte",0967 1841642,crisinn97@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00247-2021,Elles Pension House,-,Davao City,"A & J Bldg. cor. Gen. Luna St. and Mt Apo St., Brgy 7-A Pob., Davao City",(082) 221 8499,laurentemarygrace12@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00724-2023,The Anisabel Suites Inc.,-,Davao City,"88 FS Dizon Road, Rolling Hills, Bajada, Brgy. 19-B (Pob.), Davao City",0915 6266475,anisabelsuites@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01338-2024,Ruemango Apartelle and Suites,-,Davao City,"516 Manga St., Juna Subd., Brgy. Matina Crossing, Davao City","(082)295-7180, 295-7175, 392-1626",ruemangoapartelleandsuites@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00009-2020,Sumo Asia Hotel,-,Davao City,"Mamay Road, Brgy. Alfonso Angliongto Sr., Davao City",(082) 322 4236,sumoasiareservation@yahoo.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00258-2021,Sun My Hotel Corporation,-,Davao City,"888 Building Davao ave cor. Vinzon St., Brgy 15-B (Pob.), Davao City",0927 5052388,executive.sunmyhotel@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01341-2024,South Point Beach House,Davao Oriental,Mati City,"Purok 1 Biao, Brgy. Langka, Mati City, Davao Oriental",0917 3236547,southpoint123beachhouse@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01343-2024,Altavista Beach Resort,Davao del Norte,IGACOS,"Purok 1 Brgy Caliclic, Island Garden City of Samal, Davao del Norte",0919 7440662,altavistasamal@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01141-2024,Jack's In The Sky Mountain Resort,-,Davao City,"Purok 34 Sitio Pamuhatan, Marilog, Davao City",082 297 8830,rosannacastin@yahoo.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00344-2022,Nath Fen Suites Inc,-,Davao City,"Pisces St., Doña Luisa Subd. Phase 2, Brgy Bucana, Davao City",0998 8669163 / 285-8274,nfsuites@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00237-2021,Pacific Palm Suites,-,Davao City,"48 Mamay Road, Diamond Village, Lanang, Brgy Alfonso Angliongto Sr., Davao City",0917 8727770,pacificpalmsuites@yahoo.com.ph,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01347-2024,Aundanao Oasis Beach,Davao del Norte,IGACOS,"Prk 1A Sitio Tinangisan, Brgy. Aundanao, Island Garden City of Samal, Davao del Norte",0965 2976326,aobr2023@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-RES-00050-2021,Canibad Secret Paradise,Davao del Norte,IGACOS,"Brgy Aundanao, Island Garden City of Samal, Davao del Norte",0906 3077878,samalcanibadsecretparadise@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00623-2023,Cris Inn,Davao del Norte,IGACOS,"Purok 4-A, Brgy. Peñaplata, Island Garden City of Samal, Davao del Norte",0949 8490906,dccs_inc@yahoo.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01351-2024,Coolstay Resort,-,Davao City,"Purok 9, Brgy Los Amigos, Tugbok District, Davao City",0977 6669170,mitchasa09@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00750-2023,"Haven's Dew Resort, OPC",Davao del Sur,Bansalan,"Purok Neptune, Brgy. Managa, Bansalan, Davao del Sur",0917 1554758,havensdewresort@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01355-2024,LYR Beach Resort Corporation,Davao del Norte,IGACOS,"Purok 4- Hagnaya, Brgy. Adecor, Kaputian District, Island Garden City of Samal, Davao del Norte",0906 0534985,almejaazul01@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01357-2024,Tinhat Company,-,Davao City,"407-B Artiaga St., Brgy 36-D Poblacion District, Davao City",(082) 227-9392,tinhatreservation@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00016-2020,The Lucky 9 Budget Inn,Davao del Norte,Tagum City,"Purok Mencidor,Briz District, Brgy. Magugpo East, Tagum City, Davao del Norte",0942 0823462,lucky9budgethotel@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00079-2021,Golden Palace Hotel Corporation,Davao del Norte,Tagum City,"Circumferential Road, La Filipina, Tagum City, Davao del Norte",0929 639970,chardloi88@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00570-2023,Kojo Hotel and Suites Inc.,Davao del Norte,Tagum City,"Garcia St. corner Bonifacio and Sobrecarey, Brgy. Magugpo Poblacion, Tagum City, Davao del Norte",0916 6108439,hr.kojohotels@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00230-2021,Hotel Cabaguio,-,Davao City,"JP Cabaguio Ave., Brgy. Agdao, Davao City",0917 1667475,wency.moreno@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00459-2022,RLG Swimming Pool,-,Davao City,"San Vicente, Daliao, Toril, Davao City",0938 9192673,rlgpool21@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00051-2021,La Vida Hostel,Davao del Norte,IGACOS,"P-6, Brgy. Catagman, Island Garden City of Samal, Davao del Norte",0917 7700330,lavidasamal@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00101-2021,Midori Inn,-,Davao City,"Jose Abad Santos St., Davao City",(082) 233-4557,infomidoriinn@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00091-2021,Casa Leticia Business Inn,-,Davao City,"Maya St., Ecoland, Brgy. Bucana, Talomo District, Davao City",(082) 296-05-01,rldi.inc.dvo@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00503-2022,BS Inn,-,Davao City,"Gempesaw St., corner Monteverde St., Brgy 27-C, Davao City",(082) 221-3980,bsinn2004@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00686-2023,Grand8 Guesthouse,Davao del Norte,IGACOS,"Purok 3 Upper Caliclic, Brgy. Limao, Island Garden City of Samal, Davao del Norte",0915 0070945,mimimeldz888@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00031-2020,Domicilio Lorenzo,-,Davao City,"113 Camia St., Juna Subd., Davao City",0917 8561834,domicilio.lorenzo@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01380-2024,Orange Grove Hotel,-,Davao City,"123 Crossing Buhangin, Davao City",0922 8941003,groveorange26@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00532-2022,Oceano Con Vista Highland Events Place Rental,Davao del Norte,IGACOS,"Purok 5 Kimoko, Barangay Aumbay, Island Garden City of Samal, Davao del Norte",0926 1134714,oceanoconvista@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00726-2023,Hotel Sogo,-,Davao City,"Km 4, JP Laurel Ave., Brgy. Buhangin (Pob.), Davao City",0968 5354157,s45.cpms@hotelsogo.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01386-2024,Lumbayan Beach Resort,Davao del Sur,Hagonoy,"Purok 7, Balutakay Hagonoy Davao Del Sur",0947 8930919,amlumbayanagribusiness@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01389-2024,VIlla Viva Belgica,-,Davao City,"Luzviminda Village, 226 Hyacinth St., Brgy. Ma-a, Davao City",(082)-3224645 / 09062534601,vvbelgica@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00013-2020,Asrodel Hotel,-,Davao City,"78 Artiaga St., Davao City","(082) 228 5746, 0933 825 6879",asrodelhotel@yahoo.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01392-2024,Inside Room Inn,Davao del Norte,Tagum City,"Pioneer Avenue, Brgy. Magugpo Poblacion, Tagum City",0922 8625339,innsideroom@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01393-2024,Casa Leticia Boutique Hotel,-,Davao City,"J. Camus St., Brgy 4-A, Davao City",(082) 224-0501,rvi.inc.dvo@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00039-2020,Davao Obrero Suites,-,Davao City,"70 Palma Gil Street, Barrio Obrero, Davao City",0905 4472810,obrerosuites@gmail.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00341-2022,Optimum Inn,-,Davao City,"South Villa Heights 2 , Brgy. Catalunan Grande, Davao City",0917 1043980,mrnbordios@yahoo.com,10/31/2025
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01038-2024,Magooz Homestay,Davao del Norte,IGACOS,"Purok 2, Brgy. Caliclic (Dangca-an), Babak, Island Garden City of Samal, Davao del Norte",0956 758 2097,magoozpinquiry@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-00180-2021,La-Florenda Beach Resort,Davao del Norte,IGACOS,"Purok 4, Brgy. Catagman, Island Garden City of Samal, Davao del Norte",0928 7718956,norheenheramil@gmail.com,10/31/2026
Region 11,Mabuhay Accommodation,DOT-R11-MAB-01401-2025,PCHH Homestay,Davao del Norte,IGACOS,"Purok 1-A, Sitio Tinangisan, Brgy. Aundanao, Island Garden City of Samal, Davao del Norte",0905 8189492,pcholidayhome@gmail.com,10/31/2025
