Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 7,Hotel,DOT-R07-HTL-02042-2023,Belmont Hotel Mactan,Cebu,Lapu-lapu City,"The Mactan Newtown, Newtwon Blvd., Brgy. Mactan, Lapu-lapu City",(032) 520-4100,http://www.belmontmactan.com.ph,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-02035-2023,Crimson Resort and Spa Mactan,Cebu,Lapu-lapu City,"Seascapes Resort Town, Brgy. Mactan, Lapu-lapu City",(032) 401-9999,http://www.crimsonhotel.com/mactan,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-00875-2021,Crown Regency Hotel,Cebu,Lapu-lapu City,"Purok Balanghoy, Brgy. Gun-ob, Lapu-lapu City",(032) 255-7878,https://www.crownregency.com/en/content/hotel/crown-regency-suites-amp-residences,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-00510-2021,Eloisa Royal Suites,Cebu,Lapu-lapu City,"M.V. Patalinghug Jr. Avenue, Brgy. Basak, Lapu-lapu City",0917-6217345,https://www.eloisaroyalsuites.com,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-01006-2021,Goldberry Suites and Hotel - Mactan,Cebu,Lapu-lapu City,"ML Quezon Nat'l Highway, Brgy. Pusok, Lapu-lapu City",(032) 239-0000,http://www.mactan.goldberrysuites.com,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-01944-2023,Movenpick Hotel Mactan Island Cebu,Cebu,Lapu-lapu City,"Brgy. Punta Engaño, Lapu-Lapu City",0919-0761625,,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-02025-2023,Savoy Hotel Mactan Newtown,Cebu,Lapu-lapu City,"The Mactan Newtown, Newtwon Blvd., Brgy. Mactan, Lapu-lapu City",(032) 494-4000,https://www.savoyhotelmactan.com.ph,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-01472-2022,The Bellavista Hotel Cebu,Cebu,Lapu-lapu City,"M.L. Quezon Highway, Brgy. Pusok, Lapu-lapu City",(032) 340-7821,http://www.thebellavistahotel.com,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00021-2021,Maayo Hotel,Cebu,Mandaue City,"Plaridel St., Brgy. Alang-Alang, Mandaue City, Cebu",(032) 517-0200 / 0995-1418036,http://www.maayohotels.com,"October 31, 2027"
Region 7,Hotel,DOT-R07-HTL-00511-2021,Alpa City Suites,Cebu,Mandaue City,"Hernan Cortes corner F. Cabahug Street, Brgy. Subangdaku, Mandaue City",(032) 268-2247,-,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-00166-2021,Andy Hotel,Cebu,Mandaue City,"A.S. Fortuna, Guizo, Mandaue City, Cebu",(032) 520-9988 / (032) 520-6688,-,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-00167-2021,bai Hotel Cebu,Cebu,Mandaue City,"Ouano Avenue cor. Seno Blvd. CSSEAZ, Brgy. Tipolo, Mandaue City, Cebu",(032) 342-8888 / (032) 355-8888,https://www.baihotels.com/,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-00913-2021,Dohera Hotel,Cebu,Mandaue City,"A.C. Cortes Avenue, Brgy. Ibabao-Estancia, Mandaue City, Cebu",(032) 520-9380-83,-,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00064-2021,Hotel Dulcee,Cebu,Naga City,"Brgy. Colon, Naga City, Cebu",0917-6263128,https://hotel-dulcee.webnode.co.uk/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-03148-2024,One Tectona Hotel,Cebu,Liloan,"The Woodland Resort, Brgy. Yati, Liloan, Cebu",(032) 494-7605,https://onetectonahotel.com/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00935-2021,St. Catherine Boutique Hotel and Restaurant,Cebu,Sibonga,"Brgy. Lindogon, Sibonga, Cebu",(032) 254-0330 / 0915-5386913,-,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-00839-2021,The Orchard Cebu Hotel & Suites,Cebu,Mandaue City,"A.S. Fortuna St., Brgy. Bakilid, Mandaue City, Cebu",(032) 344-1322/ 0966-6632632,http://www.theorchardcebu.com,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-01410-2022,Toyoko Inn,Cebu,Mandaue City,"A.S. Fortuna St., Brgy. Bakilid, Mandaue City, Cebu",(032) 255-1045,http://www.theorchardcebu.com,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00005-2020,717 Cesar Place,Bohol,Tagbilaran City,"717 CPG North Avenue, Brgy. Booy, Tagbilaran City, Bohol",090-88152801,-,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-03261-2024,925 Maxi Hotel & Event Center,Bohol,Tagbilaran City,"Palma St., Brgy. Poblacion II, Tagbilaran City, Bohol",(038) 422-3523,-,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00081-2021,Belian Hotel,Bohol,Tagbilaran City,"006 Graham Avenue, Brgy. Cogon, Tagbilaran City, Bohol",0977-8267541,https://www.belianhotel.com/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00031-2021,Bohol Tropics Resort,Bohol,Tagbilaran City,"Graham Avenue, Brgy. Cogon, Tagbilaran City, Bohol",(038) 412-1240,http://www.boholtropics.ph,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-01652-2023,Hotel Fleur De Liz Tagbilaran,Bohol,Tagbilaran City,"Carlos P. Garcia Avenue, Brgy. Cogon, Tagbilaran City, Bohol",0917-7070974,https://www.hfdl.com.ph/,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-01005-2021,Hotel Gabriella,Bohol,Tagbilaran City,"0148 Cornell St., Brgy. Dao, Tagbilaran City, Bohol",(038) 412-7096 / 0909-6752335,-,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-00923-2021,Kew Hotel,Bohol,Tagbilaran City,"JA Clarin St., Brgy. Dampas, Tagbilaran City, Bohol",(038) 501-8106,https://www.kewhotel.com.ph/tagbilaran/,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-00134-2021,O.G. Metrocentre Hotel & Convention Center,Bohol,Tagbilaran City,"CPG Avenue, Brgy. Poblacion II, Tagbilaran City, Bohol",(038) 411-2599 / (038) 501-7575 / (038) 501-7288,https://www.metrocentrehotel.com/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00138-2021,Ocean Suites Boutique Hotel,Bohol,Tagbilaran City,"0716 VP Inting Avenue, Brgy. Bool, Tagbilaran City, Bohol",0917-6547217,https://www.oceansuitesbohol.com/,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00041-2021,Panda Tea Garden Suites,Bohol,Tagbilaran City,"J.A. Clarin Street, Brgy. Dao, Tagbilaran City. Bohol",0918-9359178,-,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00176-2021,Panglao Regents Park,Bohol,Panglao,"Ester A. Lim Drive, Brgy. Tawla, Panglao, Bohol",0954-0767224,-,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-00085-2021,Check Inn Dumaguete,Negros Oriental,Dumaguete City,"Dr. V. Locsin St. cor. M. Perdices, Brgy. Poblacion No. 3, Dumaguete City, Negros Oriental","(035) 422-9000, 0928-6132595",http://www.checkinn.com.ph/rates2.php,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-01391-2022,Go Hotels Dumaguete,Negros Oriental,Dumaguete City,"Calindagan corner South Road, Brgy. Calindagan, Dumaguete City, Negros Oriental",0998-8402608,https://www.gohotels.ph/,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-04404-2025,M.Y. Hotel,Negros Oriental,Dumaguete City,"San Juan St., Brgy. Poblacion No. 7, Dumaguete City, Negros Oriental",(035) 402-1742,-,"October 31, 2026"
Region 7,Hotel,DOT-R07-HTL-01643-2023,PVL Suites,Negros Oriental,Dumaguete City,"Aldecoa Drive corner Ipil Street, Brgy. Daro, Dumaguete City, Negros Oriental",(035) 421-1700 / 0917-1038946,https://pvlsuites.com/,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-01932-2023,Sierra Hotel,Negros Oriental,Dumaguete City,"EJ Blanco Drive, Brgy. Piapi, Dumaguete City, Negros Oriental",0917-1053463,https://sierradumaguete.com/,"October 31, 2025"
Region 7,Hotel,DOT-R07-HTL-03488-2024,Vintage Inn,Negros Oriental,Dumaguete City,"Epifanio Surban St., Brgy. Poblacion No. 3, Dumaguete City, Negros Oriental",0909-7830015,-,"October 31, 2026"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-03831-2025,88th Avenue,Cebu,Cebu City,"686 Gov. M. Cuenco Avenue, Brgy. Kasambagan, Cebu City",0966-1665908,https://www.88thavenue.ph/,"October 31, 2026"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-01027-2022,ABC Hotel & Homes Cebu,Cebu,Cebu City,"corner F Ramos and Lim Tian Teng Sts., Brgy. Santa Cruz, Cebu City",(032) 412-8788,https://abchotelcebu.com/main/,"October 31, 2025"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-00072-2021,Alicia Tower Residences,Cebu,Cebu City,"Gov. M. Cuenco Avenue, Brgy. Banilad, Cebu City",(032) 272-3360,-,"October 31, 2025"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-01931-2023,Canberry Hotel,Cebu,Cebu City,"1005 Canberry Hotel V. Rama, Brgy. Guadalupe, Cebu City",0917-3282112,https://www.canberryhotel.com/en,"October 31, 2025"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-02836-2024,Cebu Family Suites,Cebu,Cebu City,"P. Almendras St., Brgy. Mabolo, Cebu City",(032) 231-9728,-,"October 31, 2025"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-03691-2024,Cebu Pensione Plaza,Cebu,Cebu City,"SBR Bldg., N. Escario Street, Brgy. Camputhaw, Cebu City",(032) 253-7378,-,"October 31, 2026"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-01746-2023,Cebuview Tourist Inn,Cebu,Cebu City,"200 Sanciangko St., Brgy. Kalubihan, Cebu City",(032) 254-8333,https://www.cebuviewtouristinn.com/en/,"October 31, 2025"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-02404-2024,Crown Regency Residences,Cebu,Cebu City,"V. Rama Avenue, Brgy. Guadalupe, Cebu City",(032) 255-7575,https://crownregency.com-cebu.com/en/,"October 31, 2026"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-03427-2024,Domo Hotel Inc. / Hotel Sogo,Cebu,Cebu City,"0197 Sanciangko St., Brgy. Kalubihan, Cebu City",0999-3669052,https://www.hotelogo.com,"October 31, 2026"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-01104-2022,Dragon Home Inn,Cebu,Cebu City,"175 Echavez St., Brgy. Lorega, Cebu City",(032) 410-7908,-,"October 31, 2026"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-03338-2024,Elegant Circle Inn,Cebu,Cebu City,"Cinco Centrum Bldg., Fuente Osmeña, Brgy. Capitol Site, Cebu City",0956-0565068,-,"October 31, 2025"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-02843-2024,First Cebu Hotel Plus,Cebu,Cebu City,"0332 Don Mariano Cui St., Brgy. Capitol Site, Cebu City",(032) 234-5109,-,"October 31, 2025"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-01103-2022,Glojam Town Apartelle,Cebu,Cebu City,"Cor. Panganiban and Colon St., Brgy. Pahina Central, Cebu City",(032) 520-8499 / 0931-1207460,http://www.glojamtown.com,"October 31, 2026"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-00925-2021,GV Tower Hotel,Cebu,Cebu City,"Osmeña Blvd. corner Sanciangko St., Brgy. Kalubihan, Cebu City",0917-3090655,https://www.gvhotels.com.ph/,"October 31, 2026"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-02950-2024,Hamersons Hotel,Cebu,Cebu City,"0337 Don Mariano Cui St., Brgy. Capitol Site, Cebu City",0977-3839080,https://cebu-hamersonshotels.com/,"October 31, 2026"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-04091-2025,Holiday Spa Hotel,Cebu,Cebu City,"Gov. M. Cuenco Ave., Brgy. Kasambagan, Cebu City",(032) 239-2264 / (032) 239-2265,https://holidayspahotel.com,"October 31, 2025"
Region 7,Mabuhay Accommodation,DOT-R07-MAB-02402-2024,Hotel Asia,Cebu,Cebu City,"11 Don Jose Avila St., Brgy. Capitol Site, Cebu City",0917-1777609,https://www.hotelasiacebu.com,"October 31, 2026"
